股號,名稱,現價,漲跌,狀態,原因
2317,未知,193.0,-4.00,進入盤整,ADX 17.94 動能消失
3702,未知,88.0,-1.90,進入盤整,ADX 16.81 動能消失
2485,未知,78.5,-3.00,進入盤整,ADX 8.64 動能消失
2367,未知,71.5,-3.00,均線糾纏,三線乖離僅 1.46%
4142,未知,18.9,+0.10,均線糾纏,三線乖離僅 1.12%
0050,未知,73.95,-1.50,均線糾纏,三線乖離僅 0.73%
0056,未知,37.82,-0.29,均線糾纏,三線乖離僅 0.53%
00635U,未知,49.34,-0.08,趨勢運行,方向明確
00738U,未知,58.55,-2.30,趨勢運行,方向明確
00929,未知,18.73,-0.27,均線糾纏,三線乖離僅 0.82%
009816,未知,10.49,-0.17,均線糾纏,三線乖離僅 0.62%
00990A,未知,11.86,+0.05,均線糾纏,三線乖離僅 0.97%
2009,未知,39.95,-0.90,均線糾纏,三線乖離僅 1.44%
2337,未知,129.0,+2.00,進入盤整,ADX 13.37 動能消失
2352,未知,23.3,+0.00,均線糾纏,三線乖離僅 0.92%
2409,未知,16.85,+0.90,均線糾纏,三線乖離僅 1.41%
3481,未知,24.65,-0.40,趨勢運行,方向明確
6136,未知,24.3,+0.05,均線糾纏,三線乖離僅 0.35%
6806,未知,34.75,-3.85,進入盤整,ADX 16.19 動能消失
3105,未知,376.0,-0.50,進入盤整,ADX 11.24 動能消失
4966,未知,463.5,-9.50,趨勢運行,方向明確
6188,未知,85.5,-2.90,趨勢運行,方向明確
7792,未知,309.0,-3.00,均線糾纏,三線乖離僅 1.32%
2327,未知,246.0,-5.50,均線糾纏,三線乖離僅 1.31%
