代碼,名稱,狀態,現價,勝率,收益
2317,未知,WAIT,192.0,0.0%,-5.40%
3702,未知,WAIT,89.1,100.0%,3.64%
2485,未知,WAIT,73.1,16.7%,-4.96%
2367,未知,WAIT,71.7,66.7%,4.93%
4142,未知,WAIT,18.2,100.0%,0.82%
0050,未知,WAIT,75.3,66.7%,-0.97%
0056,未知,WAIT,38.07,60.0%,0.48%
00635U,未知,WAIT,48.98,25.0%,-4.68%
00738U,未知,WAIT,58.85,0.0%,-26.09%
00929,未知,WAIT,18.96,60.0%,0.99%
009816,未知,WAIT,10.68,0.0%,0.00%
00990A,未知,WAIT,12.33,0.0%,0.00%
2009,未知,WAIT,39.7,0.0%,0.00%
2337,未知,WAIT,136.5,60.0%,9.66%
2352,未知,WAIT,23.2,0.0%,-10.64%
2409,未知,WAIT,16.25,40.0%,1.45%
3481,未知,WAIT,24.05,75.0%,1.89%
6136,未知,WAIT,24.2,0.0%,0.00%
6806,未知,WAIT,31.3,0.0%,0.00%
3105,未知,WAIT,407.0,71.4%,4.12%
4966,未知,WAIT,475.0,0.0%,0.00%
6188,未知,WAIT,86.9,0.0%,-5.11%
7792,未知,WAIT,315.5,0.0%,-18.47%
2327,未知,WAIT,256.0,33.3%,2.63%
