📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
2303.TW    | 次數: 1    | 勝率: 100.00% | 累計:    9.30%
6147.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   10.73%
2489.TW    | 次數: 3    | 勝率:  66.67% | 累計:    0.48%
2481.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -15.54%
00642U.TW  | 次數: 2    | 勝率:  50.00% | 累計:   42.63%
00715L.TW  | 次數: 1    | 勝率: 100.00% | 累計:  116.24%
6285.TW    | 次數: 1    | 勝率: 100.00% | 累計:   41.79%
3105.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   26.40%
3037.TW    | 次數: 1    | 勝率: 100.00% | 累計:   38.94%
6213.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -26.45%
5347.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   47.00%
8046.TW    | 次數: 3    | 勝率:  33.33% | 累計:   18.98%
6919.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -6.69%
4956.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -0.17%
2455.TW    | 次數: 3    | 勝率:  66.67% | 累計:    2.13%
8021.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -14.22%
3673.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.83%
8086.TWO   | 次數: 2    | 勝率:   0.00% | 累計:  -16.93%
