Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
2009.TW,第一銅,2026-03-23,看跌 FVG,41.3,41.71,39.23,⚠️ 壓力確認,🔴 放空,0,35.14,2026-03-26,2,False
2352.TW,佳世達,2026-03-30,看跌 FVG,23.25,23.47,22.09,❌ 已失效,實體過中線,0,51.19,2026-04-01,2,False
2409.TW,友達,2026-04-02,看漲 FVG,16.05,15.87,16.85,💰 已達標,獲利點,1,52.31,-,2,False
6188.TWO,廣明,2026-04-02,看跌 FVG,86.9,88.64,82.56,❌ 已失效,實體過中線,0,37.52,-,2,False
0050.TW,元大台灣50,2026-04-07,看漲 FVG,78.1,75.67,82.0,⏳ 待回測,監控中,0,49.14,-,3,False
0056.TW,元大高股息,2026-04-07,看漲 FVG,38.71,38.33,40.65,⏳ 待回測,監控中,0,43.44,-,3,False
00635U.TW,期元大S&P黃金,2026-04-01,看漲 FVG,49.13,48.56,51.59,✅ 已站穩,🟢 買進,0,33.66,2026-04-07,3,False
00738U.TW,期元大道瓊白銀,2026-04-07,看漲 FVG,61.85,61.24,64.94,⏳ 待回測,監控中,0,39.58,-,3,False
00929.TW,復華台灣科技優息,2026-04-07,看漲 FVG,19.44,19.11,20.41,⏳ 待回測,監控中,0,42.91,-,3,False
009816.TW,凱基台灣TOP50,2026-04-07,看漲 FVG,11.06,10.72,11.61,⏳ 待回測,監控中,0,49.19,-,3,False
00990A.TW,主動元大AI新經濟,2026-04-07,看漲 FVG,12.83,12.18,13.47,⏳ 待回測,監控中,0,53.49,-,3,False
2317.TW,鴻海,2026-03-30,看跌 FVG,192.5,197.48,182.88,❌ 已失效,實體過中線,0,34.34,-,3,False
2327.TW,國巨*,2026-04-07,看漲 FVG,264.0,255.72,277.2,⏳ 待回測,監控中,0,48.26,-,3,False
2485.TW,兆赫,2026-04-07,看跌 FVG,77.8,78.39,73.91,⏳ 待回測,監控中 🧹,1,55.58,-,3,False
3702.TW,大聯大,2026-03-30,看跌 FVG,90.4,91.05,85.88,❌ 已失效,實體過中線,0,76.99,2026-04-01,3,False
4142.TW,國光生,2026-04-07,看跌 FVG,18.3,18.89,17.39,⏳ 待回測,監控中 🧹,0,61.29,-,3,False
6136.TW,富爾特,2026-03-24,看漲 FVG,24.1,23.88,25.31,⏳ 待回測,監控中,1,60.38,-,3,False
7792.TWO,安葆,2026-03-13,看跌 FVG,329.5,336.67,313.02,💰 已達標,獲利點,0,47.08,-,3,False
2367.TW,燿華,2026-03-16,看漲 FVG,75.6,73.43,79.38,❌ 已失效,實體破中線,0,70.47,2026-03-18,4,False
3105.TWO,穩懋,2026-04-07,看漲 FVG,424.5,401.98,445.73,⏳ 待回測,⚡結構突破 ⚠️過熱,0,68.19,-,4,False
6806.TW,森崴能源,2026-04-07,看跌 FVG,28.2,34.92,26.79,⏳ 待回測,⚡結構突破 ⚠️過熱,1,18.64,-,4,False
