股號,名稱,現價,漲跌幅,建議
2317,鴻海,200.0,4.17%,賣出
3702,大聯大,89.1,0.00%,賣出
2485,兆赫,73.1,0.00%,賣出
2367,燿華,71.7,0.00%,賣出
4142,國光生,18.2,0.00%,賣出
0050,元大台灣50,79.15,5.11%,買入
0056,元大高股息,38.07,0.00%,賣出
00635U,期元大S&P黃金,48.98,0.00%,賣出
00738U,期元大道瓊白銀,62.35,5.95%,續抱/觀望
00929,復華台灣科技優息,18.96,0.00%,賣出
009816,凱基台灣TOP50,10.68,0.00%,續抱/觀望
00990A,主動元大AI新經濟,13.2,7.06%,續抱/觀望
2009,第一銅,39.7,0.00%,賣出
2337,旺宏,150.0,9.89%,續抱/觀望
2352,佳世達,23.2,0.00%,賣出
2409,友達,16.95,4.31%,續抱/觀望
3481,群創,24.05,0.00%,賣出
6136,富爾特,24.2,0.00%,續抱/觀望
6806,森崴能源,31.3,0.00%,賣出
3105,穩懋,407.0,0.00%,續抱/觀望
4966,譜瑞-KY,475.0,0.00%,賣出
6188,廣明,86.9,0.00%,賣出
7792,安葆,315.5,0.00%,賣出
2327,國巨*,256.0,0.00%,賣出
