股票代碼,訊號日期,訊號收盤,買入日期,買入價格,賣出日期,賣出價格,獲利%,raw_pnl,狀態,股票標的
6831.TW,2026-02-06,259.57,2026-02-09,271.48,2026-03-09,265.03,-2.38%,-0.023765947553676038,交易結束,6831.TW 邁科
6831.TW,2026-03-20,362.31,2026-03-23,333.52,持股中,403.0,20.83%,0.20831123153427705,續抱中,6831.TW 邁科
00696B.TWO,2026-03-02,30.5,2026-03-03,30.4,2026-03-10,30.37,-0.10%,-0.0009868019630416558,交易結束,00696B.TWO 富邦美債20年
8261.TW,2026-01-20,96.7,2026-01-21,96.0,2026-01-30,95.5,-0.52%,-0.005208333333333333,交易結束,8261.TW 富鼎
8261.TW,2026-03-06,101.0,2026-03-09,96.5,2026-03-10,98.2,1.76%,0.017616548686010317,交易結束,8261.TW 富鼎
8261.TW,2026-03-13,111.0,2026-03-16,115.0,2026-03-24,106.5,-7.39%,-0.07391304347826087,交易結束,8261.TW 富鼎
6205.TW,2026-03-24,62.0,2026-03-25,63.8,2026-03-27,55.0,-13.79%,-0.1379310241744135,交易結束,6205.TW 詮欣
1789.TW,2026-01-12,23.65,2026-01-13,23.95,2026-01-26,26.3,9.81%,0.09812101876173171,交易結束,1789.TW 神隆
3171.TWO,2026-03-02,51.5,2026-03-03,51.5,2026-03-10,51.9,0.78%,0.007767019920388393,交易結束,3171.TWO 炎洲流通
3171.TWO,2026-03-11,51.5,2026-03-12,51.8,持股中,66.4,28.19%,0.2818533301896891,續抱中,3171.TWO 炎洲流通
4721.TWO,2026-01-14,70.4,2026-01-15,71.7,2026-01-26,69.5,-3.07%,-0.030683361810871397,交易結束,4721.TWO 美琪瑪
6924.TW,2026-03-17,78.7,2026-03-18,80.0,2026-03-26,73.8,-7.75%,-0.07749996185249994,交易結束,6924.TW 榮惠-KY創
3044.TW,2026-01-23,360.5,2026-01-26,368.0,2026-02-09,395.0,7.34%,0.07336956521739131,交易結束,3044.TW 健鼎
00876.TW,2026-02-10,61.8,2026-02-11,61.8,2026-03-05,63.7,3.07%,0.030744361638428266,交易結束,00876.TW 元大全球5G
4961.TW,2026-01-07,152.0,2026-01-08,151.5,2026-01-09,148.0,-2.31%,-0.0231023102310231,交易結束,4961.TW 天鈺
2012.TW,2026-01-19,17.5,2026-01-20,17.5,2026-01-22,17.2,-1.71%,-0.017142813548571414,交易結束,2012.TW 春雨
2012.TW,2026-01-29,17.3,2026-01-30,17.3,2026-02-04,16.9,-2.31%,-0.02312136625660632,交易結束,2012.TW 春雨
2012.TW,2026-02-23,17.25,2026-02-24,17.2,2026-03-05,16.8,-2.33%,-0.02325590163128332,交易結束,2012.TW 春雨
8114.TW,2026-01-08,178.5,2026-01-09,183.0,2026-01-26,193.5,5.74%,0.05737704918032787,交易結束,8114.TW 振樺電
8028.TW,2026-01-02,186.5,2026-01-05,190.0,2026-01-14,186.5,-1.84%,-0.018421052631578946,交易結束,8028.TW 昇陽半導體
8028.TW,2026-02-26,188.0,2026-03-02,181.0,2026-03-05,176.0,-2.76%,-0.027624309392265192,交易結束,8028.TW 昇陽半導體
8028.TW,2026-03-18,197.0,2026-03-19,191.5,2026-03-24,186.5,-2.61%,-0.02610966057441253,交易結束,8028.TW 昇陽半導體
6443.TW,2026-01-07,28.4,2026-01-08,29.8,2026-01-30,38.2,28.19%,0.28187925304851275,交易結束,6443.TW 元晶
6443.TW,2026-02-03,42.2,2026-02-04,42.4,2026-02-09,41.9,-1.18%,-0.011792452405799453,交易結束,6443.TW 元晶
6525.TW,2026-01-20,80.0,2026-01-21,80.0,2026-02-02,78.0,-2.50%,-0.025,交易結束,6525.TW 捷敏-KY
6877.TWO,2026-01-02,88.5,2026-01-05,89.0,2026-01-06,86.5,-2.81%,-0.028089887640449437,交易結束,6877.TWO 鏵友益
6877.TWO,2026-01-08,89.2,2026-01-09,89.0,2026-01-14,85.1,-4.38%,-0.04382024186404489,交易結束,6877.TWO 鏵友益
6877.TWO,2026-02-26,96.0,2026-03-02,99.8,2026-03-10,106.0,6.21%,0.06212421601812938,交易結束,6877.TWO 鏵友益
1802.TW,2026-01-16,41.8,2026-01-19,44.7,2026-01-30,49.25,10.18%,0.10178969036788924,交易結束,1802.TW 台玻
1802.TW,2026-02-25,61.3,2026-02-26,62.0,2026-03-10,55.0,-11.29%,-0.11290322580645161,交易結束,1802.TW 台玻
