📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
6285.TW    | 次數: 2    | 勝率:  50.00% | 累計:   41.79%
1802.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.11%
2426.TW    | 次數: 1    | 勝率: 100.00% | 累計:   59.40%
1717.TW    | 次數: 1    | 勝率: 100.00% | 累計:   48.84%
2399.TW    | 次數: 5    | 勝率:  20.00% | 累計:    5.61%
3037.TW    | 次數: 1    | 勝率: 100.00% | 累計:   38.94%
2489.TW    | 次數: 3    | 勝率:  66.67% | 累計:    0.48%
8021.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -14.22%
4958.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -6.04%
6919.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -6.69%
6257.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -1.81%
2337.TW    | 次數: 1    | 勝率: 100.00% | 累計:   86.36%
2441.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -0.84%
2419.TW    | 次數: 2    | 勝率: 100.00% | 累計:   19.11%
6147.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   10.73%
3380.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -2.55%
2402.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -19.31%
2301.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -3.82%
3026.TW    | 次數: 2    | 勝率:  50.00% | 累計:    9.59%
6190.TWO   | 次數: 2    | 勝率:  50.00% | 累計:  -15.80%
1449.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -6.80%
3339.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    5.80%
3189.TW    | 次數: 2    | 勝率:  50.00% | 累計:   58.68%
4989.TW    | 次數: 3    | 勝率:  33.33% | 累計:  -12.75%
2369.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.44%
8064.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   21.89%
2308.TW    | 次數: 1    | 勝率: 100.00% | 累計:   11.57%
6239.TW    | 次數: 1    | 勝率: 100.00% | 累計:   25.63%
