Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority
2317,未知,2026-04-09,看漲 FVG,201.5,191.42,221.65,即時分析,🎯 看漲 FVG 訊號,0,41.18,-,1
3702,未知,2026-04-09,-,91.9,87.31,101.09,即時分析,🟢 續抱/買進,0,53.64,-,1
2485,未知,2026-04-09,-,73.0,69.35,80.3,即時分析,🔴 建議賣出,0,47.31,-,1
2367,未知,2026-04-09,-,74.3,70.58,81.73,即時分析,🟢 續抱/買進,1,46.06,-,1
4142,未知,2026-04-09,-,18.2,17.29,20.02,即時分析,🔴 建議賣出,0,57.14,-,1
0050,未知,2026-04-09,看漲 FVG,79.1,75.14,87.01,即時分析,🎯 看漲 FVG 訊號,0,56.27,-,1
0056,未知,2026-04-09,看漲 FVG,39.02,37.07,42.92,即時分析,🎯 看漲 FVG 訊號,0,49.12,-,1
00635U,未知,2026-04-09,看漲 FVG,50.7,48.16,55.77,即時分析,🎯 看漲 FVG 訊號,0,41.16,-,1
00738U,未知,2026-04-09,-,62.65,59.52,68.92,即時分析,🟢 續抱/買進,0,43.16,-,1
00929,未知,2026-04-09,看漲 FVG,19.65,18.67,21.61,即時分析,🎯 看漲 FVG 訊號,0,48.05,-,1
009816,未知,2026-04-09,看漲 FVG,11.23,10.67,12.35,即時分析,🎯 看漲 FVG 訊號,0,56.7,-,1
00990A,未知,2026-04-09,看漲 FVG,13.29,12.63,14.62,即時分析,🎯 看漲 FVG 訊號,1,61.71,-,1
2009,未知,2026-04-09,-,40.6,38.57,44.66,即時分析,🟢 續抱/買進,0,35.2,-,1
2337,未知,2026-04-09,-,150.0,142.5,165.0,即時分析,🟢 續抱/買進,1,57.77,-,1
2352,未知,2026-04-09,看漲 FVG,23.8,22.61,26.18,即時分析,🎯 看漲 FVG 訊號,0,41.25,-,1
2409,未知,2026-04-09,-,17.05,16.2,18.76,即時分析,🟢 續抱/買進,1,58.39,-,1
3481,未知,2026-04-09,看漲 FVG,26.2,24.89,28.82,即時分析,🎯 看漲 FVG 訊號,0,43.18,-,1
6136,未知,2026-04-09,看漲 FVG,24.25,23.04,26.68,即時分析,🎯 看漲 FVG 訊號,0,60.38,-,1
6806,未知,2026-04-09,看跌 FVG,25.4,24.13,27.94,即時分析,🔴 建議賣出,1,14.47,-,1
3105,未知,2026-04-09,看漲 FVG,440.0,418.0,484.0,即時分析,🎯 看漲 FVG 訊號,0,73.82,-,1
4966,未知,2026-04-09,-,478.0,454.1,525.8,即時分析,🟢 續抱/買進,1,39.37,-,1
6188,未知,2026-04-09,看漲 FVG,89.4,84.93,98.34,即時分析,🎯 看漲 FVG 訊號,0,35.36,-,1
7792,未知,2026-04-09,看漲 FVG,347.0,329.65,381.7,即時分析,🎯 看漲 FVG 訊號,1,63.6,-,1
2327,未知,2026-04-09,看漲 FVG,271.5,257.93,298.65,即時分析,🎯 看漲 FVG 訊號,0,43.06,-,1
