股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
3702.TW,大聯大,無,91.3000030518,46.19,🟢 黃金標的,66.67%,100.00%,3.64%,-2.60%,6,0,1.0,0.0364
3105.TWO,穩懋,無,436.0,70.09,🟢 黃金標的,57.14%,85.71%,5.35%,-6.96%,7,0,0.8571,0.0535
7792.TWO,安葆,無,345.0,61.42,🟢 黃金標的,37.50%,75.00%,10.15%,-6.81%,8,0,0.75,0.1015
2367.TW,燿華,無,77.5,52.2,🟢 黃金標的,33.33%,66.67%,4.93%,-4.33%,6,0,0.6667,0.0493
2337.TW,旺宏,無,142.0,49.38,🟢 黃金標的,80.00%,60.00%,9.66%,-2.16%,5,0,0.6,0.0966
4142.TW,國光生,無,18.2000007629,51.02,🔵 穩健標的,0.00%,100.00%,0.82%,-1.36%,1,0,1.0,0.0082
0056.TW,元大高股息,無,39.0800018311,47.19,🔵 穩健標的,80.00%,60.00%,0.48%,-0.26%,5,0,0.6,0.0048
00929.TW,復華台灣科技優息,無,19.6499996185,43.78,🔵 穩健標的,60.00%,60.00%,0.99%,-1.75%,5,0,0.6,0.0099
3481.TW,群創,無,26.9500007629,45.65,⚪ 一般監控,75.00%,75.00%,1.89%,-5.96%,4,0,0.75,0.0189
2409.TW,友達,無,18.75,65.45,⚪ 一般監控,60.00%,40.00%,1.45%,-5.01%,5,0,0.4,0.0145
2327.TW,國巨*,無,281.5,50.46,⚪ 一般監控,33.33%,33.33%,2.63%,-2.70%,3,0,0.3333,0.0263
00990A.TW,主動元大AI新經濟,無,13.5100002289,60.77,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
2009.TW,第一銅,無,39.9000015259,32.98,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
6136.TW,富爾特,無,24.25,60.38,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
6806.TW,森崴能源,無,25.3999996185,13.13,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
4966.TWO,譜瑞-KY,無,501.0,48.35,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0,0,0.0,0.0
0050.TW,元大台灣50,無,79.1500015259,53.51,🔴 空頭陷阱,66.67%,66.67%,-0.97%,-1.98%,3,0,0.6667,-0.0097
00635U.TW,期元大S&P黃金,無,49.7700004578,40.43,🔴 空頭陷阱,25.00%,25.00%,-4.68%,-8.88%,4,0,0.25,-0.0468
2485.TW,兆赫,無,69.9000015259,35.69,🔴 空頭陷阱,50.00%,16.67%,-4.96%,-9.08%,6,0,0.1667,-0.0496
2317.TW,鴻海,無,200.0,41.53,🔴 空頭陷阱,0.00%,0.00%,-5.40%,-6.16%,2,0,0.0,-0.054
00738U.TW,期元大道瓊白銀,無,60.25,43.29,🔴 空頭陷阱,100.00%,0.00%,-26.09%,-0.56%,2,0,0.0,-0.2609
2352.TW,佳世達,無,24.3500003815,47.19,🔴 空頭陷阱,0.00%,0.00%,-10.64%,-9.57%,1,0,0.0,-0.1064
6188.TWO,廣明,無,87.5999984741,27.82,🔴 空頭陷阱,50.00%,0.00%,-5.11%,-4.47%,2,0,0.0,-0.0511
