股號,名稱,開盤,最高,最低,現價,漲跌,狀態
2317,鴻海,200.5,202.5,199.5,201.0,+1.00 (+0.50%),均線糾撐
3702,大聯大,93.2,95.0,92.1,92.4,+1.10 (+1.20%),均線糾撐
2485,兆赫,73.0,75.4,72.1,69.9,+0.00 (+0.00%),進入盤整 -> 趨勢運行
2367,燿華,79.2,79.5,74.7,75.5,-2.00 (-2.58%),均線糾撐
4142,國光生,18.35,18.55,18.2,18.2,+0.00 (+0.00%),均線糾撐
0050,元大台灣50,80.0,80.65,79.95,79.15,+0.00 (+0.00%),均線糾撐
0056,元大高股息,39.29,39.57,39.29,39.08,+0.00 (+0.00%),均線糾撐
00635U,期元大S&P黃金,50.15,50.3,49.95,49.77,+0.00 (+0.00%),均線糾撐
00738U,期元大道瓊白銀,61.5,61.75,61.0,60.25,+0.00 (+0.00%),均線糾撐
00929,復華台灣科技優息,19.71,20.1,19.7,19.65,+0.00 (+0.00%),均線糾撐
009816,凱基台灣TOP50,11.32,11.39,11.32,11.19,+0.00 (+0.00%),均線糾撐
00990A,主動元大AI新經濟,13.76,13.97,13.76,13.51,+0.00 (+0.00%),均線糾撐 -> 離開盤整 (向上)
2009,第一銅,40.2,40.85,40.2,39.9,+0.00 (+0.00%),均線糾撐
2337,旺宏,149.0,156.0,141.5,142.0,+0.00 (+0.00%),進入盤整 -> 趨勢運行
2352,佳世達,24.5,24.55,24.15,24.35,+0.00 (+0.00%),均線糾撐
2409,友達,19.4,19.5,17.15,18.75,+0.00 (+0.00%),離開盤整 (向上)
3481,群創,27.55,27.55,25.45,25.6,-1.35 (-5.01%),趨勢運行
6136,富爾特,24.25,24.45,24.2,24.2,+0.00 (+0.00%),均線糾撐
6806,森崴能源,22.9,22.9,22.9,25.4,+0.00 (+0.00%),離開盤整 (向下)
3105,穩懋,447.0,457.0,434.0,436.0,+0.00 (+0.00%),進入盤整 -> 趨勢運行
4966,譜瑞-KY,498.0,528.0,498.0,501.0,+0.00 (+0.00%),均線糾撐
6188,廣明,88.0,88.8,86.5,88.6,+1.00 (+1.14%),趨勢運行
7792,安葆,348.5,351.5,342.5,345.0,+0.00 (+0.00%),均線糾撐 -> 趨勢運行
2327,國巨*,290.0,292.0,286.5,281.5,+0.00 (+0.00%),均線糾撐
