代碼,名稱,現價,漲跌,狀態
2317,鴻海,200.0,+0.00%,WAIT
3702,大聯大,91.3,+0.00%,WAIT
2485,兆赫,69.9,+0.00%,WAIT
2367,燿華,77.5,+0.00%,WAIT
4142,國光生,18.2,+0.00%,WAIT
0050,元大台灣50,79.15,+0.00%,WAIT
0056,元大高股息,39.5,+1.07%,WAIT
00635U,期元大S&P黃金,49.77,+0.00%,WAIT
00738U,期元大道瓊白銀,60.25,+0.00%,WAIT
00929,復華台灣科技優息,19.65,+0.00%,WAIT
009816,凱基台灣TOP50,11.19,+0.00%,WAIT
00990A,主動元大AI新經濟,13.51,+0.00%,WAIT
2009,第一銅,39.9,+0.00%,WAIT
2337,旺宏,142.0,+0.00%,WAIT
2352,佳世達,24.35,+0.00%,WAIT
2409,友達,17.45,-6.93%,WAIT
3481,群創,26.95,+0.00%,WAIT
6136,富爾特,24.2,+0.00%,WAIT
6806,森崴能源,25.4,+0.00%,WAIT
3105,穩懋,436.0,+0.00%,WAIT
4966,譜瑞-KY,501.0,+0.00%,WAIT
6188,廣明,88.6,+1.14%,WAIT
7792,安葆,345.0,+0.00%,WAIT
2327,國巨*,281.5,+0.00%,WAIT
