📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
1717.TW    | 次數: 1    | 勝率: 100.00% | 累計:   48.84%
4989.TW    | 次數: 3    | 勝率:  33.33% | 累計:  -12.75%
6147.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   10.73%
3042.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -4.87%
2402.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -19.31%
3535.TW    | 次數: 2    | 勝率:  50.00% | 累計:    7.63%
2426.TW    | 次數: 2    | 勝率:  50.00% | 累計:   59.40%
6217.TWO   | 次數: 2    | 勝率:  50.00% | 累計:  144.69%
4960.TW    | 次數: 3    | 勝率:  33.33% | 累計:   35.57%
1714.TW    | 次數: 2    | 勝率:  50.00% | 累計:    0.72%
4977.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.58%
6182.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   12.39%
3031.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -20.54%
3030.TW    | 次數: 3    | 勝率:  33.33% | 累計:    6.02%
3645.TW    | 次數: 2    | 勝率:  50.00% | 累計:    0.73%
6127.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -4.17%
2316.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -11.63%
4908.TWO   | 次數: 4    | 勝率:  25.00% | 累計:   -2.21%
4973.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   40.72%
6451.TW    | 次數: 3    | 勝率: 100.00% | 累計:   41.51%
3234.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   38.32%
4903.TWO   | 次數: 2    | 勝率:   0.00% | 累計:  -13.12%
1727.TW    | 次數: 4    | 勝率:   0.00% | 累計:  -18.16%
