日期,代碼,名稱,收盤價,漲跌幅%,成交量(張),MJ狀態,J線值,MACD柱狀體
2026-04-10,6127.TWO,九豪,42.75,9.9,13912,🚀 MJ低檔反彈,31.85,-0.45
2026-04-10,4960.TW,誠美材,23.0,9.79,23686,🚀 MJ低檔反彈,29.12,-0.94
2026-04-10,2426.TW,鼎元,47.3,10.0,26341,⚠️ 超買警示,112.5,1.5
2026-04-10,6217.TWO,中探針,236.5,10.0,24337,⚠️ 超買警示,104.99,5.08
2026-04-10,3030.TW,德律,303.0,9.98,15155,⚠️ 超買警示,107.87,6.18
2026-04-10,4989.TW,榮科,80.7,9.95,49960,⚠️ 超買警示,113.0,2.4
2026-04-10,6451.TW,訊芯-KY,432.0,9.92,12122,⚠️ 超買警示,107.11,14.84
2026-04-10,3645.TW,達邁,82.2,9.89,14229,⚠️ 超買警示,103.85,0.56
2026-04-10,3031.TW,佰鴻,28.35,9.88,15391,⚠️ 超買警示,106.15,0.78
2026-04-10,2402.TW,毅嘉,61.3,9.86,28777,⚠️ 超買警示,106.49,1.93
2026-04-10,1727.TW,中華化,55.7,9.86,10533,⚠️ 超買警示,103.97,0.79
2026-04-10,6147.TWO,頎邦,106.0,9.84,48107,⚠️ 超買警示,97.95,4.72
2026-04-10,3535.TW,晶彩科,134.0,9.84,26987,⚠️ 超買警示,120.42,4.39
2026-04-10,4973.TWO,廣穎,78.3,9.82,12167,⚠️ 超買警示,111.19,0.36
2026-04-10,4908.TWO,前鼎,129.0,9.79,12462,⚠️ 超買警示,108.99,3.0
2026-04-10,3042.TW,晶技,118.0,9.77,37810,⚠️ 超買警示,117.17,4.72
2026-04-10,2316.TW,楠梓電,118.0,9.77,13056,⚠️ 超買警示,110.26,2.66
2026-04-10,3234.TWO,光環,114.0,8.57,10734,⚠️ 超買警示,108.71,4.0
2026-04-10,1717.TW,長興,80.0,8.4,217601,⚠️ 超買警示,119.44,3.69
