正在分析 1684 檔標的...
     Stock  Best_Period  Win_Rate%  Total_Return%    MDD%  Sharpe  Trades Status Action
  5314.TWO          240      25.00        6803.14 -248.44    2.14      52   📈 持有 觀察/可賣出
   9103.TW          120      16.67        2551.43 -107.30    2.02      54   📈 持有 觀察/可賣出
   8476.TW            5      37.69        2314.99 -210.26    3.24     321   ☁ 觀望 觀察/可賣出
   1519.TW          240      36.11        1640.65  -23.65    2.78      36   📈 持有     持有
  8932.TWO          240      34.78        1468.05  -36.85    3.53      23   📈 持有     持有
   2615.TW           60      25.40        1433.65  -65.03    2.07      63   ☁ 觀望 觀察/可賣出
   2609.TW          240      25.93        1406.88  -25.71    3.04      27   ☁ 觀望 觀察/可賣出
  6739.TWO          240      25.00        1333.00    0.00    0.00       4   📈 持有 觀察/可賣出
  3228.TWO          240      43.75        1330.84  -36.72    4.05      16   ☁ 觀望     持有
   3017.TW          240      45.83        1282.01  -14.77    3.34      24   📈 持有     持有
   2603.TW          120      31.37        1117.44  -29.31    2.34      51   📈 持有     持有
   2543.TW          120      32.79        1100.57  -75.71    1.95      61   ☁ 觀望 觀察/可賣出
   2492.TW          240      28.00        1098.14  -49.85    3.01      25   📈 持有 觀察/可賣出
  6469.TWO          240      40.00        1047.43  -10.45    4.11      15   ☁ 觀望     持有
   3563.TW          240      44.83        1046.80  -41.20    3.41      29   📈 持有     持有
   2327.TW           60      37.50        1009.07  -54.37    2.08      72   📈 持有 觀察/可賣出
  5475.TWO          120      28.21         992.47  -54.23    3.88      39   📈 持有 觀察/可賣出
  3363.TWO          240      17.95         975.23  -89.00    2.39      39   📈 持有 觀察/可賣出
   8045.TW          120      30.23         939.37  -54.33    2.32      43   ☁ 觀望 觀察/可賣出
  3218.TWO          240      33.33         938.39  -23.92    2.74      33   ☁ 觀望     持有
   3661.TW          120      42.11         922.62  -33.71    3.88      38   ☁ 觀望     持有
  6223.TWO          120      43.90         916.93  -39.86    3.19      41   📈 持有     持有
  3205.TWO           60      19.18         914.39 -131.18    1.70      73   📈 持有 觀察/可賣出
  5299.TWO          240      30.77         849.00  -43.18    3.07      26   📈 持有     持有
  4931.TWO          240      55.56         841.71  -13.84    8.86       9   📈 持有     持有
  3293.TWO          240      32.35         813.53  -25.01    3.87      34   ☁ 觀望     持有
  6510.TWO          120      32.14         786.80  -63.31    2.85      56   📈 持有 觀察/可賣出
   6139.TW          240      29.27         781.40  -75.13    2.53      41   📈 持有 觀察/可賣出
   8046.TW          120      38.89         769.89  -59.25    2.40      54   📈 持有 觀察/可賣出
   2404.TW          240      25.00         768.28  -27.28    7.39      12   📈 持有 觀察/可賣出
   4763.TW          240      35.00         759.01  -45.88    2.34      40   ☁ 觀望     持有
  8436.TWO          240      25.00         748.59  -71.24    2.40      36   ☁ 觀望 觀察/可賣出
   4961.TW           60      29.41         742.98  -53.83    1.77      68   📈 持有 觀察/可賣出
   9958.TW          240      29.73         739.59  -27.00    2.89      37   ☁ 觀望 觀察/可賣出
   3138.TW           20      32.12         733.63 -103.16    1.87     165   📈 持有 觀察/可賣出
   2345.TW          240      25.00         733.11  -77.50    3.54      36   📈 持有 觀察/可賣出
   3013.TW          240      25.64         731.45  -78.01    2.33      39   📈 持有 觀察/可賣出
   6442.TW          240      33.33         730.64  -86.76    2.71      36   📈 持有 觀察/可賣出
   6415.TW          120      35.71         723.51  -57.16    2.43      42   📈 持有 觀察/可賣出
  2230.TWO          240      17.31         710.73 -111.95    1.88      52   ☁ 觀望 觀察/可賣出
  5278.TWO          240      47.83         698.32  -35.07    4.64      23   ☁ 觀望     持有
  6548.TWO          120      35.29         692.06  -24.27    3.86      34   📈 持有     持有
  3680.TWO          240      36.11         690.17  -42.47    2.57      36   📈 持有     持有
   8478.TW          240      13.64         676.66  -66.05    3.01      22   📈 持有 觀察/可賣出
   2359.TW          240      26.32         660.41  -63.29    2.46      38   ☁ 觀望 觀察/可賣出
  8358.TWO          120      27.42         654.48  -38.34    2.79      62   📈 持有 觀察/可賣出
  6640.TWO           60      35.56         652.60  -40.26    2.85      45   📈 持有     持有
  6720.TWO          120      34.62         643.28  -41.52    3.02      26   📈 持有     持有
  8069.TWO          240      50.00         624.98  -31.14    3.99      26   ☁ 觀望     持有
   3533.TW          240      38.46         600.57  -17.80    3.62      26   📈 持有     持有
   2486.TW          120      20.00         595.23  -92.08    2.86      40   📈 持有 觀察/可賣出
  3324.TWO          120      32.50         591.07  -55.95    3.82      40   📈 持有 觀察/可賣出
  3219.TWO          120      33.33         588.71  -95.38    2.33      48   ☁ 觀望 觀察/可賣出
  5403.TWO          240      21.74         576.80  -33.20    3.77      23   ☁ 觀望 觀察/可賣出
   6531.TW           20      40.74         563.58  -37.83    3.35      81   📈 持有     持有
