股票名稱,即時現價,累計損益,短,中,長,BBKD 專業建議,_raw_sid,_raw_name,_raw_action,_raw_advice,_diag
鴻海<br><small>2317</small>,<span class='price-now'>200.5</span><br><small>損益: -16.88%</small>,-5.95%,▲,▼,▼,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",2317,鴻海,⚪ 觀望中,指標未翻正，保持觀望。,"【2317 鴻海】BBKD 即時診斷
  行情: 現價:200.50 [+0.50 (+0.25%)] | 開:200.50 高:202.50 低:199.50
  指標: DMA(中):-2.00 | 短:▲ 中:▼ 長:▼ | 支撐:241.50
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
大聯大<br><small>3702</small>,<span class='price-now'>91.5</span><br><small>損益: -3.15%</small>,26.22%,▲,▲,▲,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",3702,大聯大,⚪ 觀望中,指標未翻正，保持觀望。,"【3702 大聯大】BBKD 即時診斷
  行情: 現價:91.50 [+0.20 (+0.22%)] | 開:93.20 高:95.00 低:90.80
  指標: DMA(中):1.07 | 短:▲ 中:▲ 長:▲ | 支撐:64.20
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
兆赫<br><small>2485</small>,<span class='price-now'>73.5</span><br><small>損益: -9.67%</small>,-40.08%,▼,▼,▲,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",2485,兆赫,⚪ 觀望中,指標未翻正，保持觀望。,"【2485 兆赫】BBKD 即時診斷
  行情: 現價:73.50 [+3.60 (+5.15%)] | 開:73.00 高:75.40 低:72.10
  指標: DMA(中):-3.08 | 短:▼ 中:▼ 長:▲ | 支撐:35.90
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
燿華<br><small>2367</small>,<span class='price-now'>75.0</span><br><small>損益: -2.69%</small>,15.59%,▲,▲,▲,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",2367,燿華,⚪ 觀望中,指標未翻正，保持觀望。,"【2367 燿華】BBKD 即時診斷
  行情: 現價:75.00 [-2.50 (-3.23%)] | 開:79.20 高:79.50 低:74.30
  指標: DMA(中):0.59 | 短:▲ 中:▲ 長:▲ | 支撐:27.70
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
國光生<br><small>4142</small>,<span class='price-now'>18.35</span><br><small>損益: -27.53%</small>,19.73%,▼,▲,▼,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",4142,國光生,⚪ 觀望中,指標未翻正，保持觀望。,"【4142 國光生】BBKD 即時診斷
  行情: 現價:18.35 [+0.15 (+0.82%)] | 開:18.35 高:18.55 低:18.20
  指標: DMA(中):0.00 | 短:▼ 中:▲ 長:▼ | 支撐:18.80
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
元大台灣50<br><small>0050</small>,<span class='price-now'>80.75</span><br><small>損益: +73.28%</small>,39.86%,▲,▲,▲,"<div class=""advice-box buy-bg""><span class=""advice-title"">🔹 已鎖利續抱</span><br><span class=""advice-reason"">🚀 三期共振強勢，守穩移動支撐 79.95。</span></div>",0050,元大台灣50,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 79.95。,"【0050 元大台灣50】BBKD 即時診斷
  行情: 現價:80.75 [+1.60 (+2.02%)] | 開:80.00 高:80.80 低:79.95
  指標: DMA(中):2.81 | 短:▲ 中:▲ 長:▲ | 支撐:79.95
  結果: 🔹 已鎖利續抱 -> 🚀 三期共振強勢，守穩移動支撐 79.95。
---------------------------------------------------------------------------"
元大高股息<br><small>0056</small>,<span class='price-now'>39.41</span><br><small>損益: +8.18%</small>,36.34%,▲,▲,▲,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",0056,元大高股息,⚪ 觀望中,指標未翻正，保持觀望。,"【0056 元大高股息】BBKD 即時診斷
  行情: 現價:39.41 [+0.33 (+0.84%)] | 開:39.29 高:39.57 低:39.29
  指標: DMA(中):0.45 | 短:▲ 中:▲ 長:▲ | 支撐:39.29
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
期元大S&P黃金<br><small>00635U</small>,<span class='price-now'>50.1</span><br><small>損益: -9.32%</small>,3.4%,▲,▲,▼,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",00635U,期元大S&P黃金,⚪ 觀望中,指標未翻正，保持觀望。,"【00635U 期元大S&P黃金】BBKD 即時診斷
  行情: 現價:50.10 [+0.33 (+0.66%)] | 開:50.15 高:50.30 低:49.95
  指標: DMA(中):0.22 | 短:▲ 中:▲ 長:▼ | 支撐:56.50
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
期元大道瓊白銀<br><small>00738U</small>,<span class='price-now'>61.7</span><br><small>損益: -6.88%</small>,-8.05%,▲,▲,▼,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",00738U,期元大道瓊白銀,⚪ 觀望中,指標未翻正，保持觀望。,"【00738U 期元大道瓊白銀】BBKD 即時診斷
  行情: 現價:61.70 [+1.45 (+2.41%)] | 開:61.50 高:61.90 低:61.00
  指標: DMA(中):0.47 | 短:▲ 中:▲ 長:▼ | 支撐:61.00
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
復華台灣科技優息<br><small>00929</small>,<span class='price-now'>20.01</span><br><small>損益: +1.42%</small>,-2.99%,▲,▲,▲,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",00929,復華台灣科技優息,⚪ 觀望中,指標未翻正，保持觀望。,"【00929 復華台灣科技優息】BBKD 即時診斷
  行情: 現價:20.01 [+0.36 (+1.83%)] | 開:19.71 高:20.10 低:19.70
  指標: DMA(中):0.19 | 短:▲ 中:▲ 長:▲ | 支撐:19.70
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
凱基台灣TOP50<br><small>009816</small>,<span class='price-now'>11.4</span><br><small>損益: +3.54%</small>,0%,▲,▲,▼,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",009816,凱基台灣TOP50,⚪ 觀望中,指標未翻正，保持觀望。,"【009816 凱基台灣TOP50】BBKD 即時診斷
  行情: 現價:11.40 [+0.21 (+1.88%)] | 開:11.32 高:11.40 低:11.32
  指標: DMA(中):0.39 | 短:▲ 中:▲ 長:▼ | 支撐:0.00
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
主動元大AI新經濟<br><small>00990A</small>,<span class='price-now'>14.01</span><br><small>損益: +22.04%</small>,-1.07%,▲,▲,▲,"<div class=""advice-box buy-bg""><span class=""advice-title"">🍀 持股中</span><br><span class=""advice-reason"">🚀 三期共振強勢，守穩移動支撐 13.76。</span></div>",00990A,主動元大AI新經濟,🍀 持股中,🚀 三期共振強勢，守穩移動支撐 13.76。,"【00990A 主動元大AI新經濟】BBKD 即時診斷
  行情: 現價:14.01 [+0.50 (+3.70%)] | 開:13.76 高:14.02 低:13.76
  指標: DMA(中):1.01 | 短:▲ 中:▲ 長:▲ | 支撐:13.76
  結果: 🍀 持股中 -> 🚀 三期共振強勢，守穩移動支撐 13.76。
---------------------------------------------------------------------------"
第一銅<br><small>2009</small>,<span class='price-now'>40.5</span><br><small>損益: -19.90%</small>,52.28%,▲,▼,▼,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",2009,第一銅,⚪ 觀望中,指標未翻正，保持觀望。,"【2009 第一銅】BBKD 即時診斷
  行情: 現價:40.50 [+0.60 (+1.50%)] | 開:40.20 高:40.85 低:40.20
  指標: DMA(中):-0.69 | 短:▲ 中:▼ 長:▼ | 支撐:45.20
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
旺宏<br><small>2337</small>,<span class='price-now'>146.0</span><br><small>損益: +53.23%</small>,17.28%,▲,▲,▲,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",2337,旺宏,⚪ 觀望中,指標未翻正，保持觀望。,"【2337 旺宏】BBKD 即時診斷
  行情: 現價:146.00 [+4.00 (+2.82%)] | 開:149.00 高:156.00 低:141.50
  指標: DMA(中):8.17 | 短:▲ 中:▲ 長:▲ | 支撐:27.15
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
佳世達<br><small>2352</small>,<span class='price-now'>24.05</span><br><small>損益: +147.43%</small>,34.81%,▲,▲,▼,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",2352,佳世達,⚪ 觀望中,指標未翻正，保持觀望。,"【2352 佳世達】BBKD 即時診斷
  行情: 現價:24.05 [-0.30 (-1.23%)] | 開:24.50 高:24.55 低:24.05
  指標: DMA(中):0.04 | 短:▲ 中:▲ 長:▼ | 支撐:27.00
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
友達<br><small>2409</small>,<span class='price-now'>18.15</span><br><small>損益: +11.97%</small>,55.7%,▲,▲,▲,"<div class=""advice-box buy-bg""><span class=""advice-title"">🍀 持股中</span><br><span class=""advice-reason"">🚀 三期共振強勢，守穩移動支撐 17.15。</span></div>",2409,友達,🍀 持股中,🚀 三期共振強勢，守穩移動支撐 17.15。,"【2409 友達】BBKD 即時診斷
  行情: 現價:18.15 [-0.60 (-3.20%)] | 開:19.40 高:19.50 低:17.15
  指標: DMA(中):1.70 | 短:▲ 中:▲ 長:▲ | 支撐:17.15
  結果: 🍀 持股中 -> 🚀 三期共振強勢，守穩移動支撐 17.15。
---------------------------------------------------------------------------"
群創<br><small>3481</small>,<span class='price-now'>26.0</span><br><small>損益: +3.59%</small>,33.92%,▲,▼,▲,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",3481,群創,⚪ 觀望中,指標未翻正，保持觀望。,"【3481 群創】BBKD 即時診斷
  行情: 現價:26.00 [-0.95 (-3.53%)] | 開:27.55 高:27.55 低:25.40
  指標: DMA(中):-0.08 | 短:▲ 中:▼ 長:▲ | 支撐:21.00
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
富爾特<br><small>6136</small>,<span class='price-now'>24.4</span><br><small>損益: +112.91%</small>,-11.06%,▲,▲,▲,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",6136,富爾特,⚪ 觀望中,指標未翻正，保持觀望。,"【6136 富爾特】BBKD 即時診斷
  行情: 現價:24.40 [+0.20 (+0.83%)] | 開:24.25 高:24.60 低:24.20
  指標: DMA(中):0.21 | 短:▲ 中:▲ 長:▲ | 支撐:24.00
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
森崴能源<br><small>6806</small>,<span class='price-now'>22.9</span><br><small>損益: -49.55%</small>,89.32%,▼,▼,▼,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",6806,森崴能源,⚪ 觀望中,指標未翻正，保持觀望。,"【6806 森崴能源】BBKD 即時診斷
  行情: 現價:22.90 [-2.50 (-9.84%)] | 開:22.90 高:22.90 低:22.90
  指標: DMA(中):-9.96 | 短:▼ 中:▼ 長:▼ | 支撐:43.10
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
穩懋<br><small>3105</small>,<span class='price-now'>464.0</span><br><small>損益: +9.08%</small>,31.65%,▲,▲,▲,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",3105,穩懋,⚪ 觀望中,指標未翻正，保持觀望。,"【3105 穩懋】BBKD 即時診斷
  行情: 現價:464.00 [+28.00 (+6.42%)] | 開:447.00 高:474.00 低:434.00
  指標: DMA(中):74.68 | 短:▲ 中:▲ 長:▲ | 支撐:100.50
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
譜瑞-KY<br><small>4966</small>,<span class='price-now'>533.0</span><br><small>損益: -72.26%</small>,3.24%,▲,▲,▼,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",4966,譜瑞-KY,⚪ 觀望中,指標未翻正，保持觀望。,"【4966 譜瑞-KY】BBKD 即時診斷
  行情: 現價:533.00 [+32.00 (+6.39%)] | 開:498.00 高:537.00 低:498.00
  指標: DMA(中):10.19 | 短:▲ 中:▲ 長:▼ | 支撐:498.00
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
廣明<br><small>6188</small>,<span class='price-now'>87.5</span><br><small>損益: -24.31%</small>,58.07%,▼,▼,▼,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",6188,廣明,⚪ 觀望中,指標未翻正，保持觀望。,"【6188 廣明】BBKD 即時診斷
  行情: 現價:87.50 [-0.10 (-0.11%)] | 開:88.00 高:88.80 低:86.50
  指標: DMA(中):-3.33 | 短:▼ 中:▼ 長:▼ | 支撐:115.00
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
安葆<br><small>7792</small>,<span class='price-now'>359.0</span><br><small>損益: +16.84%</small>,-0.69%,▲,▲,▲,"<div class=""advice-box hold-bg""><span class=""advice-title"">⚪ 觀望中</span><br><span class=""advice-reason"">指標未翻正，保持觀望。</span></div>",7792,安葆,⚪ 觀望中,指標未翻正，保持觀望。,"【7792 安葆】BBKD 即時診斷
  行情: 現價:359.00 [+14.00 (+4.06%)] | 開:348.50 高:368.00 低:342.50
  指標: DMA(中):23.93 | 短:▲ 中:▲ 長:▲ | 支撐:219.00
  結果: ⚪ 觀望中 -> 指標未翻正，保持觀望。
---------------------------------------------------------------------------"
國巨*<br><small>2327</small>,<span class='price-now'>285.0</span><br><small>損益: +20.66%</small>,-3.47%,▲,▲,▼,"<div class=""advice-box buy-bg""><span class=""advice-title"">🍀 持股中</span><br><span class=""advice-reason"">🌀 趨勢分歧震盪，守穩移動支撐 283.0。</span></div>",2327,國巨*,🍀 持股中,🌀 趨勢分歧震盪，守穩移動支撐 283.0。,"【2327 國巨*】BBKD 即時診斷
  行情: 現價:285.00 [+3.50 (+1.24%)] | 開:290.00 高:292.00 低:283.00
  指標: DMA(中):11.10 | 短:▲ 中:▲ 長:▼ | 支撐:283.00
  結果: 🍀 持股中 -> 🌀 趨勢分歧震盪，守穩移動支撐 283.0。
---------------------------------------------------------------------------"
