股號,名稱,即時現價,建議狀態,詳細建議
2317,鴻海,<span class='price-now'>200.5</span><br><small>損益: -16.88%</small>,⚪ 觀望中,指標未翻正，保持觀望。
3702,大聯大,<span class='price-now'>91.5</span><br><small>損益: -3.15%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2485,兆赫,<span class='price-now'>73.5</span><br><small>損益: -9.67%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2367,燿華,<span class='price-now'>75.0</span><br><small>損益: -2.69%</small>,⚪ 觀望中,指標未翻正，保持觀望。
4142,國光生,<span class='price-now'>18.35</span><br><small>損益: -27.53%</small>,⚪ 觀望中,指標未翻正，保持觀望。
0050,元大台灣50,<span class='price-now'>80.75</span><br><small>損益: +73.28%</small>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 79.95。
0056,元大高股息,<span class='price-now'>39.41</span><br><small>損益: +8.18%</small>,⚪ 觀望中,指標未翻正，保持觀望。
00635U,期元大S&P黃金,<span class='price-now'>50.1</span><br><small>損益: -9.32%</small>,⚪ 觀望中,指標未翻正，保持觀望。
00738U,期元大道瓊白銀,<span class='price-now'>61.7</span><br><small>損益: -6.88%</small>,⚪ 觀望中,指標未翻正，保持觀望。
00929,復華台灣科技優息,<span class='price-now'>20.01</span><br><small>損益: +1.42%</small>,⚪ 觀望中,指標未翻正，保持觀望。
009816,凱基台灣TOP50,<span class='price-now'>11.4</span><br><small>損益: +3.54%</small>,⚪ 觀望中,指標未翻正，保持觀望。
00990A,主動元大AI新經濟,<span class='price-now'>14.01</span><br><small>損益: +22.04%</small>,🍀 持股中,🚀 三期共振強勢，守穩移動支撐 13.76。
2009,第一銅,<span class='price-now'>40.5</span><br><small>損益: -19.90%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2337,旺宏,<span class='price-now'>146.0</span><br><small>損益: +53.23%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2352,佳世達,<span class='price-now'>24.05</span><br><small>損益: +147.43%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2409,友達,<span class='price-now'>18.15</span><br><small>損益: +11.97%</small>,🍀 持股中,🚀 三期共振強勢，守穩移動支撐 17.15。
3481,群創,<span class='price-now'>26.0</span><br><small>損益: +3.59%</small>,⚪ 觀望中,指標未翻正，保持觀望。
6136,富爾特,<span class='price-now'>24.4</span><br><small>損益: +112.91%</small>,⚪ 觀望中,指標未翻正，保持觀望。
6806,森崴能源,<span class='price-now'>22.9</span><br><small>損益: -49.55%</small>,⚪ 觀望中,指標未翻正，保持觀望。
3105,穩懋,<span class='price-now'>464.0</span><br><small>損益: +9.08%</small>,⚪ 觀望中,指標未翻正，保持觀望。
4966,譜瑞-KY,<span class='price-now'>533.0</span><br><small>損益: -72.26%</small>,⚪ 觀望中,指標未翻正，保持觀望。
6188,廣明,<span class='price-now'>87.5</span><br><small>損益: -24.31%</small>,⚪ 觀望中,指標未翻正，保持觀望。
7792,安葆,<span class='price-now'>359.0</span><br><small>損益: +16.84%</small>,⚪ 觀望中,指標未翻正，保持觀望。
2327,國巨*,<span class='price-now'>285.0</span><br><small>損益: +20.66%</small>,🍀 持股中,🌀 趨勢分歧震盪，守穩移動支撐 283.0。
