股號,名稱,現價,漲跌幅,建議
2317,鴻海,200.5,0.00%,賣出
3702,大聯大,91.5,0.00%,賣出
2485,兆赫,73.5,0.00%,賣出
2367,燿華,75.0,0.00%,賣出
4142,國光生,18.35,0.00%,賣出
0050,元大台灣50,80.75,0.00%,續抱/觀望
0056,元大高股息,39.41,0.00%,續抱/觀望
00635U,期元大S&P黃金,49.75,-0.70%,賣出
00738U,期元大道瓊白銀,61.7,0.00%,續抱/觀望
00929,復華台灣科技優息,20.01,0.00%,續抱/觀望
009816,凱基台灣TOP50,11.4,0.00%,續抱/觀望
00990A,主動元大AI新經濟,14.01,0.00%,續抱/觀望
2009,第一銅,40.5,0.00%,賣出
2337,旺宏,147.0,0.68%,續抱/觀望
2352,佳世達,24.05,0.00%,續抱/觀望
2409,友達,18.15,0.00%,續抱/觀望
3481,群創,26.0,0.00%,續抱/觀望
6136,富爾特,24.4,0.00%,續抱/觀望
6806,森崴能源,22.9,0.00%,賣出
3105,穩懋,464.0,0.00%,續抱/觀望
4966,譜瑞-KY,533.0,0.00%,買入
6188,廣明,87.5,0.00%,賣出
7792,安葆,359.0,0.00%,買入
2327,國巨*,305.0,7.02%,買入
