📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
1802.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.11%
1326.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -13.81%
3714.TW    | 次數: 5    | 勝率:  40.00% | 累計:    7.88%
2485.TW    | 次數: 2    | 勝率: 100.00% | 累計:   56.79%
2402.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -19.31%
3031.TW    | 次數: 4    | 勝率:   0.00% | 累計:  -20.54%
6147.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   10.73%
6285.TW    | 次數: 2    | 勝率: 100.00% | 累計:   48.87%
1711.TW    | 次數: 3    | 勝率:  66.67% | 累計:   28.93%
4960.TW    | 次數: 3    | 勝率:  33.33% | 累計:   35.57%
4927.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -21.97%
8021.TW    | 次數: 3    | 勝率:  33.33% | 累計:    4.68%
2484.TW    | 次數: 5    | 勝率:  20.00% | 累計:  -10.13%
3645.TW    | 次數: 2    | 勝率:  50.00% | 累計:    0.73%
3673.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -3.19%
3221.TWO   | 次數: 5    | 勝率:  20.00% | 累計:  -31.82%
6175.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -8.56%
5328.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   11.28%
6173.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -2.20%
4949.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.34%
