股號,名稱,開盤,最高,最低,現價,漲跌,狀態
1802.TW,台玻,58.8,63.4,58.2,63.4,+5.70 (+9.88%),均線糾撐 -> 趨勢運行
1326.TW,台化,46.1,49.95,46.0,49.95,+4.50 (+9.90%),均線糾撐
3714.TW,富采,50.8,57.2,50.0,57.2,+5.20 (+10.00%),趨勢運行 -> 離開盤整 (向上)
2485.TW,兆赫,74.0,80.8,72.0,80.8,+7.30 (+9.93%),進入盤整 -> 趨勢運行
2402.TW,毅嘉,61.8,67.4,61.4,67.4,+6.10 (+9.95%),進入盤整 -> 離開盤整 (向上)
3031.TW,佰鴻,28.35,31.15,26.85,31.15,+2.80 (+9.88%),離開盤整 (向上)
6147.TWO,頎邦,112.0,116.5,111.5,116.5,+10.50 (+9.91%),進入盤整 -> 離開盤整 (向上)
6285.TW,啟��,227.0,248.0,226.0,248.0,+22.50 (+9.98%),進入盤整 -> 離開盤整 (向上)
1711.TW,永光,39.05,42.55,39.05,42.55,+3.85 (+9.95%),趨勢運行 -> 均線糾撐
4960.TW,誠美材,22.75,25.3,22.25,25.3,+2.30 (+10.00%),趨勢運行
4927.TW,泰鼎-KY,44.0,48.2,43.5,48.2,+4.35 (+9.92%),均線糾撐
8021.TW,尖點,346.0,349.0,323.0,349.0,+31.50 (+9.92%),離開盤整 (向上)
2484.TW,希華,32.1,34.9,31.8,34.9,+3.15 (+9.92%),趨勢運行 -> 離開盤整 (向上)
3645.TW,達邁,85.5,90.4,82.8,90.4,+8.20 (+9.98%),均線糾撐
3673.TW,TPK-KY,50.6,55.0,49.95,55.0,+5.00 (+10.00%),趨勢運行 -> 離開盤整 (向上)
3221.TWO,台嘉碩,36.1,39.7,35.7,39.7,+3.60 (+9.97%),趨勢運行
6175.TWO,立敦,54.5,58.0,54.4,58.0,+5.20 (+9.85%),均線糾撐 -> 離開盤整 (向上)
5328.TWO,華容,25.2,27.0,24.75,27.0,+2.45 (+9.98%),趨勢運行
6173.TWO,信昌電,68.2,71.8,66.8,71.8,+6.50 (+9.95%),均線糾撐
4949.TW,有成精密,88.5,93.1,84.0,93.1,+8.40 (+9.92%),離開盤整 (向上)
