股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
4949.TW,有成精密,🔥 訊號出現,93.0999984741,75.2,🟡 妖股/高波動,40.00%,40.00%,6.89%,-2.45%,5,90.82,0.4,0.0689
2484.TW,希華,🔥 訊號出現,34.9000015259,64.93,⚪ 一般監控,50.00%,37.50%,1.58%,-3.97%,8,33.51,0.375,0.0158
3031.TW,佰鴻,🔥 訊號出現,31.1499996185,75.68,🔴 空頭陷阱,28.57%,14.29%,-3.16%,-5.80%,7,29.34,0.1429,-0.0316
2402.TW,毅嘉,🔥 訊號出現,67.4000015259,76.37,🔴 空頭陷阱,33.33%,0.00%,-22.62%,-18.52%,3,54.91,0.0,-0.2262
6175.TWO,立敦,🔥 訊號出現,58.0,71.04,🔴 空頭陷阱,25.00%,0.00%,-7.17%,-4.11%,4,55.62,0.0,-0.0717
4960.TW,誠美材,無,25.2999992371,50.26,🟢 黃金標的,66.67%,66.67%,20.10%,-2.37%,6,0.0,0.6667,0.201
5328.TWO,華容,無,27.0,47.71,🟢 黃金標的,60.00%,60.00%,7.80%,-0.50%,5,0.0,0.6,0.078
3714.TW,富采,無,57.2000007629,61.15,🟢 黃金標的,14.29%,57.14%,5.64%,-5.23%,7,0.0,0.5714,0.0564
1711.TW,永光,無,42.5499992371,51.34,🟢 黃金標的,55.56%,55.56%,6.88%,-5.70%,9,0.0,0.5556,0.0688
3645.TW,達邁,無,90.4000015259,65.46,🔵 穩健標的,42.86%,57.14%,0.77%,-3.67%,7,0.0,0.5714,0.0077
1802.TW,台玻,無,63.4000015259,59.06,⚪ 一般監控,50.00%,50.00%,1.30%,-5.80%,6,0.0,0.5,0.013
6147.TWO,頎邦,無,116.5,82.52,⚪ 一般監控,33.33%,50.00%,1.97%,-5.59%,6,0.0,0.5,0.0197
6285.TW,啟��,無,248.0,75.96,⚪ 一般監控,62.50%,50.00%,11.83%,-1.45%,8,0.0,0.5,0.1183
4927.TW,泰鼎-KY,無,48.2000007629,55.02,🔴 空頭陷阱,40.00%,40.00%,-2.73%,-4.96%,5,0.0,0.4,-0.0273
3221.TWO,台嘉碩,無,39.7000007629,54.74,🔴 空頭陷阱,33.33%,22.22%,-4.92%,-8.29%,9,0.0,0.2222,-0.0492
2485.TW,兆赫,無,80.8000030518,58.65,🔴 空頭陷阱,50.00%,16.67%,-4.96%,-9.08%,6,0.0,0.1667,-0.0496
1326.TW,台化,無,49.9500007629,59.67,🔴 空頭陷阱,33.33%,0.00%,-5.95%,-9.16%,3,0.0,0.0,-0.0595
8021.TW,尖點,無,349.0,69.16,🔴 空頭陷阱,0.00%,0.00%,-6.83%,-6.23%,3,0.0,0.0,-0.0683
3673.TW,TPK-KY,無,55.0,71.23,🔴 空頭陷阱,25.00%,0.00%,-3.07%,-2.56%,4,0.0,0.0,-0.0307
6173.TWO,信昌電,無,71.8000030518,67.19,🔴 空頭陷阱,0.00%,0.00%,-4.70%,-7.18%,1,0.0,0.0,-0.047
