股號,名稱,模式,隔日勝率%,5日勝率%,平均收益%,交易次數,目前狀態,專家建議原因
00635U.TW,期元大S&P黃金,short,50.0,100.0,-3.07,4,持股中,守住防線 46.9
7792.TWO,安葆,short,50.0,100.0,-6.8,4,持股中,守住防線 285.6
2352.TW,佳世達,short,50.0,100.0,-8.53,4,觀望中,待突破關鍵高 24.4
00929.TW,復華台灣科技優息,short,100.0,100.0,-2.55,6,持股中,守住防線 19.2
00738U.TW,期元大道瓊白銀,short,50.0,100.0,-4.92,4,持股中,守住防線 55.2
6806.TW,森崴能源,short,33.33,83.33,-0.97,12,觀望中,待突破關鍵高 43.0
4966.TWO,譜瑞-KY,short,50.0,100.0,-4.16,4,持股中,守住防線 460.6
3481.TW,群創,short,40.0,100.0,1.61,10,持股中,守住防線 22.1
2409.TW,友達,short,66.67,100.0,-1.67,6,持股中,守住防線 14.2
0050.TW,元大台灣50,short,0.0,50.0,-1.42,4,持股中,守住防線 76.3
3105.TWO,穩懋,short,0.0,0.0,0.0,0,觀望中,趨勢尚未轉強
2485.TW,兆赫,short,75.0,100.0,30.56,8,持股中,守住防線 78.0
6188.TWO,廣明,short,100.0,100.0,-3.62,2,觀望中,待突破關鍵高 89.4
2317.TW,鴻海,short,50.0,100.0,-3.03,4,持股中,守住防線 189.5
2367.TW,燿華,short,0.0,0.0,0.0,0,觀望中,趨勢尚未轉強
2337.TW,旺宏,short,0.0,0.0,-0.6,2,建議買入,守住防線 125.0
0056.TW,元大高股息,short,100.0,100.0,0.81,2,持股中,守住防線 38.1
2327.TW,國巨*,short,50.0,100.0,-2.15,4,持股中,守住防線 251.0
2009.TW,第一銅,short,0.0,0.0,-0.6,2,建議買入,守住防線 39.1
3702.TW,大聯大,short,0.0,0.0,0.0,0,觀望中,待突破關鍵高 97.7
6136.TW,富爾特,short,0.0,100.0,-1.42,4,持股中,守住防線 24.1
4142.TW,國光生,short,25.0,75.0,-0.46,8,建議買入,守住防線 18.5
009816.TW,凱基台灣TOP50,short,0.0,50.0,-1.68,4,持股中,守住防線 10.8
00990A.TW,主動元大AI新經濟,short,0.0,0.0,0.0,0,觀望中,趨勢尚未轉強
