股號,名稱,即時現價,建議狀態,詳細建議
2409.TW,友達,<span class='price-now'>19.8</span>,🍀 持股中,🚀 三期共振強勢，守穩移動支撐 18.4。
1802.TW,台玻,<span class='price-now'>68.2</span>,⚪ 觀望中,指標未翻正，保持觀望。
1326.TW,台化,<span class='price-now'>54.6</span>,🍀 持股中,🚀 三期共振強勢，守穩移動支撐 49.0。
2402.TW,毅嘉,<span class='price-now'>72.4</span>,⚪ 觀望中,指標未翻正，保持觀望。
6127.TWO,九豪,<span class='price-now'>48.15</span>,⚪ 觀望中,指標未翻正，保持觀望。
4919.TW,新唐,<span class='price-now'>110.5</span>,⚪ 觀望中,指標未翻正，保持觀望。
1312.TW,國喬,<span class='price-now'>14.85</span>,⚪ 觀望中,指標未翻正，保持觀望。
8358.TWO,金居,<span class='price-now'>315.5</span>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 302.0。
6278.TW,台表科,<span class='price-now'>125.0</span>,⚪ 觀望中,指標未翻正，保持觀望。
6282.TW,康舒,<span class='price-now'>50.4</span>,🚩 建議買入,突破壓力位，指標呈 🌀 趨勢分歧震盪。
6213.TW,聯茂,<span class='price-now'>224.0</span>,⚪ 觀望中,指標未翻正，保持觀望。
4956.TW,光鋐,<span class='price-now'>41.8</span>,⚪ 觀望中,指標未翻正，保持觀望。
3026.TW,禾伸堂,<span class='price-now'>229.5</span>,⚪ 觀望中,指標未翻正，保持觀望。
4989.TW,榮科,<span class='price-now'>89.4</span>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 84.7。
2049.TW,上銀,<span class='price-now'>275.0</span>,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
6789.TW,采鈺,<span class='price-now'>407.0</span>,⚪ 觀望中,指標未翻正，保持觀望。
6531.TW,愛普*,<span class='price-now'>606.0</span>,⚪ 觀望中,指標未翻正，保持觀望。
6191.TW,精成科,<span class='price-now'>104.5</span>,⚪ 觀望中,指標未翻正，保持觀望。
3709.TWO,鑫聯大投控,<span class='price-now'>74.8</span>,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
3701.TW,大眾控,<span class='price-now'>62.0</span>,⚪ 觀望中,指標未翻正，保持觀望。
6274.TWO,台燿,<span class='price-now'>860.0</span>,⚪ 觀望中,指標未翻正，保持觀望。
4540.TW,全球傳動,<span class='price-now'>51.9</span>,⚪ 觀望中,指標未翻正，保持觀望。
