symbol,name,price,date,eps,eps_yoy,rev_yoy,expansion,status
6282.TW,康舒,50.0999984741,2025-12,0.18,550.0,0.1,549.9,🔄 轉虧為盈
2409.TW,友達,20.7000007629,2025-12,0.9,327.5,0.41,327.09,🚀 利潤擴張
6127.TWO,九豪,51.2999992371,2025-12,0.47,173.44,-1.13,174.57,🧐 疑業外收益
3709.TWO,鑫聯大投控,69.0,2025-12,7.11,178.19,44.32,133.87,🚀 利潤擴張
4540.TW,全球傳動,52.9000015259,2025-12,-0.66,85.65,11.55,74.10000000000001,🚀 利潤擴張
6213.TW,聯茂,252.0,2025-12,4.16,82.74,12.66,70.08,🚀 利潤擴張
1802.TW,台玻,69.9000015259,2025-12,-0.2,62.96,-2.37,65.33,🧐 疑業外收益
3026.TW,禾伸堂,240.5,2025-12,6.58,12.1,5.01,7.09,🚀 利潤擴張
6274.TWO,台燿,960.0,2025-12,12.13,25.11,31.51,-6.400000000000002,⚠️ 獲利稀釋
2402.TW,毅嘉,70.6999969482,2025-12,2.47,6.06,13.83,-7.7700000000000005,⚠️ 獲利稀釋
6278.TW,台表科,143.0,2025-12,9.39,-5.53,10.13,-15.66,📉 獲利侵蝕
6789.TW,采鈺,414.0,2025-12,4.01,-27.01,-10.64,-16.37,🌑 雙重衰退
2049.TW,上銀,279.0,2025-12,4.31,-22.62,-0.53,-22.09,🌑 雙重衰退
4989.TW,榮科,105.0,2025-12,-3.48,-56.76,-11.09,-45.67,🌑 雙重衰退
6191.TW,精成科,105.0,2025-12,6.55,5.17,55.5,-50.33,⚠️ 獲利稀釋
6531.TW,愛普*,586.0,2025-12,7.74,-20.47,35.16,-55.629999999999995,📉 獲利侵蝕
1312.TW,國喬,14.1000003815,2025-12,-3.97,-181.88,37.74,-219.62,📉 獲利侵蝕
4956.TW,光鋐,45.25,2025-12,-0.8,-280.95,4.19,-285.14,📉 獲利侵蝕
3701.TW,大眾控,63.4000015259,2025-12,-0.38,-445.45,-24.95,-420.5,🌑 雙重衰退
4919.TW,新唐,117.5,2025-12,-3.97,-863.46,-4.48,-858.98,🌑 雙重衰退
1326.TW,台化,52.0999984741,2025-12,-0.99,-1750.0,-17.66,-1732.34,🌑 雙重衰退
