股號,名稱,結構,最新價,均損益%,隔日勝率%,5日勝率%,建議,原因
2409.TW,友達,🚀 多頭強勢,19.8,2.51,50.0,42.9,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
1802.TW,台玻,🚀 多頭強勢,68.2,5.16,60.0,30.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
1326.TW,台化,🚀 多頭強勢,54.6,8.28,35.7,35.7,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
2402.TW,毅嘉,📈 月線上揚,72.4,-19.31,50.0,50.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6127.TWO,九豪,🚀 多頭強勢,48.15,1.68,22.2,22.2,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
4919.TW,新唐,📈 月線上揚,110.5,21.02,43.3,63.3,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
1312.TW,國喬,📈 月線上揚,14.85,-2.67,25.0,41.7,⏳ 觀望,⏳ 觀望中 (缺: RSI動能弱)
8358.TWO,金居,🚀 多頭強勢,315.5,-12.71,33.3,0.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6278.TW,台表科,🚀 多頭強勢,125.0,-0.3,75.0,25.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6282.TW,康舒,📈 月線上揚,50.4,21.97,63.6,72.7,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6213.TW,聯茂,🚀 多頭強勢,224.0,-7.52,28.6,21.4,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
4956.TW,光鋐,🚀 多頭強勢,41.8,7.21,55.6,55.6,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
3026.TW,禾伸堂,🚀 多頭強勢,229.5,-3.23,41.2,47.1,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
4989.TW,榮科,🚀 多頭強勢,89.4,-5.98,28.6,21.4,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
2049.TW,上銀,🚀 多頭強勢,275.0,-0.1,60.0,60.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6789.TW,采鈺,🚀 多頭強勢,407.0,-1.33,52.9,41.2,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6531.TW,愛普*,📈 月線上揚,606.0,3.83,53.3,33.3,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6191.TW,精成科,📈 月線上揚,104.5,-1.7,0.0,0.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
3709.TWO,鑫聯大投控,📈 月線上揚,74.8,-6.97,58.3,16.7,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
3701.TW,大眾控,🔄 重新整理,62.0,-8.21,28.6,0.0,⏳ 觀望,⏳ 觀望中 (缺: RSI動能弱)
6274.TWO,台燿,🚀 多頭強勢,860.0,-0.51,62.5,50.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
4540.TW,全球傳動,📈 月線上揚,51.9,5.15,38.5,61.5,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
