代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
2409,友達,19.8,+10.00%,WAIT,76.2,554949,✅|❌|✅|✅|✅
1802,台玻,68.2,+7.57%,WAIT,76.2,290505,✅|✅|✅|❌|✅
1326,台化,54.6,+9.31%,🔥 SIGNAL,74.9,118133,✅|✅|✅|✅|✅
2402,毅嘉,72.4,+7.42%,🔥 SIGNAL,82.9,69350,✅|✅|✅|✅|✅
6127,九豪,48.15,+9.43%,WAIT,60.0,54120,✅|✅|✅|❌|✅
4919,新唐,110.5,+9.95%,WAIT,55.9,46538,✅|❌|✅|❌|✅
1312,國喬,14.85,+10.00%,WAIT,54.6,46108,✅|❌|✅|❌|✅
8358,金居,315.5,+9.93%,WAIT,80.4,32705,✅|✅|❌|❌|✅
6278,台表科,125.0,+9.65%,WAIT,82.5,32052,✅|✅|✅|✅|❌
6282,康舒,50.4,+9.80%,WAIT,60.8,30470,✅|❌|✅|❌|✅
6213,聯茂,224.0,+9.80%,WAIT,81.0,29743,✅|❌|❌|✅|✅
4956,光鋐,41.8,+10.00%,🔥 SIGNAL,67.5,26476,✅|✅|✅|✅|✅
3026,禾伸堂,229.5,+7.75%,WAIT,88.2,21934,✅|✅|✅|✅|❌
4989,榮科,89.4,+9.96%,WAIT,78.6,20398,✅|✅|❌|❌|✅
2049,上銀,275.0,+10.00%,🔥 SIGNAL,74.3,17997,✅|✅|✅|✅|✅
6789,采鈺,407.0,+10.00%,WAIT,76.0,16630,✅|✅|✅|❌|✅
6531,愛普*,606.0,+6.88%,🔥 SIGNAL,63.6,15043,✅|✅|✅|✅|✅
6191,精成科,104.5,+9.54%,🔥 SIGNAL,62.7,14232,✅|✅|✅|✅|✅
3709,鑫聯大投控,74.8,+8.72%,🔥 SIGNAL,63.9,12110,✅|✅|✅|✅|✅
3701,大眾控,62.0,+8.77%,WAIT,53.7,10821,✅|❌|✅|❌|✅
6274,台燿,860.0,+7.37%,WAIT,85.5,10716,✅|✅|❌|✅|✅
4540,全球傳動,51.9,+9.96%,🔥 SIGNAL,71.6,10601,✅|✅|✅|✅|✅
