🚀 V3 Pro 掃描系統 (ATR+BIAS) | 模式: ALL | 日期: 20260415
-----------------------------------------------------------------------------------------------------------------------------
00631L.TW  | 元大台灣50正2   | 25.33    | ☁️ 觀望      |    32.1% |    2 |  50.0% | 動能不足
00642U.TW  | 期元大S&P石油   | 26.83    | 💎 持股       |   38.98% |    1 | 100.0% | 趨勢維持
00663L.TW  | 國泰臺灣加權正2   | 72.65    | 🔥 買入       |   32.96% |    2 |  50.0% | 趨勢突破
00675L.TW  | 富邦臺灣加權正2   | 220.30   | 🔥 買入       |   32.23% |    2 |  50.0% | 趨勢突破
00685L.TW  | 群益臺灣加權正2   | 198.60   | 🔥 買入       |    33.0% |    2 |  50.0% | 趨勢突破
00715L.TW  | 期街口S&P布蘭特油正2 | 48.46    | ☁️ 觀望      |   57.29% |    2 |  50.0% | 動能不足
00735.TW   | 國泰臺韓科技     | 76.80    | 🔥 買入       |   35.18% |    1 | 100.0% | 趨勢突破
00904.TW   | 新光臺灣半導體30  | 31.34    | 🔥 買入       |   31.76% |    1 | 100.0% | 趨勢突破
00910.TW   | 第一金太空衛星    | 67.65    | 💎 持股       |   35.87% |    1 | 100.0% | 趨勢維持
1303.TW    | 南亞         | 88.50    | 💎 持股       |   47.46% |    2 | 100.0% | 趨勢維持
1309.TW    | 台達化        | 21.25    | ☁️ 觀望      |   38.82% |    3 | 33.33% | 動能不足
1471.TW    | 首利         | 11.90    | ☁️ 觀望      |   31.83% |    2 |  50.0% | 動能不足
1528.TW    | 恩德         | 30.35    | 💎 持股       |   38.92% |    1 | 100.0% | 趨勢維持
1711.TW    | 永光         | 43.65    | 💎 持股       |   78.63% |    2 | 100.0% | 趨勢維持
1785.TWO   | 光洋科        | 140.00   | 💎 持股       |   43.55% |    2 |  50.0% | 趨勢維持
1809.TW    | 中釉         | 27.30    | ☁️ 觀望      |   32.43% |    2 |  50.0% | 動能不足
2243.TW    | 宏旭-KY      | 23.05    | 💎 持股       |   61.61% |    2 |  50.0% | 趨勢維持
2305.TW    | 全友         | 17.60    | 💎 持股       |    30.0% |    1 | 100.0% | 趨勢維持
2313.TW    | 華通         | 263.00   | 💎 持股       |   94.38% |    1 | 100.0% | 趨勢維持
2337.TW    | 旺宏         | 142.00   | 💎 持股       |   41.76% |    2 |  50.0% | 趨勢維持
2344.TW    | 華邦電        | 90.20    | ☁️ 觀望      |   36.25% |    1 | 100.0% | 動能不足
2367.TW    | 燿華         | 72.10    | ☁️ 觀望      |  109.51% |    2 |  50.0% | 動能不足
2413.TW    | 環科         | 51.80    | ☁️ 觀望      |   34.82% |    3 | 33.33% | 動能不足
2426.TW    | 鼎元         | 49.30    | 💎 持股       |   66.21% |    3 | 33.33% | 趨勢維持
2467.TW    | 志聖         | 510.00   | 💎 持股       |   45.97% |    2 | 100.0% | 趨勢維持
2485.TW    | 兆赫         | 79.90    | 💎 持股       |   64.23% |    3 | 100.0% | 趨勢維持
2640.TWO   | 大車隊        | 179.00   | 💎 持股       |   37.12% |    2 |  50.0% | 趨勢維持
3037.TW    | 欣興         | 618.00   | 💎 持股       |   89.33% |    1 | 100.0% | 趨勢維持
3054.TW    | 立萬利        | 66.60    | ☁️ 觀望      |  140.83% |    3 | 100.0% | 動能不足
