symbol,name,price,pe,est_price,date,eps,eps_yoy,rev_yoy,expansion,status
2409.TW,友達,20.0499992371,7.893700487047244,38.1,2025-12,0.9,327.5,0.41,327.09,🚀 利潤擴張
2485.TW,兆赫,79.9000015259,0.0,-62.699999999999996,2025-12,-0.96,57.52,-0.05,57.57,🧐 疑業外收益
3702.TW,大聯大,97.5,7.414448669201522,197.24999999999997,2025-12,5.77,39.35,13.46,25.89,🚀 利潤擴張
4142.TW,國光生,18.4500007629,0.0,-48.6,2025-12,-0.57,1.75,-9.99,11.74,🧐 疑業外收益
2317.TW,鴻海,207.5,6.2406015037593985,498.75,2025-12,13.61,23.02,18.13,4.890000000000001,🚀 利潤擴張
2337.TW,旺宏,142.0,0.0,-75.3,2025-12,-1.77,1.16,11.58,-10.42,⚠️ 獲利稀釋
6136.TW,富爾特,24.6000003815,12.42424261691919,29.7,2025-12,0.89,-1.11,29.83,-30.939999999999998,📉 獲利侵蝕
2352.TW,佳世達,24.7000007629,12.864583730677085,28.799999999999997,2025-12,0.64,-35.71,3.09,-38.8,📉 獲利侵蝕
2009.TW,第一銅,40.9000015259,90.88889227977776,6.750000000000001,2025-12,0.34,-54.05,-7.12,-46.93,🌑 雙重衰退
2367.TW,燿華,72.0999984741,26.8029734104461,40.35,2025-12,0.68,-69.2,-12.33,-56.870000000000005,🌑 雙重衰退
2327.TW,國巨*,322.0,6.31248774750049,765.1500000000001,2025-12,11.51,-69.45,9.26,-78.71000000000001,📉 獲利侵蝕
3481.TW,群創,27.6000003815,131.42857324523808,3.15,2025-12,0.03,-96.3,4.72,-101.02,📉 獲利侵蝕
6806.TW,森崴能源,20.4500007629,0.0,-1843.1999999999998,2025-12,-60.0,-1744.48,32.68,-1777.16,📉 獲利侵蝕
