股票代碼,訊號日期,訊號收盤,買入日期,買入價格,賣出日期,賣出價格,獲利%,raw_pnl,狀態,股票標的
2317.TW,2026-01-07,238.5,2026-01-08,237.5,2026-01-09,230.0,-3.16%,-0.031578947368421054,交易結束,2317.TW 鴻海
2317.TW,2026-02-25,246.5,2026-02-26,253.5,2026-03-04,224.5,-11.44%,-0.11439842209072978,交易結束,2317.TW 鴻海
3702.TW,2026-02-24,66.6,2026-02-25,67.0,2026-03-31,89.6,33.73%,0.3373134100611941,交易結束,3702.TW 大聯大
2485.TW,2026-01-15,36.55,2026-01-16,38.1,2026-02-10,40.9,7.35%,0.0734908966913324,交易結束,2485.TW 兆赫
2485.TW,2026-03-03,54.4,2026-03-04,54.0,2026-04-07,80.7,49.44%,0.4944443879296295,交易結束,2485.TW 兆赫
2367.TW,2026-01-07,31.65,2026-01-08,32.0,2026-02-11,52.1,62.81%,0.6281249523156249,交易結束,2367.TW 燿華
2367.TW,2026-03-02,70.9,2026-03-03,74.0,2026-03-10,65.0,-12.16%,-0.12162162162162163,交易結束,2367.TW 燿華
2367.TW,2026-03-27,78.2,2026-03-30,77.5,2026-04-01,78.0,0.65%,0.0064516129032258064,交易結束,2367.TW 燿華
4142.TW,2026-03-23,18.35,2026-03-24,18.5,2026-04-08,18.3,-1.08%,-0.01081085204864866,交易結束,4142.TW 國光生
0050.TW,2026-01-05,68.53,2026-01-06,68.48,2026-02-03,73.0,6.60%,0.06595176809209385,交易結束,0050.TW 元大台灣50
0050.TW,2026-02-25,81.1,2026-02-26,81.25,2026-03-05,78.3,-3.63%,-0.03630765474707687,交易結束,0050.TW 元大台灣50
0056.TW,2026-01-19,37.55,2026-01-20,37.51,2026-02-02,37.28,-0.61%,-0.006135616978836869,交易結束,0056.TW 元大高股息
0056.TW,2026-02-11,38.7,2026-02-23,38.97,2026-03-05,38.5,-1.21%,-0.012060590350978598,交易結束,0056.TW 元大高股息
00635U.TW,2026-01-21,52.1,2026-01-22,51.2,2026-02-03,50.95,-0.49%,-0.004882812427244188,交易結束,00635U.TW 期元大S&P黃金
00738U.TW,2026-01-26,88.5,2026-01-27,88.35,2026-02-03,67.3,-23.83%,-0.23825688495592734,交易結束,00738U.TW 期元大道瓊白銀
00929.TW,2026-01-07,18.66,2026-01-08,18.65,2026-02-02,19.14,2.61%,0.026098132357853195,交易結束,00929.TW 復華台灣科技優息
00929.TW,2026-04-14,20.42,2026-04-15,20.62,持股中,20.62,0.00%,0.0,續抱中,00929.TW 復華台灣科技優息
2337.TW,2026-01-02,43.35,2026-01-05,47.65,2026-02-09,88.8,86.36%,0.8635886717345236,交易結束,2337.TW 旺宏
2352.TW,2026-01-23,28.2,2026-01-26,29.2,2026-01-29,25.7,-11.99%,-0.11986301056700374,交易結束,2352.TW 佳世達
2409.TW,2026-01-02,12.6,2026-01-05,12.9,2026-01-23,15.4,19.38%,0.1937984553437295,交易結束,2409.TW 友達
2409.TW,2026-03-12,17.25,2026-03-13,16.75,2026-03-17,15.8,-5.67%,-0.0567164065253731,交易結束,2409.TW 友達
3481.TW,2026-01-02,18.1,2026-01-05,18.8,2026-01-26,24.55,30.59%,0.3058510762411588,交易結束,3481.TW 群創
3481.TW,2026-03-12,32.95,2026-03-13,30.25,2026-03-17,27.9,-7.77%,-0.07768596302479336,交易結束,3481.TW 群創
3105.TWO,2026-01-07,186.0,2026-01-08,186.5,2026-02-03,237.5,27.35%,0.2734584450402145,交易結束,3105.TWO 穩懋
3105.TWO,2026-03-19,354.5,2026-03-20,372.0,2026-03-25,344.5,-7.39%,-0.0739247311827957,交易結束,3105.TWO 穩懋
3105.TWO,2026-03-30,390.5,2026-03-31,372.5,持股中,459.0,23.22%,0.23221476510067113,續抱中,3105.TWO 穩懋
4966.TWO,2026-04-10,533.0,2026-04-13,532.0,持股中,545.0,2.44%,0.02443609022556391,續抱中,4966.TWO 譜瑞-KY
6188.TWO,2026-01-06,116.5,2026-01-07,116.5,2026-01-14,111.5,-4.29%,-0.04291845493562232,交易結束,6188.TWO 廣明
7792.TWO,2026-01-02,226.5,2026-01-05,231.0,2026-02-02,360.0,55.84%,0.5584415584415584,交易結束,7792.TWO 安葆
7792.TWO,2026-04-08,347.0,2026-04-09,347.0,持股中,364.5,5.04%,0.05043227665706052,續抱中,7792.TWO 安葆
2327.TW,2026-01-13,260.5,2026-01-14,268.0,2026-01-29,286.0,6.72%,0.06716417910447761,交易結束,2327.TW 國巨*
