股號,名稱,即時現價,建議狀態,詳細建議
6285.TW,啟��,<span class='price-now'>243.0</span>,⚪ 觀望中,指標未翻正，保持觀望。
3576.TW,聯合再生,<span class='price-now'>16.9</span>,⚪ 觀望中,指標未翻正，保持觀望。
1528.TW,恩德,<span class='price-now'>30.35</span>,⚪ 觀望中,指標未翻正，保持觀望。
8150.TW,南茂,<span class='price-now'>67.0</span>,🚩 建議買入,突破壓力位，指標呈 🌀 趨勢分歧震盪。
6456.TW,GIS-KY,<span class='price-now'>70.1</span>,⚪ 觀望中,指標未翻正，保持觀望。
6278.TW,台表科,<span class='price-now'>137.0</span>,⚪ 觀望中,指標未翻正，保持觀望。
4960.TW,誠美材,<span class='price-now'>28.05</span>,⚪ 觀望中,指標未翻正，保持觀望。
2484.TW,希華,<span class='price-now'>36.65</span>,⚪ 觀望中,指標未翻正，保持觀望。
2495.TW,普安,<span class='price-now'>45.2</span>,🍀 持股中,🚀 三期共振強勢，守穩移動支撐 40.15。
3450.TW,聯鈞,<span class='price-now'>345.5</span>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 323.5。
6706.TW,惠特,<span class='price-now'>149.5</span>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 142.5。
2399.TW,映泰,<span class='price-now'>37.05</span>,⚪ 觀望中,指標未翻正，保持觀望。
2388.TW,威盛,<span class='price-now'>62.4</span>,⚪ 觀望中,指標未翻正，保持觀望。
6244.TWO,茂迪,<span class='price-now'>29.6</span>,⚪ 觀望中,指標未翻正，保持觀望。
6168.TW,宏齊,<span class='price-now'>28.0</span>,⚪ 觀望中,指標未翻正，保持觀望。
6443.TW,元晶,<span class='price-now'>40.7</span>,⚪ 觀望中,指標未翻正，保持觀望。
4989.TW,榮科,<span class='price-now'>98.3</span>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 96.0。
9933.TW,中鼎,<span class='price-now'>38.1</span>,⚪ 觀望中,指標未翻正，保持觀望。
3437.TW,榮創,<span class='price-now'>25.2</span>,⚪ 觀望中,指標未翻正，保持觀望。
3221.TWO,台嘉碩,<span class='price-now'>41.55</span>,⚪ 觀望中,指標未翻正，保持觀望。
4720.TW,德淵,<span class='price-now'>22.15</span>,⚪ 觀望中,指標未翻正，保持觀望。
3673.TW,TPK-KY,<span class='price-now'>66.5</span>,⚪ 觀望中,指標未翻正，保持觀望。
6175.TWO,立敦,<span class='price-now'>62.4</span>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 56.8。
4979.TWO,華星光,<span class='price-now'>533.0</span>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 485.5。
3532.TW,台勝科,<span class='price-now'>193.5</span>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 181.5。
8289.TWO,泰藝,<span class='price-now'>42.95</span>,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
8027.TWO,鈦昇,<span class='price-now'>156.0</span>,⚪ 觀望中,指標未翻正，保持觀望。
5439.TWO,高技,<span class='price-now'>396.5</span>,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 380.0。
