股號,名稱,即時現價,累計損益,建議狀態,詳細建議
2317,鴻海,<span class='price-now'>207.0</span><br><small>損益: -14.18%</small>,-5.95%,⚪ 觀望中,指標未翻正，保持觀望。
3702,大聯大,<span class='price-now'>98.2</span><br><small>損益: +3.94%</small>,26.22%,⚪ 觀望中,指標未翻正，保持觀望。
2485,兆赫,<span class='price-now'>79.1</span><br><small>損益: -2.79%</small>,-40.08%,⚪ 觀望中,指標未翻正，保持觀望。
2367,燿華,<span class='price-now'>70.4</span><br><small>損益: -8.65%</small>,15.59%,⚪ 觀望中,指標未翻正，保持觀望。
4142,國光生,<span class='price-now'>18.7</span><br><small>損益: -26.15%</small>,19.73%,⚪ 觀望中,指標未翻正，保持觀望。
0050,元大台灣50,<span class='price-now'>85.0</span><br><small>損益: +82.40%</small>,39.86%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 84.15。
0056,元大高股息,<span class='price-now'>40.8</span><br><small>損益: +12.00%</small>,36.34%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 40.53。
00635U,期元大S&P黃金,<span class='price-now'>50.8</span><br><small>損益: -8.05%</small>,3.4%,🔹 已鎖利續抱,🌀 趨勢分歧震盪，守穩移動支撐 50.75。
00738U,期元大道瓊白銀,<span class='price-now'>65.55</span><br><small>損益: -1.07%</small>,-8.05%,⚪ 觀望中,指標未翻正，保持觀望。
00929,復華台灣科技優息,<span class='price-now'>21.05</span><br><small>損益: +6.69%</small>,-2.99%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 20.93。
009816,凱基台灣TOP50,<span class='price-now'>12.0</span><br><small>損益: +8.99%</small>,0%,⚪ 觀望中,指標未翻正，保持觀望。
00990A,主動元大AI新經濟,<span class='price-now'>14.57</span><br><small>損益: +26.92%</small>,-1.07%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 14.55。
2009,第一銅,<span class='price-now'>41.25</span><br><small>損益: -18.41%</small>,52.28%,⚪ 觀望中,指標未翻正，保持觀望。
2337,旺宏,<span class='price-now'>139.0</span><br><small>損益: +45.89%</small>,17.28%,⚪ 觀望中,指標未翻正，保持觀望。
2352,佳世達,<span class='price-now'>25.25</span><br><small>損益: +159.77%</small>,34.81%,🔹 已鎖利續抱,🌀 趨勢分歧震盪，守穩移動支撐 25.0。
2409,友達,<span class='price-now'>20.7</span><br><small>損益: +27.70%</small>,55.7%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 19.9。
3481,群創,<span class='price-now'>27.25</span><br><small>損益: +8.57%</small>,33.92%,⚪ 觀望中,指標未翻正，保持觀望。
6136,富爾特,<span class='price-now'>24.0</span><br><small>損益: +109.42%</small>,-10.42%,⚪ 觀望中,指標未翻正，保持觀望。
6806,森崴能源,<span class='price-now'>22.45</span><br><small>損益: -50.54%</small>,89.32%,⚪ 觀望中,指標未翻正，保持觀望。
3105,穩懋,<span class='price-now'>490.5</span><br><small>損益: +15.31%</small>,31.65%,⚪ 觀望中,指標未翻正，保持觀望。
4966,譜瑞-KY,<span class='price-now'>555.0</span><br><small>損益: -71.12%</small>,3.24%,⚪ 觀望中,指標未翻正，保持觀望。
6188,廣明,<span class='price-now'>87.5</span><br><small>損益: -24.31%</small>,58.07%,⚪ 觀望中,指標未翻正，保持觀望。
7792,安葆,<span class='price-now'>357.5</span><br><small>損益: +16.35%</small>,-0.69%,⚪ 觀望中,指標未翻正，保持觀望。
2327,國巨*,<span class='price-now'>325.0</span><br><small>損益: +37.60%</small>,-3.47%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 316.5。
