股號,名稱,開盤,最高,最低,現價,漲跌,狀態
2317,鴻海,207.5,211.0,206.0,207.0,-0.50 (-0.24%),均線糾撐
3702,大聯大,98.5,98.5,95.6,98.2,+0.70 (+0.72%),均線糾撐 -> 趨勢運行
2485,兆赫,80.9,81.5,78.1,79.1,-0.80 (-1.00%),均線糾撐
2367,燿華,73.0,73.1,70.1,70.4,-1.70 (-2.36%),均線糾撐
4142,國光生,18.65,19.2,18.65,18.7,+0.25 (+1.36%),均線糾撐
0050,元大台灣50,84.75,85.1,84.15,85.0,+0.85 (+1.01%),離開盤整 (向上)
0056,元大高股息,40.53,40.88,40.53,40.8,+0.55 (+1.37%),均線糾撐
00635U,期元大S&P黃金,50.85,50.95,50.65,50.8,-0.05 (-0.10%),均線糾撐
00738U,期元大道瓊白銀,65.15,65.6,64.9,65.55,+0.90 (+1.39%),均線糾撐 -> 趨勢運行
00929,復華台灣科技優息,20.98,21.07,20.93,21.05,+0.39 (+1.89%),均線糾撐 -> 離開盤整 (向上)
009816,凱基台灣TOP50,11.97,12.02,11.89,12.0,+0.15 (+1.27%),離開盤整 (向上)
00990A,主動元大AI新經濟,14.55,14.58,14.45,14.57,+0.02 (+0.14%),趨勢運行
2009,第一銅,41.1,41.55,40.8,41.25,+0.35 (+0.86%),均線糾撐
2337,旺宏,138.5,141.5,134.0,139.0,-3.00 (-2.11%),進入盤整 -> 趨勢運行
2352,佳世達,25.1,25.45,25.0,25.25,+0.55 (+2.23%),均線糾撐
2409,友達,20.35,21.85,19.9,20.7,+0.65 (+3.24%),離開盤整 (向上)
3481,群創,28.2,28.9,27.2,27.25,-0.35 (-1.27%),趨勢運行
6136,富爾特,24.6,24.65,24.0,24.0,-0.60 (-2.44%),均線糾撐
6806,森崴能源,21.85,22.45,21.85,22.45,+2.00 (+9.78%),趨勢運行
3105,穩懋,448.0,491.0,447.5,490.5,+44.00 (+9.85%),進入盤整 -> 趨勢運行
4966,譜瑞-KY,534.0,568.0,532.0,555.0,+25.00 (+4.72%),趨勢運行 -> 離開盤整 (向上)
6188,廣明,87.5,88.4,86.6,87.5,+0.90 (+1.04%),趨勢運行 -> 均線糾撐
7792,安葆,364.5,365.5,356.0,357.5,-5.00 (-1.38%),趨勢運行
2327,國巨*,320.0,331.5,304.5,325.0,+3.00 (+0.93%),進入盤整 -> 離開盤整 (向上)
