股號,名稱,收盤價,隔日勝率%,累積獲利%,交易次數,目前ATR,目前狀態,專家分析原因
6831.TW,邁科,432.00,50.00,57.26,3,26.88,持股中,📈 趨勢續強。目前防禦位設於 384.50，與現價緩衝空間為 11.0%。
00696B.TWO,富邦美債20年,29.47,35.71,-10.13,28,0.18,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 29.36，建議耐心等待突破。
6153.TW,嘉聯益,17.45,25.00,-27.23,7,0.82,持股中,📈 趨勢續強。目前防禦位設於 16.50，與現價緩衝空間為 5.4%。
8261.TW,富鼎,116.00,75.00,15.54,7,4.66,持股中,📈 趨勢續強。目前防禦位設於 103.50，與現價緩衝空間為 10.8%。
6205.TW,詮欣,68.20,50.00,34.27,7,3.87,持股中,📈 趨勢續強。目前防禦位設於 55.70，與現價緩衝空間為 18.3%。
1789.TW,神隆,21.60,0.00,-8.55,2,0.67,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 22.80，建議耐心等待突破。
3171.TWO,炎洲流通,66.10,0.00,0.00,0,2.96,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
4721.TWO,美琪瑪,89.40,80.00,19.83,9,3.50,持股中,📈 趨勢續強。目前防禦位設於 73.70，與現價緩衝空間為 17.6%。
911608.TW,明輝-DR,2.88,30.00,-6.64,19,0.06,建議買入,🚀 今日收盤 2.88 突破關鍵高點 2.86，啟動波段漲勢。
6924.TW,榮惠-KY創,81.60,0.00,0.00,0,2.51,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
3044.TW,健鼎,410.50,100.00,10.28,1,17.93,持股中,📈 趨勢續強。目前防禦位設於 335.93，與現價緩衝空間為 18.2%。
3011.TW,今皓,13.00,20.00,-24.99,9,0.58,持股中,📈 趨勢續強。目前防禦位設於 12.30，與現價緩衝空間為 5.4%。
00876.TW,元大全球5G,71.70,50.00,3.55,3,1.79,持股中,📈 趨勢續強。目前防禦位設於 61.30，與現價緩衝空間為 14.5%。
00676R.TW,富邦臺灣加權反1,6.97,0.00,-15.00,4,0.18,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 7.83，建議耐心等待突破。
4961.TW,天鈺,156.00,0.00,1.68,1,4.46,持股中,📈 趨勢續強。目前防禦位設於 150.00，與現價緩衝空間為 3.8%。
2012.TW,春雨,15.95,0.00,-5.45,2,0.37,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 16.00，建議耐心等待突破。
8114.TW,振樺電,171.00,0.00,-4.62,4,5.00,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 171.50，建議耐心等待突破。
8028.TW,昇陽半導體,191.50,42.86,-12.86,14,11.29,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 169.00，建議耐心等待突破。
6443.TW,元晶,40.45,0.00,-1.21,1,2.61,持股中,📈 趨勢續強。目前防禦位設於 31.73，與現價緩衝空間為 21.6%。
2748.TW,雲品,41.65,0.00,-8.26,5,1.20,持股中,📈 趨勢續強。目前防禦位設於 38.45，與現價緩衝空間為 7.7%。
6525.TW,捷敏-KY,88.30,75.00,-0.58,7,1.82,持股中,📈 趨勢續強。目前防禦位設於 80.50，與現價緩衝空間為 8.8%。
6877.TWO,鏵友益,143.50,100.00,48.58,1,8.86,持股中,📈 趨勢續強。目前防禦位設於 108.00，與現價緩衝空間為 24.7%。
1802.TW,台玻,69.90,33.33,-7.72,5,4.84,持股中,📈 趨勢續強。目前防禦位設於 48.44，與現價緩衝空間為 30.7%。
9938.TW,百和,46.75,0.00,-6.50,3,0.71,建議買入,🚀 今日收盤 46.75 突破關鍵高點 46.40，啟動波段漲勢。
4442.TWO,竣邦-KY,57.70,50.00,0.87,4,1.61,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 56.70，建議耐心等待突破。
00635U.TW,期元大S&P黃金,50.80,50.00,-4.83,3,0.95,持股中,📈 趨勢續強。目前防禦位設於 50.65，與現價緩衝空間為 0.3%。
2408.TW,南亞科,213.50,50.00,-23.19,3,16.68,持股中,📈 趨勢續強。目前防禦位設於 183.79，與現價緩衝空間為 13.9%。
2504.TW,國產,35.90,28.57,-2.40,13,0.71,建議買入,🚀 今日收盤 35.90 突破關鍵高點 35.30，啟動波段漲勢。
5546.TW,永固-KY,17.15,50.00,-4.35,3,0.73,持股中,📈 趨勢續強。目前防禦位設於 14.89，與現價緩衝空間為 13.2%。
3086.TWO,華義,32.50,50.00,-59.42,3,1.09,持股中,📈 趨勢續強。目前防禦位設於 28.85，與現價緩衝空間為 11.2%。
2395.TW,研華,355.00,0.00,-0.60,1,12.11,建議買入,🚀 今日收盤 355.00 突破關鍵高點 351.50，啟動波段漲勢。
3050.TW,鈺德,13.35,42.86,-22.15,13,0.39,持股中,📈 趨勢續強。目前防禦位設於 12.55，與現價緩衝空間為 6.0%。
00984B.TWO,大華優利美A債15,16.53,33.33,-2.18,5,0.10,持股中,📈 趨勢續強。目前防禦位設於 16.51，與現價緩衝空間為 0.1%。
6591.TW,動力-KY,58.20,0.00,0.00,0,1.69,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 58.40，建議耐心等待突破。
6176.TW,瑞儀,90.70,0.00,-12.18,2,2.32,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 97.00，建議耐心等待突破。
6811.TWO,宏�硌穈T,195.00,0.00,-0.60,1,4.39,建議買入,🚀 今日收盤 195.00 突破關鍵高點 192.00，啟動波段漲勢。
9949.TWO,琉園,35.60,100.00,39.50,1,1.91,持股中,📈 趨勢續強。目前防禦位設於 32.10，與現價緩衝空間為 9.8%。
4510.TWO,高鋒,47.10,55.56,-17.71,36,2.15,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 40.90，建議耐心等待突破。
6194.TWO,育富,33.30,0.00,-2.40,3,0.38,持股中,📈 趨勢續強。目前防禦位設於 32.50，與現價緩衝空間為 2.4%。
6124.TWO,業強,31.70,75.00,-1.43,7,1.71,持股中,📈 趨勢續強。目前防禦位設於 27.34，與現價緩衝空間為 13.7%。
