股號,名稱,即時現價,累計損益,建議狀態,詳細建議
2303.TW,聯電,<span class='price-now'>68.3</span>,66.25%,🚩 建議買入,突破壓力位，指標呈 🌀 趨勢分歧震盪。
3714.TW,富采,<span class='price-now'>76.0</span>,-12.48%,⚪ 觀望中,指標未翻正，保持觀望。
6285.TW,啟��,<span class='price-now'>267.0</span>,57.09%,⚪ 觀望中,指標未翻正，保持觀望。
6456.TW,GIS-KY,<span class='price-now'>76.8</span>,30.71%,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
3105.TWO,穩懋,<span class='price-now'>490.5</span>,31.65%,⚪ 觀望中,指標未翻正，保持觀望。
8150.TW,南茂,<span class='price-now'>73.7</span>,-28.79%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 68.8。
2481.TW,強茂,<span class='price-now'>107.5</span>,58.4%,⚪ 觀望中,指標未翻正，保持觀望。
3576.TW,聯合再生,<span class='price-now'>18.55</span>,41.85%,⚪ 觀望中,指標未翻正，保持觀望。
6213.TW,聯茂,<span class='price-now'>252.0</span>,41.27%,⚪ 觀望中,指標未翻正，保持觀望。
6127.TWO,九豪,<span class='price-now'>51.3</span>,37.02%,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
3645.TW,達邁,<span class='price-now'>100.5</span>,45.27%,🍀 持股中,🚀 三期共振強勢，守穩移動支撐 87.5。
2419.TW,仲琦,<span class='price-now'>37.75</span>,40.97%,⚪ 觀望中,指標未翻正，保持觀望。
4979.TWO,華星光,<span class='price-now'>586.0</span>,136.72%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 537.0。
9105.TW,泰金寶-DR,<span class='price-now'>5.94</span>,-3.68%,⚪ 觀望中,指標未翻正，保持觀望。
5498.TWO,凱崴,<span class='price-now'>69.3</span>,82.14%,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
4919.TW,新唐,<span class='price-now'>117.5</span>,139.52%,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
6173.TWO,信昌電,<span class='price-now'>83.9</span>,48.87%,🔹 已鎖利續抱,🌀 趨勢分歧震盪，守穩移動支撐 74.7。
2312.TW,金寶,<span class='price-now'>25.7</span>,38.04%,⚪ 觀望中,指標未翻正，保持觀望。
6147.TWO,頎邦,<span class='price-now'>114.0</span>,-34.64%,⚪ 觀望中,指標未翻正，保持觀望。
2363.TW,矽統,<span class='price-now'>53.3</span>,41.32%,⚪ 觀望中,指標未翻正，保持觀望。
8046.TW,南電,<span class='price-now'>721.0</span>,66.3%,⚪ 觀望中,指標未翻正，保持觀望。
3221.TWO,台嘉碩,<span class='price-now'>45.7</span>,11.04%,⚪ 觀望中,指標未翻正，保持觀望。
4916.TW,事欣科,<span class='price-now'>65.2</span>,82.92%,⚪ 觀望中,指標未翻正，保持觀望。
6163.TWO,華電網,<span class='price-now'>67.2</span>,-44.83%,⚪ 觀望中,指標未翻正，保持觀望。
2484.TW,希華,<span class='price-now'>40.3</span>,2.33%,⚪ 觀望中,指標未翻正，保持觀望。
4939.TWO,亞電,<span class='price-now'>37.45</span>,-22.82%,🔹 已鎖利續抱,🌀 趨勢分歧震盪，守穩移動支撐 33.45。
3049.TW,精金,<span class='price-now'>12.9</span>,-2.85%,⚪ 觀望中,指標未翻正，保持觀望。
3339.TWO,泰谷,<span class='price-now'>63.0</span>,-78.57%,⚪ 觀望中,指標未翻正，保持觀望。
8043.TWO,蜜望實,<span class='price-now'>94.1</span>,-3.77%,🔹 已鎖利續抱,🌀 趨勢分歧震盪，守穩移動支撐 85.2。
4960.TW,誠美材,<span class='price-now'>30.85</span>,48.13%,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
2340.TW,台亞,<span class='price-now'>32.25</span>,39.87%,⚪ 觀望中,指標未翻正，保持觀望。
5340.TWO,建榮,<span class='price-now'>125.0</span>,94.67%,⚪ 觀望中,指標未翻正，保持觀望。
6415.TW,矽力*-KY,<span class='price-now'>302.5</span>,-27.48%,⚪ 觀望中,指標未翻正，保持觀望。
