id,name,price,signal,pnl,count,win_rate,reason
3576.TW,聯合再生,18.2999992371,☁️ 觀望,198.61,1,100.0,動能不足
7781.TWO,昕力資*,30.0,💎 持股,198.49,2,100.0,趨勢維持
5386.TWO,青雲,352.0,💎 持股,192.9,3,66.67,趨勢維持
3081.TWO,聯亞,2600.0,🔥 買入,186.01,1,100.0,趨勢突破
3491.TWO,昇達科,1670.0,💎 持股,171.22,1,100.0,趨勢維持
4542.TWO,科嶠,169.5,☁️ 觀望,171.02,1,100.0,動能不足
6983.TWO,華洋精機,430.0,☁️ 觀望,156.71,2,50.0,動能不足
2367.TW,燿華,68.5,☁️ 觀望,152.96,1,100.0,動能不足
6443.TW,元晶,39.0,☁️ 觀望,144.75,2,50.0,動能不足
6265.TWO,方土昶,38.9000015259,☁️ 觀望,135.54,2,50.0,動能不足
6515.TW,穎崴,10305.0,🔥 買入,121.48,2,50.0,趨勢突破
6163.TWO,華電網,67.4000015259,🔥 買入,120.96,2,50.0,趨勢突破
3054.TW,立萬利,75.6999969482,💎 持股,118.84,2,100.0,趨勢維持
2489.TW,瑞軒,44.6500015259,💎 持股,118.31,2,50.0,趨勢維持
3037.TW,欣興,643.0,💎 持股,104.71,2,50.0,趨勢維持
3163.TWO,波若威,1225.0,💎 持股,103.73,3,66.67,趨勢維持
5498.TWO,凱崴,68.8000030518,💎 持股,99.96,2,50.0,趨勢維持
00715L.TW,期街口S&P布蘭特油正2,49.3800010681,☁️ 觀望,99.44,2,50.0,動能不足
2313.TW,華通,261.5,💎 持股,97.41,2,50.0,趨勢維持
2485.TW,兆赫,77.6999969482,💎 持股,95.96,3,100.0,趨勢維持
8438.TW,昶昕,88.3000030518,💎 持股,95.92,1,100.0,趨勢維持
6465.TWO,威潤,49.0499992371,💎 持股,95.77,2,50.0,趨勢維持
6980.TWO,鐳洋科技,187.5,💎 持股,93.8,2,50.0,趨勢維持
5475.TWO,德宏,368.5,🔥 買入,92.16,2,100.0,趨勢突破
6588.TWO,東典光電,155.0,💎 持股,88.11,2,100.0,趨勢維持
7751.TWO,竑騰,1895.0,💎 持股,82.88,2,100.0,趨勢維持
2337.TW,旺宏,131.0,☁️ 觀望,75.71,3,33.33,動能不足
6568.TWO,宏觀,225.0,💎 持股,75.55,2,100.0,趨勢維持
3135.TW,凌航,119.0,☁️ 觀望,73.83,3,33.33,動能不足
6431.TW,光麗-KY,21.2999992371,☁️ 觀望,71.38,1,100.0,動能不足
00642U.TW,期元大S&P石油,27.0499992371,💎 持股,69.99,1,100.0,趨勢維持
3138.TW,耀登,184.0,💎 持股,67.3,2,50.0,趨勢維持
8074.TWO,鉅橡,71.1999969482,💎 持股,67.07,2,100.0,趨勢維持
