id,pnl,count,signal,reason,price
3576.TW,198.61,1,☁️ 觀望,目前動能不足,18.2999992371
7781.TWO,198.49,2,💎 持股,趨勢向上維持中,30.0
5386.TWO,192.9,3,💎 持股,趨勢向上維持中,352.0
3081.TWO,186.01,1,🔥 買入,滿足趨勢突破條件,2600.0
3491.TWO,171.22,1,💎 持股,趨勢向上維持中,1670.0
4542.TWO,171.02,1,☁️ 觀望,目前動能不足,169.5
6983.TWO,156.71,2,☁️ 觀望,目前動能不足,430.0
2367.TW,152.96,1,☁️ 觀望,目前動能不足,68.5
6443.TW,144.75,2,☁️ 觀望,目前動能不足,39.0
6265.TWO,135.54,2,☁️ 觀望,目前動能不足,38.9000015259
6515.TW,121.48,2,🔥 買入,滿足趨勢突破條件,10305.0
6163.TWO,120.96,2,🔥 買入,滿足趨勢突破條件,67.4000015259
3054.TW,118.84,2,💎 持股,趨勢向上維持中,75.6999969482
2489.TW,118.31,2,💎 持股,趨勢向上維持中,44.6500015259
3037.TW,104.71,2,💎 持股,趨勢向上維持中,643.0
3163.TWO,103.73,3,💎 持股,趨勢向上維持中,1225.0
5498.TWO,99.96,2,💎 持股,趨勢向上維持中,68.8000030518
00715L.TW,99.44,2,☁️ 觀望,目前動能不足,49.3800010681
2313.TW,97.41,2,💎 持股,趨勢向上維持中,261.5
2485.TW,95.96,3,💎 持股,趨勢向上維持中,77.6999969482
8438.TW,95.92,1,💎 持股,趨勢向上維持中,88.3000030518
6465.TWO,95.77,2,💎 持股,趨勢向上維持中,49.0499992371
6980.TWO,93.8,2,💎 持股,趨勢向上維持中,187.5
5475.TWO,92.16,2,🔥 買入,滿足趨勢突破條件,368.5
6588.TWO,88.11,2,💎 持股,趨勢向上維持中,155.0
7751.TWO,82.88,2,💎 持股,趨勢向上維持中,1895.0
2337.TW,75.71,3,☁️ 觀望,目前動能不足,131.0
6568.TWO,75.55,2,💎 持股,趨勢向上維持中,225.0
3135.TW,73.83,3,☁️ 觀望,目前動能不足,119.0
6431.TW,71.38,1,☁️ 觀望,目前動能不足,21.2999992371
00642U.TW,69.99,1,💎 持股,趨勢向上維持中,27.0499992371
3138.TW,67.3,2,💎 持股,趨勢向上維持中,184.0
8074.TWO,67.07,2,💎 持股,趨勢向上維持中,71.1999969482
6624.TWO,64.2,2,☁️ 觀望,目前動能不足,56.7999992371
6510.TWO,63.86,2,🔥 買入,滿足趨勢突破條件,3740.0
1528.TW,62.66,1,💎 持股,趨勢向上維持中,29.2000007629
1309.TW,62.61,3,☁️ 觀望,目前動能不足,19.6000003815
6770.TW,60.08,2,☁️ 觀望,目前動能不足,52.5999984741
7734.TWO,59.77,2,💎 持股,趨勢向上維持中,2505.0
6861.TW,59.44,3,💎 持股,趨勢向上維持中,161.5
4971.TWO,57.48,3,🔥 買入,滿足趨勢突破條件,767.0
7792.TWO,56.35,1,💎 持股,趨勢向上維持中,369.0
3006.TW,55.98,3,☁️ 觀望,目前動能不足,153.0
6285.TW,55.59,2,💎 持股,趨勢向上維持中,264.5
8046.TW,55.51,1,🔥 買入,滿足趨勢突破條件,724.0
1721.TW,52.4,1,🔥 買入,滿足趨勢突破條件,20.5
8299.TWO,51.52,2,☁️ 觀望,目前動能不足,1570.0
7709.TWO,50.0,1,💎 持股,趨勢向上維持中,72.8000030518
4764.TW,49.53,2,🔥 買入,滿足趨勢突破條件,212.5
2408.TW,49.15,1,☁️ 觀望,目前動能不足,210.0
2467.TW,48.54,2,💎 持股,趨勢向上維持中,550.0
5864.TWO,48.06,1,☁️ 觀望,目前動能不足,24.3999996185
3036.TW,46.1,1,☁️ 觀望,目前動能不足,230.0
2344.TW,45.76,1,☁️ 觀望,目前動能不足,87.8000030518
3092.TW,45.69,2,🔥 買入,滿足趨勢突破條件,35.2999992371
8150.TW,44.6,2,💎 持股,趨勢向上維持中,67.3000030518
1711.TW,44.55,2,🔥 買入,滿足趨勢突破條件,47.9500007629
3189.TW,44.16,3,💎 持股,趨勢向上維持中,391.5
5274.TWO,44.08,3,💎 持股,趨勢向上維持中,13805.0
7750.TW,43.82,2,🔥 買入,滿足趨勢突破條件,1810.0
4927.TW,43.76,2,🔥 買入,滿足趨勢突破條件,50.0999984741
00738U.TW,43.28,1,💎 持股,趨勢向上維持中,64.25
3105.TWO,43.23,3,🔥 買入,滿足趨勢突破條件,539.0
6239.TW,42.9,2,💎 持股,趨勢向上維持中,207.5
