股號,名稱,現價,漲跌幅,建議
2317,鴻海,207.0,0.00%,續抱/觀望
3702,大聯大,98.2,0.00%,賣出
2485,兆赫,79.1,0.00%,賣出
2367,燿華,70.4,0.00%,賣出
4142,國光生,18.7,0.00%,買入
0050,元大台灣50,85.0,0.00%,續抱/觀望
0056,元大高股息,41.02,0.54%,續抱/觀望
00635U,期元大S&P黃金,50.8,0.00%,續抱/觀望
00738U,期元大道瓊白銀,65.55,0.00%,續抱/觀望
00929,復華台灣科技優息,21.05,0.00%,買入
009816,凱基台灣TOP50,12.0,0.00%,續抱/觀望
00990A,主動元大AI新經濟,14.57,0.00%,續抱/觀望
2009,第一銅,41.25,0.00%,續抱/觀望
2337,旺宏,132.0,-5.04%,賣出
2352,佳世達,25.25,0.00%,買入
2409,友達,19.8,-4.35%,買入
3481,群創,27.25,0.00%,續抱/觀望
6136,富爾特,24.0,0.00%,賣出
6806,森崴能源,24.65,9.80%,賣出
3105,穩懋,539.0,9.89%,續抱/觀望
4966,譜瑞-KY,555.0,0.00%,續抱/觀望
6188,廣明,87.5,0.00%,賣出
7792,安葆,357.5,0.00%,續抱/觀望
2327,國巨*,316.0,-2.77%,買入
3714,富采,76.0,0.00%,買入
1802,台玻,69.9,0.00%,買入
