📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
2317.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -14.60%
3702.TW    | 次數: 1    | 勝率: 100.00% | 累計:   33.73%
2485.TW    | 次數: 2    | 勝率: 100.00% | 累計:   56.79%
2367.TW    | 次數: 3    | 勝率:  66.67% | 累計:   51.30%
4142.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -1.08%
0050.TW    | 次數: 2    | 勝率:  50.00% | 累計:    2.96%
0056.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -1.82%
00635U.TW  | 次數: 1    | 勝率:   0.00% | 累計:   -0.49%
00738U.TW  | 次數: 1    | 勝率:   0.00% | 累計:  -23.83%
00929.TW   | 次數: 2    | 勝率: 100.00% | 累計:    5.08%
2337.TW    | 次數: 1    | 勝率: 100.00% | 累計:   86.36%
2352.TW    | 次數: 2    | 勝率:  50.00% | 累計:  -11.39%
2409.TW    | 次數: 3    | 勝率:  66.67% | 累計:   13.95%
3481.TW    | 次數: 2    | 勝率:  50.00% | 累計:   22.82%
6136.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -0.20%
3105.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   57.13%
4966.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    4.14%
6188.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -4.29%
7792.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   58.01%
2327.TW    | 次數: 1    | 勝率: 100.00% | 累計:    6.72%
3714.TW    | 次數: 5    | 勝率:  60.00% | 累計:   54.99%
1802.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.11%
