📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
1815.TWO   | 次數: 2    | 勝率:   0.00% | 累計:  -11.80%
4960.TW    | 次數: 4    | 勝率:  50.00% | 累計:   45.99%
1711.TW    | 次數: 3    | 勝率:  66.67% | 累計:   28.93%
2481.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -15.54%
4958.TW    | 次數: 3    | 勝率:  33.33% | 累計:  -10.09%
6173.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    9.75%
2402.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -4.91%
3105.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   57.13%
6278.TW    | 次數: 1    | 勝率: 100.00% | 累計:   27.19%
6548.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   13.68%
4540.TW    | 次數: 4    | 勝率:  25.00% | 累計:    2.20%
8111.TWO   | 次數: 1    | 勝率:   0.00% | 累計:    0.00%
5425.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -2.65%
6415.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.09%
1785.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   16.44%
3437.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -0.74%
3339.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   55.80%
8261.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -6.15%
2404.TW    | 次數: 1    | 勝率: 100.00% | 累計:    1.47%
4919.TW    | 次數: 2    | 勝率: 100.00% | 累計:   28.82%
