股號,名稱,現價,指標(DMA),累計損益(%),交易次數,目前狀態,短,中,長,專業建議
1815,富喬,127.0,8.55,62.32%,61,🚩 建議買入,▲,▲,▲,🔥 突破確認：成功站穩壓力位，指標呈 🚀 三期共振強勢，具備攻擊動能。
4960,誠美材,33.85,3.77,52.55%,53,🔹 已鎖利續抱,▲,▲,▲,🚀 三期共振強勢：目前為鎖利續抱中。守穩移動支撐位 31.85。
1711,永光,47.95,4.29,-23.38%,66,🚫 建議賣出,▲,▲,▲,🚨 價格防衛：收盤價 26.25 跌破移動支撐位 27.0。 優先鎖利落袋，等待下次訊號。
2481,強茂,118.0,6.85,62.05%,82,🚫 建議賣出,▲,▲,▲,🚨 價格防衛：收盤價 99.18 跌破移動支撐位 99.67。 優先鎖利落袋，等待下次訊號。
4958,臻鼎-KY,282.0,27.85,10.31%,88,🚫 建議賣出,▲,▲,▲,🚨 價格防衛：收盤價 201.0 跌破移動支撐位 203.5。 優先鎖利落袋，等待下次訊號。
6173,信昌電,92.2,13.7,41.85%,65,🔹 已鎖利續抱,▲,▲,▲,🚀 三期共振強勢：目前為鎖利續抱中。守穩移動支撐位 81.8。
8358,金居,367.5,62.12,14.54%,63,🔹 已鎖利續抱,▲,▲,▲,🚀 三期共振強勢：目前為鎖利續抱中。守穩移動支撐位 341.5。
2402,毅嘉,77.7,14.58,-18.23%,72,🚫 建議賣出,▲,▲,▲,🚨 價格防衛：收盤價 50.1 跌破移動支撐位 54.9。 優先鎖利落袋，等待下次訊號。
3105,穩懋,539.0,75.95,40.35%,70,🚫 建議賣出,▲,▲,▲,🚨 價格防衛：收盤價 109.74 跌破移動支撐位 112.21。 優先鎖利落袋，等待下次訊號。
6278,台表科,157.0,29.18,-2.32%,78,🚫 建議賣出,▲,▲,▲,🚨 價格防衛：收盤價 100.0 跌破移動支撐位 101.5。 優先鎖利落袋，等待下次訊號。
6548,長科*,54.7,2.88,22.11%,70,🚫 建議賣出,▲,▲,▲,🚨 價格防衛：收盤價 49.7 跌破移動支撐位 51.2。 優先鎖利落袋，等待下次訊號。
4540,全球傳動,57.9,7.06,29.51%,45,🍀 持股中,▲,▲,▲,🚀 三期共振強勢：目前為強勢推升中。守穩移動支撐位 52.6。
8111,立��,79.2,7.23,57.65%,67,🔹 已鎖利續抱,▲,▲,▲,🚀 三期共振強勢：目前為鎖利續抱中。守穩移動支撐位 72.4。
5425,台半,65.7,2.07,30.38%,93,🚩 建議買入,▲,▲,▼,🔥 突破確認：成功站穩壓力位，指標呈 🌀 趨勢分歧震盪，具備攻擊動能。
6415,矽力*-KY,332.5,4.72,-27.48%,80,⏳ 觀察中,▲,▲,▲,🔍 準備起飛：指標已翻正，等待收盤價突破關鍵高點 332.5 (景氣壓力點)。
1785,光洋科,156.0,34.68,-11.02%,60,🚫 建議賣出,▲,▲,▲,🚨 價格防衛：收盤價 95.6 跌破移動支撐位 96.3。 優先鎖利落袋，等待下次訊號。
3437,榮創,27.2,1.99,12.0%,50,🚫 建議賣出,▲,▲,▲,🚨 價格防衛：收盤價 22.5 跌破移動支撐位 23.4。 優先鎖利落袋，等待下次訊號。
3339,泰谷,69.3,14.49,-71.92%,74,🚫 建議賣出,▲,▲,▲,🚨 價格防衛：收盤價 37.2 跌破移動支撐位 39.8。 優先鎖利落袋，等待下次訊號。
8261,富鼎,127.5,7.99,58.0%,73,🍀 持股中,▲,▲,▲,🚀 三期共振強勢：目前為強勢推升中。守穩移動支撐位 114.5。
2404,漢唐,1025.0,40.8,7.3%,62,🚫 建議賣出,▲,▲,▼,🚨 價格防衛：收盤價 1015.0 跌破移動支撐位 1055.0。 優先鎖利落袋，等待下次訊號。
4919,新唐,129.0,12.76,139.52%,91,🔹 已鎖利續抱,▲,▲,▲,🚀 三期共振強勢：目前為鎖利續抱中。守穩移動支撐位 129.0。
