🚀 V3 Pro 掃描系統 (ATR+BIAS) | 模式: HIGH | 日期: 20260417
-----------------------------------------------------------------------------------------------------------------------------
1711.TW    | 永光         | 47.95    | 🔥 買入       |   78.63% |    2 | 100.0% | 趨勢突破
3105.TWO   | 穩懋         | 539.00   | 💎 持股       |   56.28% |    3 | 66.67% | 趨勢維持
4960.TW    | 誠美材        | 33.85    | 💎 持股       |   56.25% |    2 |  50.0% | 趨勢維持
1785.TWO   | 光洋科        | 156.00   | 💎 持股       |   43.55% |    2 |  50.0% | 趨勢維持
4919.TW    | 新唐         | 129.00   | 🔥 買入       |   32.49% |    2 | 100.0% | 趨勢突破
2402.TW    | 毅嘉         | 77.70    | 💎 持股       |   17.88% |    1 | 100.0% | 趨勢維持
4540.TW    | 全球傳動       | 57.90    | 🔥 買入       |   16.31% |    2 |  50.0% | 趨勢突破
4958.TW    | 臻鼎-KY      | 282.00   | 💎 持股       |    6.36% |    1 | 100.0% | 趨勢維持
2404.TW    | 漢唐         | 1025.00  | 🔥 買入       |    4.92% |    3 | 33.33% | 趨勢突破
3339.TWO   | 泰谷         | 69.30    | 💎 持股       |    0.73% |    1 | 100.0% | 趨勢維持
8358.TWO   | 金居         | 367.50   | 💎 持股       |   -3.35% |    2 |  50.0% | 趨勢維持
6278.TW    | 台表科        | 157.00   | 🔥 買入       |   -4.93% |    2 |   0.0% | 趨勢突破
8261.TW    | 富鼎         | 127.50   | 🔥 買入       |   -5.89% |    3 | 33.33% | 趨勢突破
6415.TW    | 矽力*-KY     | 332.50   | 🔥 買入       |   -9.53% |    1 |   0.0% | 趨勢突破
6548.TWO   | 長科*        | 54.70    | 🔥 買入       |   -9.99% |    1 |   0.0% | 趨勢突破
5425.TWO   | 台半         | 65.70    | 🔥 買入       |  -14.64% |    2 |   0.0% | 趨勢突破
3437.TW    | 榮創         | 27.20    | 🔥 買入       |  -15.04% |    3 | 33.33% | 趨勢突破
2481.TW    | 強茂         | 118.00   | 🔥 買入       |  -15.57% |    2 |   0.0% | 趨勢突破
6173.TWO   | 信昌電        | 92.20    | 🔥 買入       |  -23.07% |    3 |   0.0% | 趨勢突破
1815.TWO   | 富喬         | 127.00   | 🔥 買入       |  -23.99% |    3 |   0.0% | 趨勢突破
8111.TWO   | 立��        | 79.20    | 🔥 買入       |  -27.47% |    2 |   0.0% | 趨勢突破

✅ HTML 報告已更新: report/20260417/high-trend-backtest-report.html
