🎯 執行單一股票回測: 2455.TW
==========================================================================================

📈 標的: 2455.TW
  [2014-04-08] 入: 27.8 -> [2014-04-14] 出: 27.38 | 損益: -1.51% | 持有: 6天
  [2014-04-22] 入: 28.18 -> [2014-05-09] 出: 30.62 | 損益: 8.66% | 持有: 17天
  [2014-05-29] 入: 32.08 -> [2014-06-04] 出: 31.93 | 損益: -0.47% | 持有: 6天
  [2014-06-05] 入: 32.08 -> [2014-06-09] 出: 31.56 | 損益: -1.62% | 持有: 4天
  [2014-06-18] 入: 31.84 -> [2014-06-19] 出: 31.56 | 損益: -0.88% | 持有: 1天
  [2014-08-25] 入: 28.78 -> [2014-09-15] 出: 30.62 | 損益: 6.39% | 持有: 21天
  [2014-11-14] 入: 27.12 -> [2014-12-02] 出: 26.41 | 損益: -2.62% | 持有: 18天
  [2014-12-03] 入: 27.12 -> [2014-12-12] 出: 26.84 | 損益: -1.03% | 持有: 9天
  [2015-01-06] 入: 28.73 -> [2015-01-20] 出: 30.05 | 損益: 4.59% | 持有: 14天
  [2015-02-05] 入: 32.04 -> [2015-02-09] 出: 30.71 | 損益: -4.15% | 持有: 4天
  [2015-03-05] 入: 33.55 -> [2015-03-19] 出: 36.38 | 損益: 8.44% | 持有: 14天
  [2015-05-14] 入: 36.86 -> [2015-06-05] 出: 36.86 | 損益: 0.0% | 持有: 22天
  [2015-06-17] 入: 43.71 -> [2015-07-02] 出: 48.65 | 損益: 11.3% | 持有: 15天
  [2015-07-07] 入: 56.71 -> [2015-07-09] 出: 46.29 | 損益: -18.37% | 持有: 2天
  [2015-09-15] 入: 40.1 -> [2015-09-24] 出: 38.82 | 損益: -3.19% | 持有: 9天
  [2015-10-06] 入: 41.08 -> [2015-10-12] 出: 38.38 | 損益: -6.57% | 持有: 6天
  [2015-10-27] 入: 40.54 -> [2015-10-29] 出: 39.26 | 損益: -3.16% | 持有: 2天
  [2015-11-30] 入: 38.38 -> [2015-12-14] 出: 42.41 | 損益: 10.5% | 持有: 14天
  [2015-12-21] 入: 47.47 -> [2015-12-25] 出: 45.6 | 損益: -3.94% | 持有: 4天
  [2016-02-24] 入: 50.71 -> [2016-02-25] 出: 50.12 | 損益: -1.16% | 持有: 1天
  [2016-03-02] 入: 54.06 -> [2016-03-04] 出: 48.95 | 損益: -9.45% | 持有: 2天
  [2016-03-14] 入: 53.17 -> [2016-03-25] 出: 54.65 | 損益: 2.78% | 持有: 11天
  [2016-05-31] 入: 49.93 -> [2016-06-17] 出: 48.65 | 損益: -2.56% | 持有: 17天
  [2016-08-29] 入: 42.62 -> [2016-09-07] 出: 42.78 | 損益: 0.38% | 持有: 9天
  [2016-09-14] 入: 45.0 -> [2016-09-27] 出: 45.41 | 損益: 0.91% | 持有: 13天
  [2016-11-29] 入: 35.95 -> [2016-12-30] 出: 38.2 | 損益: 6.26% | 持有: 31天
  [2017-02-07] 入: 40.4 -> [2017-03-01] 出: 46.13 | 損益: 14.18% | 持有: 22天
  [2017-05-03] 入: 44.35 -> [2017-05-10] 出: 41.8 | 損益: -5.75% | 持有: 7天
  [2017-05-26] 入: 46.83 -> [2017-06-12] 出: 45.82 | 損益: -2.16% | 持有: 17天
  [2017-07-06] 入: 47.48 -> [2017-07-13] 出: 47.73 | 損益: 0.53% | 持有: 7天
  [2017-07-14] 入: 48.37 -> [2017-08-02] 出: 55.72 | 損益: 15.2% | 持有: 19天
  [2017-10-12] 入: 50.96 -> [2017-10-31] 出: 52.57 | 損益: 3.16% | 持有: 19天
  [2017-11-01] 入: 54.02 -> [2017-11-14] 出: 59.43 | 損益: 10.01% | 持有: 13天
  [2017-11-20] 入: 66.95 -> [2017-12-07] 出: 84.79 | 損益: 26.65% | 持有: 17天
  [2018-01-17] 入: 85.6 -> [2018-01-26] 出: 84.39 | 損益: -1.41% | 持有: 9天
  [2018-02-01] 入: 94.48 -> [2018-02-06] 出: 83.18 | 損益: -11.96% | 持有: 5天
  [2018-03-13] 入: 103.77 -> [2018-03-23] 出: 98.12 | 損益: -5.44% | 持有: 10天
  [2018-05-29] 入: 94.48 -> [2018-06-21] 出: 93.67 | 損益: -0.86% | 持有: 23天
  [2018-08-23] 入: 76.69 -> [2018-09-11] 出: 77.43 | 損益: 0.96% | 持有: 19天
  [2018-12-04] 入: 53.66 -> [2018-12-07] 出: 47.04 | 損益: -12.34% | 持有: 3天
  [2019-01-02] 入: 53.83 -> [2019-01-16] 出: 54.24 | 損益: 0.76% | 持有: 14天
  [2019-01-29] 入: 55.82 -> [2019-02-19] 出: 56.56 | 損益: 1.33% | 持有: 21天
  [2019-02-21] 入: 57.56 -> [2019-03-06] 出: 58.88 | 損益: 2.29% | 持有: 13天
  [2019-03-15] 入: 61.61 -> [2019-04-02] 出: 77.76 | 損益: 26.21% | 持有: 18天
  [2019-06-20] 入: 64.43 -> [2019-07-16] 出: 78.72 | 損益: 22.18% | 持有: 26天
  [2019-07-25] 入: 87.18 -> [2019-08-01] 出: 85.05 | 損益: -2.44% | 持有: 7天
  [2019-09-17] 入: 88.04 -> [2019-10-01] 出: 95.3 | 損益: 8.25% | 持有: 14天
  [2019-10-25] 入: 103.85 -> [2019-11-01] 出: 101.72 | 損益: -2.05% | 持有: 7天
  [2019-11-05] 入: 109.41 -> [2019-11-08] 出: 106.84 | 損益: -2.35% | 持有: 3天
  [2019-12-30] 入: 100.01 -> [2020-01-08] 出: 94.02 | 損益: -5.99% | 持有: 9天
  [2020-05-04] 入: 74.71 -> [2020-05-07] 出: 74.02 | 損益: -0.92% | 持有: 3天
  [2020-05-11] 入: 82.91 -> [2020-05-18] 出: 76.5 | 損益: -7.73% | 持有: 7天
  [2020-06-22] 入: 77.18 -> [2020-07-15] 出: 83.66 | 損益: 8.4% | 持有: 23天
  [2020-09-14] 入: 74.34 -> [2020-09-24] 出: 71.79 | 損益: -3.43% | 持有: 10天
  [2020-11-13] 入: 77.33 -> [2020-11-26] 出: 79.09 | 損益: 2.28% | 持有: 13天
  [2020-12-03] 入: 90.51 -> [2020-12-17] 出: 94.03 | 損益: 3.89% | 持有: 14天
  [2021-01-05] 入: 104.57 -> [2021-01-11] 出: 100.62 | 損益: -3.78% | 持有: 6天
  [2021-03-24] 入: 99.3 -> [2021-04-15] 出: 106.33 | 損益: 7.08% | 持有: 22天
  [2021-06-02] 入: 102.38 -> [2021-07-02] 出: 115.56 | 損益: 12.87% | 持有: 30天
  [2021-07-08] 入: 129.62 -> [2021-07-14] 出: 127.42 | 損益: -1.7% | 持有: 6天
  [2021-09-02] 入: 122.47 -> [2021-09-14] 出: 117.53 | 損益: -4.03% | 持有: 12天
  [2021-10-21] 入: 114.84 -> [2021-11-05] 出: 119.78 | 損益: 4.3% | 持有: 15天
  [2021-11-25] 入: 136.82 -> [2021-12-03] 出: 130.99 | 損益: -4.26% | 持有: 8天
  [2022-03-23] 入: 107.66 -> [2022-04-01] 出: 99.59 | 損益: -7.5% | 持有: 9天
  [2022-06-01] 入: 87.03 -> [2022-06-14] 出: 82.18 | 損益: -5.57% | 持有: 13天
  [2022-08-26] 入: 69.82 -> [2022-09-05] 出: 66.42 | 損益: -4.87% | 持有: 10天
  [2022-11-08] 入: 58.68 -> [2022-12-05] 出: 74.25 | 損益: 26.53% | 持有: 27天
  [2023-01-09] 入: 71.7 -> [2023-02-07] 出: 78.68 | 損益: 9.74% | 持有: 29天
  [2023-03-22] 入: 85.19 -> [2023-04-17] 出: 88.68 | 損益: 4.1% | 持有: 26天
  [2023-06-01] 入: 99.53 -> [2023-06-26] 出: 117.24 | 損益: 17.79% | 持有: 25天
  [2023-07-25] 入: 123.01 -> [2023-07-26] 出: 114.36 | 損益: -7.03% | 持有: 1天
