Stock,Buy_Date,Buy_Price,Sell_Date,Sell_Price,Profit,Profit_Pct%,Highest_Price,Hold_Days
2455.TW,2014-04-08,27.8,2014-04-09,27.99,0.19,0.68,28.27,1
2455.TW,2014-04-10,28.18,2014-04-11,27.71,-0.47,-1.67,28.27,1
2455.TW,2014-04-22,28.18,2014-04-30,29.68,1.5,5.32,30.71,8
2455.TW,2014-05-02,30.53,2014-05-08,30.71,0.18,0.59,31.61,6
2455.TW,2014-05-29,32.08,2014-06-04,31.93,-0.15,-0.47,32.31,6
2455.TW,2014-06-05,32.08,2014-06-09,31.56,-0.52,-1.62,32.26,4
2455.TW,2014-06-18,31.84,2014-06-19,31.56,-0.28,-0.88,32.17,1
2455.TW,2014-08-25,28.78,2014-08-26,29.01,0.23,0.8,29.15,1
2455.TW,2014-08-27,29.11,2014-09-15,30.62,1.51,5.19,31.33,19
2455.TW,2014-11-14,27.12,2014-11-18,26.74,-0.38,-1.4,27.22,4
2455.TW,2014-12-03,27.12,2014-12-09,26.7,-0.42,-1.55,27.97,6
2455.TW,2014-12-11,26.74,2014-12-12,26.84,0.1,0.37,27.17,1
2455.TW,2015-01-06,28.73,2015-01-16,30.38,1.65,5.74,31.09,10
2455.TW,2015-02-05,32.04,2015-02-09,30.71,-1.33,-4.15,32.32,4
2455.TW,2015-03-05,33.55,2015-03-13,35.44,1.89,5.63,37.28,8
2455.TW,2015-05-14,36.86,2015-05-22,37.33,0.47,1.28,38.56,8
2455.TW,2015-05-26,38.6,2015-06-05,36.86,-1.74,-4.51,43.0,10
2455.TW,2015-06-17,43.71,2015-06-24,47.25,3.54,8.1,50.56,7
2455.TW,2015-06-25,49.93,2015-06-29,47.27,-2.66,-5.33,50.91,4
2455.TW,2015-09-15,40.1,2015-09-22,40.3,0.2,0.5,41.43,7
2455.TW,2015-10-06,41.08,2015-10-08,39.9,-1.18,-2.87,41.38,2
2455.TW,2015-10-27,40.54,2015-10-28,39.46,-1.08,-2.66,40.54,1
2455.TW,2015-11-30,38.38,2015-12-09,43.49,5.11,13.31,45.6,9
2455.TW,2015-12-21,47.47,2015-12-24,46.69,-0.78,-1.64,49.44,3
2455.TW,2016-02-24,50.71,2016-02-25,50.12,-0.59,-1.16,51.01,1
2455.TW,2016-03-02,54.06,2016-03-04,48.95,-5.11,-9.45,54.45,2
2455.TW,2016-03-14,53.17,2016-03-16,52.58,-0.59,-1.11,53.76,2
2455.TW,2016-03-17,54.06,2016-03-24,53.66,-0.4,-0.74,57.1,7
2455.TW,2016-05-31,49.93,2016-06-03,49.44,-0.49,-0.98,50.52,3
2455.TW,2016-08-29,42.62,2016-09-05,43.35,0.73,1.71,44.33,7
2455.TW,2016-09-14,45.0,2016-09-22,45.87,0.87,1.93,48.45,8
2455.TW,2016-11-29,35.95,2016-12-05,34.25,-1.7,-4.73,35.99,6
2455.TW,2016-12-12,37.0,2016-12-16,37.15,0.15,0.41,37.42,4
2455.TW,2016-12-22,37.89,2016-12-28,38.59,0.7,1.85,40.25,6
2455.TW,2017-02-07,40.4,2017-02-21,45.28,4.88,12.08,49.31,14
2455.TW,2017-05-03,44.35,2017-05-05,43.81,-0.54,-1.22,44.35,2
2455.TW,2017-05-08,44.04,2017-05-09,43.27,-0.77,-1.75,44.04,1
2455.TW,2017-05-26,46.83,2017-06-07,47.68,0.85,1.82,48.45,12
2455.TW,2017-07-06,47.48,2017-07-10,47.16,-0.32,-0.67,47.89,4
2455.TW,2017-07-11,47.81,2017-07-13,47.73,-0.08,-0.17,47.81,2
2455.TW,2017-07-14,48.37,2017-07-21,52.49,4.12,8.52,53.14,7
2455.TW,2017-07-24,55.4,2017-07-31,56.77,1.37,2.47,59.68,7
2455.TW,2017-10-12,50.96,2017-10-17,50.88,-0.08,-0.16,52.65,5
2455.TW,2017-11-01,54.02,2017-11-13,59.76,5.74,10.63,62.18,12
2455.TW,2018-01-17,85.6,2018-01-24,84.79,-0.81,-0.95,92.87,7
2455.TW,2018-02-01,94.48,2018-02-05,88.43,-6.05,-6.4,100.94,4
2455.TW,2018-03-13,103.77,2018-03-21,108.21,4.44,4.28,113.06,8
2455.TW,2018-05-29,94.48,2018-05-31,90.44,-4.04,-4.28,94.89,2
2455.TW,2018-06-08,96.9,2018-06-12,94.08,-2.82,-2.91,96.9,4
2455.TW,2018-06-19,100.13,2018-06-20,96.5,-3.63,-3.63,100.13,1
2455.TW,2018-08-23,76.69,2018-08-31,77.02,0.33,0.43,79.0,8
2455.TW,2018-09-03,77.76,2018-09-10,79.92,2.16,2.78,86.13,7
2455.TW,2018-12-04,53.66,2018-12-06,50.27,-3.39,-6.32,53.75,2
2455.TW,2019-01-02,53.83,2019-01-04,50.43,-3.4,-6.32,54.57,2
2455.TW,2019-01-29,55.82,2019-02-14,55.57,-0.25,-0.45,58.14,16
2455.TW,2019-02-15,56.81,2019-02-18,56.64,-0.17,-0.3,60.04,3
2455.TW,2019-02-21,57.56,2019-03-04,59.38,1.82,3.16,61.7,11
2455.TW,2019-03-15,61.61,2019-03-25,72.38,10.77,17.48,77.1,10
2455.TW,2019-06-20,64.43,2019-06-26,64.84,0.41,0.64,67.74,6
2455.TW,2019-06-27,68.38,2019-07-16,78.72,10.34,15.12,81.54,19
2455.TW,2019-07-25,87.18,2019-07-31,85.9,-1.28,-1.47,89.32,6
2455.TW,2019-09-17,88.04,2019-09-25,96.16,8.12,9.22,101.72,8
2455.TW,2019-10-25,103.85,2019-10-30,104.28,0.43,0.41,113.25,5
2455.TW,2019-11-05,109.41,2019-11-07,108.55,-0.86,-0.79,115.39,2
2455.TW,2019-12-30,100.01,2020-01-07,102.14,2.13,2.13,106.84,8
2455.TW,2020-05-04,74.71,2020-05-06,74.96,0.25,0.33,76.93,2
2455.TW,2020-05-11,82.91,2020-05-15,80.43,-2.48,-2.99,85.05,4
2455.TW,2020-06-22,77.18,2020-06-30,76.93,-0.25,-0.32,79.32,8
