🚀 V3 策略績效篩選中... | 門檻: 10.0% | 起始日: 2025-11-11
====================================================================================================

🏆 【V3 策略 - 英雄榜】(累積損益 > 10.0%)
----------------------------------------------------------------------------------------------------
✅ 7781.TWO   | 總收益:  268.87% | 交易筆數:  2 | 勝率: 100.0%
✅ 6715.TW    | 總收益:  231.36% | 交易筆數:  1 | 勝率: 100.0%
✅ 3491.TWO   | 總收益:  152.85% | 交易筆數:  1 | 勝率: 100.0%
✅ 3054.TW    | 總收益:  140.83% | 交易筆數:  3 | 勝率: 100.0%
✅ 4542.TWO   | 總收益:  140.35% | 交易筆數:  1 | 勝率: 100.0%
✅ 5498.TWO   | 總收益:  128.61% | 交易筆數:  2 | 勝率:  50.0%
✅ 6265.TWO   | 總收益:  118.72% | 交易筆數:  2 | 勝率:  50.0%
✅ 8438.TW    | 總收益:  113.67% | 交易筆數:  1 | 勝率: 100.0%
✅ 6588.TWO   | 總收益:  112.87% | 交易筆數:  2 | 勝率: 100.0%
✅ 2367.TW    | 總收益:  109.51% | 交易筆數:  2 | 勝率:  50.0%
✅ 6465.TWO   | 總收益:  102.56% | 交易筆數:  2 | 勝率:  50.0%
✅ 4741.TWO   | 總收益:  102.20% | 交易筆數:  2 | 勝率:  50.0%
✅ 3135.TW    | 總收益:   99.39% | 交易筆數:  2 | 勝率:  50.0%
✅ 2313.TW    | 總收益:   94.38% | 交易筆數:  1 | 勝率: 100.0%
✅ 6285.TW    | 總收益:   93.08% | 交易筆數:  2 | 勝率: 100.0%
✅ 3037.TW    | 總收益:   89.33% | 交易筆數:  1 | 勝率: 100.0%
✅ 5386.TWO   | 總收益:   86.68% | 交易筆數:  3 | 勝率:  33.3%
✅ 8074.TWO   | 總收益:   83.27% | 交易筆數:  2 | 勝率: 100.0%
✅ 7792.TWO   | 總收益:   82.74% | 交易筆數:  1 | 勝率: 100.0%
✅ 4971.TWO   | 總收益:   81.69% | 交易筆數:  3 | 勝率: 100.0%
