SID,Name,Price,Volume,Advice
2317,鴻海,206.0,47348.0,🚨 賣出
3702,大聯大,98.8,22231.0,⏳ 觀望
2485,兆赫,77.7,37323.0,⏳ 觀望
2367,燿華,68.5,39584.0,⏳ 觀望
4142,國光生,18.5,1598.0,🚨 賣出
0050,元大台灣50,84.15,92740.0,⏳ 觀望
0056,元大高股息,40.98,67899.0,⏳ 觀望
00635U,期元大S&P黃金,50.5,3356.0,🚨 賣出
00738U,期元大道瓊白銀,64.25,7082.0,⏳ 觀望
00929,復華台灣科技優息,21.36,109633.0,⏳ 觀望
009816,凱基台灣TOP50,11.95,183365.0,⏳ 觀望
00990A,主動元大AI新經濟,14.76,30074.0,⏳ 觀望
2009,第一銅,40.5,1857.0,🚨 賣出
2337,旺宏,131.0,116755.0,⏳ 觀望
2352,佳世達,25.65,6305.0,🔥 買入
2409,友達,19.85,363428.0,⏳ 觀望
3481,群創,25.9,336503.0,⏳ 觀望
6136,富爾特,24.45,157.0,⏳ 觀望
6806,森崴能源,24.65,1049.0,🚨 賣出
3105,穩懋,539.0,28631.0,⏳ 觀望
4966,譜瑞-KY,546.0,881.0,🚨 賣出
6188,廣明,86.3,1617.0,🚨 賣出
7792,安葆,369.0,543.0,⏳ 觀望
2327,國巨*,316.5,48799.0,⏳ 觀望
3714,富采,77.9,152380.0,⏳ 觀望
1802,台玻,74.2,344361.0,⏳ 觀望
