SID,Name,Price,Advice
1815.TWO,富喬,127.0,⏳ 觀望
4960.TW,誠美材,33.85,⏳ 觀望
1711.TW,永光,47.95,⏳ 觀望
2481.TW,強茂,118.0,⏳ 觀望
4958.TW,臻鼎-KY,282.0,⏳ 觀望
6173.TWO,信昌電,92.2,⏳ 觀望
8358.TWO,金居,367.5,⏳ 觀望
2402.TW,毅嘉,77.7,⏳ 觀望
3105.TWO,穩懋,539.0,⏳ 觀望
6278.TW,台表科,157.0,⏳ 觀望
6548.TWO,長科*,54.7,⏳ 觀望
4540.TW,全球傳動,57.9,⏳ 觀望
8111.TWO,立��,79.2,⏳ 觀望
5425.TWO,台半,65.7,⏳ 觀望
6415.TW,矽力*-KY,332.5,⏳ 觀望
1785.TWO,光洋科,156.0,⏳ 觀望
3437.TW,榮創,27.2,⏳ 觀望
3339.TWO,泰谷,69.3,⏳ 觀望
8261.TW,富鼎,127.5,⏳ 觀望
2404.TW,漢唐,1025.0,⏳ 觀望
4919.TW,新唐,129.0,⏳ 觀望
