📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
4958.TW    | 次數: 3    | 勝率:  33.33% | 累計:  -10.09%
6182.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   12.39%
3189.TW    | 次數: 3    | 勝率:  33.33% | 累計:   54.10%
4939.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   20.14%
2484.TW    | 次數: 5    | 勝率:  40.00% | 累計:   26.16%
5498.TWO   | 次數: 2    | 勝率:   0.00% | 累計:     nan%
8074.TWO   | 次數: 2    | 勝率:  50.00% | 累計:     nan%
6163.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   -5.20%
2464.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -13.70%
8046.TW    | 次數: 3    | 勝率:  33.33% | 累計:   18.98%
2340.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -2.62%
3221.TWO   | 次數: 6    | 勝率:  16.67% | 累計:  -31.82%
6147.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   10.73%
8289.TWO   | 次數: 4    | 勝率:  50.00% | 累計:   27.42%
6141.TW    | 次數: 3    | 勝率:  33.33% | 累計:   58.51%
