股號,名稱,收盤價,隔日勝率%,累積獲利%,交易次數,目前ATR,目前狀態,專家分析原因
6831.TW,邁科,nan,50.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 384.50，與現價緩衝空間為 nan%。
00696B.TWO,富邦美債20年,29.30,35.71,-10.13,28,0.19,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 29.36，建議耐心等待突破。
6153.TW,嘉聯益,nan,25.00,nan,7,nan,持股中,📈 趨勢續強。目前防禦位設於 16.50，與現價緩衝空間為 nan%。
8261.TW,富鼎,nan,75.00,nan,7,nan,持股中,📈 趨勢續強。目前防禦位設於 103.50，與現價緩衝空間為 nan%。
6205.TW,詮欣,nan,50.00,nan,7,nan,持股中,📈 趨勢續強。目前防禦位設於 55.70，與現價緩衝空間為 nan%。
1789.TW,神隆,21.90,0.00,-8.55,2,0.68,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 22.80，建議耐心等待突破。
3171.TWO,炎洲流通,66.40,0.00,0.00,0,3.13,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
4721.TWO,美琪瑪,91.20,80.00,22.25,9,3.65,持股中,📈 趨勢續強。目前防禦位設於 73.70，與現價緩衝空間為 19.2%。
911608.TW,明輝-DR,nan,30.00,nan,19,nan,持股中,📈 趨勢續強。目前防禦位設於 2.76，與現價緩衝空間為 nan%。
6924.TW,榮惠-KY創,nan,0.00,0.00,0,nan,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
3044.TW,健鼎,411.50,100.00,10.55,1,17.89,持股中,📈 趨勢續強。目前防禦位設於 335.93，與現價緩衝空間為 18.4%。
3011.TW,今皓,13.25,20.00,-23.01,9,0.56,持股中,📈 趨勢續強。目前防禦位設於 12.30，與現價緩衝空間為 7.2%。
00876.TW,元大全球5G,71.70,50.00,3.55,3,1.81,持股中,📈 趨勢續強。目前防禦位設於 61.30，與現價緩衝空間為 14.5%。
00676R.TW,富邦臺灣加權反1,7.02,0.00,-15.00,4,0.18,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 7.83，建議耐心等待突破。
4961.TW,天鈺,153.00,0.00,-0.27,1,4.50,持股中,📈 趨勢續強。目前防禦位設於 150.00，與現價緩衝空間為 2.0%。
2012.TW,春雨,16.00,0.00,-5.45,2,0.37,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 16.00，建議耐心等待突破。
8114.TW,振樺電,nan,0.00,nan,5,nan,持股中,📈 趨勢續強。目前防禦位設於 161.93，與現價緩衝空間為 nan%。
8028.TW,昇陽半導體,nan,37.50,nan,15,nan,持股中,📈 趨勢續強。目前防禦位設於 193.50，與現價緩衝空間為 nan%。
6443.TW,元晶,nan,0.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 31.73，與現價緩衝空間為 nan%。
2748.TW,雲品,41.50,0.00,-8.63,5,1.23,持股中,📈 趨勢續強。目前防禦位設於 38.45，與現價緩衝空間為 7.4%。
6525.TW,捷敏-KY,nan,75.00,nan,7,nan,持股中,📈 趨勢續強。目前防禦位設於 80.50，與現價緩衝空間為 nan%。
6877.TWO,鏵友益,nan,100.00,nan,1,nan,持股中,📈 趨勢續強。目前防禦位設於 108.00，與現價緩衝空間為 nan%。
1802.TW,台玻,74.20,33.33,-0.48,5,5.04,持股中,📈 趨勢續強。目前防禦位設於 48.44，與現價緩衝空間為 34.7%。
9938.TW,百和,nan,0.00,nan,3,nan,持股中,📈 趨勢續強。目前防禦位設於 45.09，與現價緩衝空間為 nan%。
4442.TWO,竣邦-KY,58.10,33.33,0.27,5,1.56,建議買入,🚀 今日收盤 58.10 突破關鍵高點 56.70，啟動波段漲勢。
