股號,名稱,結構,最新價,均損益%,隔日勝率%,5日勝率%,建議,原因
2317,鴻海,🚀 多頭強勢,211.0,-6.68,37.5,0.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
3702,大聯大,🚀 多頭強勢,102.5,33.73,61.9,71.4,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
2485,兆赫,📉 趨勢轉弱,72.3,29.66,61.1,61.1,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2367,燿華,⏳ 均線糾結,70.3,24.85,59.3,77.8,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
4142,國光生,⏳ 均線糾結,18.1,-0.05,30.0,30.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
0050,元大台灣50,🚀 多頭強勢,86.0,3.2,63.2,63.2,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
0056,元大高股息,🚀 多頭強勢,41.97,0.71,71.4,66.7,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
009816,凱基台灣TOP50,🚀 多頭強勢,12.29,0.0,100.0,100.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
2009,第一銅,⏳ 均線糾結,39.8,-6.48,33.3,33.3,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2337,旺宏,📉 趨勢轉弱,132.5,24.12,64.3,71.4,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2352,佳世達,🚀 多頭強勢,25.65,1.18,25.0,25.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
2409,友達,📈 月線上揚,18.9,2.51,55.6,55.6,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
3481,群創,🔄 重新整理,26.0,6.06,35.7,57.1,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
6136,富爾特,🚀 多頭強勢,26.95,-0.2,100.0,100.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6806,森崴能源,📉 趨勢轉弱,29.8,25.28,55.6,66.7,⚠️ 賣出,📢 趨勢轉向：跌破月線
3105,穩懋,🚀 多頭強勢,617.0,11.43,73.1,73.1,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
4966,譜瑞-KY,🚀 多頭強勢,537.0,-6.81,0.0,33.3,⏳ 觀望,⏳ 觀望中 (缺: 5日線未勾頭)
6188,廣明,⏳ 均線糾結,85.5,0.9,40.0,40.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
7792,安葆,📈 月線上揚,356.0,55.84,66.7,70.8,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
2327,國巨*,🚀 多頭強勢,323.0,1.94,57.1,71.4,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
3714,富采,🚀 多頭強勢,73.6,1.22,50.0,66.7,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
1802,台玻,🚀 多頭強勢,74.2,5.16,63.6,36.4,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
1721,三晃,🚀 多頭強勢,24.8,-6.96,25.0,16.7,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
8104,錸寶,🚀 多頭強勢,38.2,-2.62,33.3,50.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
