代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
2317,鴻海,211.0,+1.69%,WAIT,68.1,55801,✅|❌|❌|✅|✅
3702,大聯大,102.5,+1.99%,WAIT,77.4,14836,✅|✅|❌|✅|✅
2485,兆赫,72.3,+1.83%,WAIT,40.6,35387,✅|❌|❌|❌|✅
2367,燿華,70.3,+7.16%,WAIT,39.6,87341,✅|❌|❌|❌|✅
4142,國光生,18.1,+0.28%,WAIT,43.3,1122,✅|❌|❌|❌|❌
0050,元大台灣50,86.0,+1.71%,WAIT,79.8,71434,✅|✅|❌|✅|✅
0056,元大高股息,41.97,+1.21%,WAIT,83.6,75272,✅|✅|❌|✅|✅
009816,凱基台灣TOP50,12.29,+1.82%,WAIT,81.9,148638,✅|✅|❌|✅|✅
2009,第一銅,39.8,+0.25%,WAIT,48.0,1203,✅|❌|❌|❌|❌
2337,旺宏,132.5,+9.96%,WAIT,51.9,134167,✅|❌|❌|❌|✅
2352,佳世達,25.65,+0.00%,WAIT,81.5,3332,✅|✅|❌|✅|❌
2409,友達,18.9,-1.82%,WAIT,71.1,250709,✅|❌|❌|✅|❌
3481,群創,26.0,-0.57%,WAIT,56.7,190448,✅|❌|❌|✅|❌
6136,富爾特,26.95,+10.00%,WAIT,78.7,1954,❌|✅|✅|✅|✅
6806,森崴能源,29.8,+9.96%,WAIT,37.2,3286,✅|❌|✅|❌|❌
3105,穩懋,617.0,+4.22%,WAIT,82.5,53504,✅|✅|✅|✅|❌
4966,譜瑞-KY,537.0,+0.94%,WAIT,66.2,938,✅|❌|❌|✅|❌
6188,廣明,85.5,-0.35%,WAIT,44.3,3265,✅|❌|✅|❌|❌
7792,安葆,356.0,-0.97%,WAIT,66.1,202,✅|❌|❌|✅|❌
2327,國巨*,323.0,+1.10%,WAIT,76.6,32701,✅|✅|❌|✅|❌
3714,富采,73.6,-4.91%,WAIT,72.1,20955,✅|❌|❌|✅|❌
1802,台玻,74.2,+4.65%,WAIT,75.8,189145,✅|❌|❌|✅|✅
1721,三晃,24.8,+9.98%,WAIT,73.9,6708,✅|✅|✅|✅|❌
8104,錸寶,38.2,-1.29%,WAIT,64.3,1800,✅|❌|❌|✅|❌
