SID,Name,Price,Advice,Status
2317,鴻海,211.0,[🚀 極強] 🚨 賣出,ATR(2.2x)
3702,大聯大,102.5,[🚀 極強] ⏳ 觀望,ATR: 2.8x
2485,兆赫,72.3,[📉 轉弱] ⏳ 觀望,ATR: 2.2x
2367,燿華,70.3,[📉 轉弱] ⏳ 觀望,ATR: 2.2x
4142,國光生,18.1,[📈 穩定] 🚨 賣出,ATR(2.2x)
0050,元大台灣50,86.0,[🚀 極強] ⏳ 觀望,ATR: 3.5x
0056,元大高股息,41.97,[🚀 極強] 🔥 買入,ATR: 3.5x
00635U,期元大S&P黃金,50.25,[📉 轉弱] 🚨 賣出,ATR(2.2x)
00738U,期元大道瓊白銀,64.0,[🚀 極強] ⏳ 觀望,ATR: 2.8x
00929,復華台灣科技優息,21.99,[🚀 極強] ⏳ 觀望,ATR: 2.8x
009816,凱基台灣TOP50,12.29,[🚀 極強] ⏳ 觀望,ATR: 2.8x
00990A,主動元大AI新經濟,15.14,[🚀 極強] ⏳ 觀望,ATR: 3.5x
2009,第一銅,39.8,[📉 轉弱] 🚨 賣出,"ATR(2.2x), TrendDead"
2337,旺宏,132.5,[📉 轉弱] ⏳ 觀望,ATR: 3.5x
2352,佳世達,25.65,[🚀 極強] ⏳ 觀望,ATR: 3.5x
2409,友達,18.9,[📈 穩定] ⏳ 觀望,ATR: 3.5x
3481,群創,26.0,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
6136,富爾特,26.95,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
6806,森崴能源,29.8,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
3105,穩懋,617.0,[🚀 極強] ⏳ 觀望,ATR: 3.5x
4966,譜瑞-KY,537.0,[🚀 極強] 🚨 賣出,ATR(2.2x)
6188,廣明,85.5,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
7792,安葆,356.0,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
2327,國巨*,323.0,[🚀 極強] ⏳ 觀望,ATR: 3.5x
4956,光鋐,53.2,[🚀 極強] ⏳ 觀望,ATR: 2.8x
6770,力積電,54.0,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
6271,同欣電,187.5,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
4973,廣穎,87.3,[📉 轉弱] ⏳ 觀望,ATR: 3.5x
0052,富邦科技,49.94,[🚀 極強] 🔥 買入,ATR: 2.8x
6789,采鈺,504.0,[📉 轉弱] ⏳ 觀望,ATR: 2.8x
