股號,名稱,結構,最新價,均損益%,隔日勝率%,5日勝率%,建議,原因
6831.TW,邁科,🚀 多頭強勢,545.0,-1.11,47.1,70.6,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
00696B.TWO,富邦美債20年,⏳ 均線糾結,29.15,0.33,66.7,33.3,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
6153.TW,嘉聯益,🚀 多頭強勢,19.7,-1.01,27.3,18.2,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
8261.TW,富鼎,🚀 多頭強勢,128.0,0.79,33.3,33.3,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6205.TW,詮欣,🚀 多頭強勢,87.2,-3.15,40.0,50.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
1789.TW,神隆,📈 月線上揚,21.4,11.42,54.5,54.5,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
3171.TWO,炎洲流通,🚀 多頭強勢,68.9,3.85,47.6,57.1,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
4721.TWO,美琪瑪,🚀 多頭強勢,93.5,0.44,50.0,64.3,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
911608.TW,明輝-DR,⏳ 均線糾結,2.88,-0.04,33.3,33.3,⚠️ 賣出,📢 趨勢轉向：跌破月線
6924.TW,榮惠-KY創,🚀 多頭強勢,93.0,6.49,80.0,40.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
3044.TW,健鼎,🚀 多頭強勢,459.5,9.87,80.0,70.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
3011.TW,今皓,🚀 多頭強勢,14.75,-1.02,0.0,0.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
00876.TW,元大全球5G,🚀 多頭強勢,74.15,7.68,55.6,61.1,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
00676R.TW,富邦臺灣加權反1,📉 趨勢轉弱,6.81,-1.53,0.0,0.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
4961.TW,天鈺,🚀 多頭強勢,169.0,-2.04,25.0,37.5,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
2012.TW,春雨,⏳ 均線糾結,15.7,-1.57,0.0,50.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
8114.TW,振樺電,🚀 多頭強勢,193.5,2.32,60.0,40.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
8028.TW,昇陽半導體,🚀 多頭強勢,230.0,-2.91,36.4,27.3,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6443.TW,元晶,📉 趨勢轉弱,39.5,1.27,50.0,54.5,⚠️ 賣出,📢 趨勢轉向：跌破月線
2748.TW,雲品,📈 月線上揚,41.15,-8.24,66.7,33.3,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
6525.TW,捷敏-KY,🚀 多頭強勢,96.4,-1.81,50.0,57.1,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6877.TWO,鏵友益,🚀 多頭強勢,180.0,0.17,45.5,18.2,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
1802.TW,台玻,🚀 多頭強勢,70.9,5.16,66.7,41.7,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
9938.TW,百和,⏳ 均線糾結,44.75,-1.49,0.0,0.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
4442.TWO,竣邦-KY,📉 趨勢轉弱,56.6,-1.27,33.3,16.7,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
00635U.TW,期元大S&P黃金,📈 月線上揚,50.0,3.68,66.7,58.3,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
2408.TW,南亞科,⏳ 均線糾結,219.0,32.46,61.5,38.5,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
2504.TW,國產,⏳ 均線糾結,36.55,-1.07,16.7,0.0,⚠️ 賣出,📢 趨勢轉向：跌破月線
5546.TW,永固-KY,📈 月線上揚,16.9,0.0,0.0,0.0,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
3086.TWO,華義,🚀 多頭強勢,43.2,7.43,44.4,33.3,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
2395.TW,研華,🚀 多頭強勢,361.0,-0.65,35.3,52.9,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
3050.TW,鈺德,⏳ 均線糾結,13.15,-5.91,28.6,0.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
00984B.TWO,大華優利美A債15,📈 月線上揚,16.48,-0.42,0.0,0.0,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
6591.TW,動力-KY,📉 趨勢轉弱,59.5,0.0,0.0,0.0,⚠️ 賣出,📢 趨勢轉向：跌破月線
6176.TW,瑞儀,📈 月線上揚,99.6,-17.6,0.0,0.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6811.TWO,宏�硌穈T,🚀 多頭強勢,198.0,-4.71,50.0,0.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
9949.TWO,琉園,🚀 多頭強勢,34.85,-4.44,60.0,50.0,⏳ 觀望,⏳ 觀望中 (缺: 5日線未勾頭)
4510.TWO,高鋒,🚀 多頭強勢,47.0,3.53,66.7,55.6,⏳ 觀望,"⏳ 觀望中 (缺: 5日線未勾頭, 量能不足)"
6194.TWO,育富,📈 月線上揚,33.1,-1.81,0.0,0.0,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
6124.TWO,業強,🚀 多頭強勢,32.3,-1.41,25.0,16.7,⏳ 觀望,🔄 盤整中：等待均線多頭排列
