日期,代碼,名稱,收盤價,漲跌幅%,成交量(張),MJ狀態,J線值,MACD柱狀體
2026-04-22,5351.TWO,鈺創,71.6,4.37,20549,🔥 MJ強勢攻擊,49.78,0.13
2026-04-22,4123.TWO,晟德,40.5,2.4,3162,🔥 MJ強勢攻擊,29.62,0.08
2026-04-22,3058.TW,立德,9.18,1.1,1141,🔥 MJ強勢攻擊,33.7,0.04
2026-04-22,2427.TW,三商電,22.35,0.68,634,🔥 MJ強勢攻擊,22.36,0.09
2026-04-22,6472.TW,保瑞,419.0,0.6,514,🔥 MJ強勢攻擊,36.99,3.56
2026-04-22,6005.TW,群益證,28.2,0.36,14369,🔥 MJ強勢攻擊,47.28,0.03
2026-04-22,2023.TW,燁輝,14.05,0.0,1943,🔥 MJ強勢攻擊,42.88,0.01
2026-04-22,8076.TWO,伍豐,23.6,-0.21,878,🔥 MJ強勢攻擊,46.23,0.12
2026-04-22,2609.TW,陽明,50.5,-0.39,10786,🔥 MJ強勢攻擊,27.34,0.27
2026-04-22,2408.TW,南亞科,219.0,-0.45,70986,🔥 MJ強勢攻擊,41.25,3.55
2026-04-22,2344.TW,華邦電,90.6,-0.55,94521,🔥 MJ強勢攻擊,44.8,0.95
2026-04-22,4513.TWO,福裕,16.05,-0.93,505,🔥 MJ強勢攻擊,47.61,0.02
2026-04-22,1319.TW,東陽,78.1,-1.14,2245,🔥 MJ強勢攻擊,30.84,0.55
2026-04-22,4532.TW,瑞智,24.15,-1.63,1265,🔥 MJ強勢攻擊,41.33,0.0
2026-04-22,3543.TW,州巧,43.4,-2.36,1487,🔥 MJ強勢攻擊,41.61,0.03
2026-04-22,00715L.TW,期街口S&P布蘭特油正2,48.87,5.76,40366,🚀 MJ低檔反彈,20.04,-1.31
2026-04-22,2891.TW,中信金,53.5,0.94,36246,🚀 MJ低檔反彈,32.75,-0.21
2026-04-22,8476.TW,台境*,18.3,0.55,565,🚀 MJ低檔反彈,20.1,-0.02
2026-04-22,2601.TW,益航,5.54,-0.18,1055,🚀 MJ低檔反彈,17.55,-0.02
2026-04-22,00931B.TWO,統一美債20年,13.53,-0.29,3391,🚀 MJ低檔反彈,32.93,-0.01
2026-04-22,00857B.TWO,永豐20年美公債,23.36,-0.3,1303,🚀 MJ低檔反彈,28.79,-0.02
2026-04-22,00764B.TWO,群益25年美債,28.05,-0.32,3425,🚀 MJ低檔反彈,32.13,-0.02
2026-04-22,00679B.TWO,元大美債20年,27.02,-0.33,23448,🚀 MJ低檔反彈,33.35,-0.02
