股號,名稱,即時現價,累計損益,建議狀態,詳細建議
2317,鴻海,<span class='price-now'>221.0</span><br><small>損益: -8.38%</small>,-5.95%,🔹 已鎖利續抱,🌀 趨勢分歧震盪，守穩移動支撐 212.5。
3702,大聯大,<span class='price-now'>101.5</span><br><small>損益: +7.43%</small>,26.22%,⚪ 觀望中,指標未翻正，保持觀望。
2485,兆赫,<span class='price-now'>71.0</span><br><small>損益: -12.74%</small>,-40.08%,⚪ 觀望中,指標未翻正，保持觀望。
2367,燿華,<span class='price-now'>67.8</span><br><small>損益: -12.03%</small>,15.59%,⚪ 觀望中,指標未翻正，保持觀望。
4142,國光生,<span class='price-now'>18.15</span><br><small>損益: -28.32%</small>,19.73%,⚪ 觀望中,指標未翻正，保持觀望。
0050,元大台灣50,<span class='price-now'>86.35</span><br><small>損益: +85.30%</small>,39.86%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 85.55。
0056,元大高股息,<span class='price-now'>42.61</span><br><small>損益: +16.96%</small>,36.34%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 41.97。
009816,凱基台灣TOP50,<span class='price-now'>12.42</span><br><small>損益: +12.81%</small>,0%,⚪ 觀望中,指標未翻正，保持觀望。
2009,第一銅,<span class='price-now'>39.5</span><br><small>損益: -21.88%</small>,52.28%,⚪ 觀望中,指標未翻正，保持觀望。
2337,旺宏,<span class='price-now'>134.5</span><br><small>損益: +41.16%</small>,17.28%,⚪ 觀望中,指標未翻正，保持觀望。
2352,佳世達,<span class='price-now'>26.0</span><br><small>損益: +167.49%</small>,34.81%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 25.55。
2409,友達,<span class='price-now'>18.55</span><br><small>損益: +14.44%</small>,61.57%,⚪ 觀望中,指標未翻正，保持觀望。
3481,群創,<span class='price-now'>25.6</span><br><small>損益: +1.99%</small>,33.92%,⚪ 觀望中,指標未翻正，保持觀望。
6136,富爾特,<span class='price-now'>27.65</span><br><small>損益: +141.27%</small>,-10.42%,⚪ 觀望中,指標未翻正，保持觀望。
6806,森崴能源,<span class='price-now'>26.85</span><br><small>損益: -40.85%</small>,89.32%,⚪ 觀望中,指標未翻正，保持觀望。
3105,穩懋,<span class='price-now'>600.0</span><br><small>損益: +41.06%</small>,31.65%,⚪ 觀望中,指標未翻正，保持觀望。
4966,譜瑞-KY,<span class='price-now'>590.0</span><br><small>損益: -69.30%</small>,3.24%,⚪ 觀望中,指標未翻正，保持觀望。
6188,廣明,<span class='price-now'>88.4</span><br><small>損益: -23.53%</small>,58.07%,⚪ 觀望中,指標未翻正，保持觀望。
7792,安葆,<span class='price-now'>358.5</span><br><small>損益: +16.68%</small>,-0.69%,⚪ 觀望中,指標未翻正，保持觀望。
2327,國巨*,<span class='price-now'>315.5</span><br><small>損益: +33.57%</small>,7.23%,🚫 建議賣出,🚨 價格防衛：現價 315.5 跌破支撐 317.0。
3714,富采,<span class='price-now'>73.3</span><br><small>損益: +0.47%</small>,-12.48%,⚪ 觀望中,指標未翻正，保持觀望。
1802,台玻,<span class='price-now'>70.9</span><br><small>損益: +2.07%</small>,28.38%,⚪ 觀望中,指標未翻正，保持觀望。
1721,三晃,<span class='price-now'>27.25</span><br><small>損益: +33.51%</small>,65.36%,⚪ 觀望中,指標未翻正，保持觀望。
8104,錸寶,<span class='price-now'>37.2</span><br><small>損益: -6.53%</small>,41.73%,⚪ 觀望中,指標未翻正，保持觀望。
