代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
2317,鴻海,221.0,+4.74%,🔥 SIGNAL,83.2,135667,✅|✅|✅|✅|✅
3702,大聯大,101.5,-0.98%,WAIT,82.6,12850,✅|❌|❌|✅|❌
2485,兆赫,71.0,-1.80%,WAIT,39.3,21109,✅|❌|❌|❌|❌
2367,燿華,67.8,-3.56%,WAIT,40.3,63281,✅|❌|❌|❌|❌
4142,國光生,18.15,+0.28%,WAIT,46.6,752,✅|❌|❌|❌|❌
0050,元大台灣50,86.35,+0.41%,WAIT,86.6,63906,✅|✅|❌|✅|✅
0056,元大高股息,42.61,+1.52%,🔥 SIGNAL,95.2,142700,✅|✅|✅|✅|✅
009816,凱基台灣TOP50,12.42,+1.06%,WAIT,89.9,184913,✅|✅|❌|✅|✅
2009,第一銅,39.5,-0.75%,WAIT,48.9,2116,✅|❌|❌|❌|❌
2337,旺宏,134.5,+1.51%,WAIT,59.0,161598,✅|❌|❌|❌|✅
2352,佳世達,26.0,+1.36%,WAIT,90.1,5718,✅|✅|❌|✅|✅
2409,友達,18.55,-1.85%,WAIT,68.3,190067,✅|❌|❌|✅|❌
3481,群創,25.6,-1.54%,WAIT,58.6,162973,✅|❌|❌|✅|❌
6136,富爾特,27.65,+2.60%,WAIT,84.8,3913,✅|✅|✅|✅|❌
6806,森崴能源,26.85,-9.90%,WAIT,35.2,1032,✅|❌|❌|❌|❌
3105,穩懋,600.0,-2.76%,WAIT,88.1,27353,✅|❌|❌|✅|❌
4966,譜瑞-KY,590.0,+9.87%,🔥 SIGNAL,76.5,3482,✅|✅|✅|✅|✅
6188,廣明,88.4,+3.39%,WAIT,54.6,3114,✅|❌|✅|❌|✅
7792,安葆,358.5,+0.70%,WAIT,75.5,399,❌|❌|❌|✅|✅
2327,國巨*,315.5,-2.32%,WAIT,81.3,28939,✅|❌|❌|✅|❌
3714,富采,73.3,-0.41%,WAIT,74.5,12238,✅|❌|❌|✅|❌
1802,台玻,70.9,-4.45%,WAIT,74.2,199565,✅|❌|❌|✅|❌
1721,三晃,27.25,+9.88%,🔥 SIGNAL,83.0,14492,✅|✅|✅|✅|✅
8104,錸寶,37.2,-2.62%,WAIT,65.6,1875,✅|❌|❌|✅|❌
