SID,Name,Price,Advice
2317,未知,221.0,[🚀 極強] 🚨 賣出
3702,未知,101.5,[🚀 極強] ⏳ 觀望
2485,未知,71.0,[📉 轉弱] ⏳ 觀望
2367,未知,67.8,[📉 轉弱] ⏳ 觀望
4142,未知,18.15,[📉 轉弱] 🚨 賣出
0050,未知,86.35,[🚀 極強] ⏳ 觀望
0056,未知,42.61,[🚀 極強] ⏳ 觀望
009816,未知,12.42,[🚀 極強] ⏳ 觀望
2009,未知,39.5,[📉 轉弱] 🚨 賣出
2337,未知,134.5,[📉 轉弱] ⏳ 觀望
2352,未知,26.0,[🚀 極強] 🔥 買入
2409,未知,18.55,[📈 穩定] ⏳ 觀望
3481,未知,25.6,[📈 穩定] ⏳ 觀望
6136,未知,27.65,[🚀 極強] ⏳ 觀望
6806,未知,26.85,[📉 轉弱] 🚨 賣出
3105,未知,600.0,[🚀 極強] ⏳ 觀望
4966,未知,590.0,[🚀 極強] 🚨 賣出
6188,未知,88.4,[📉 轉弱] 🚨 賣出
7792,未知,358.5,[📈 穩定] ⏳ 觀望
2327,未知,315.5,[📈 穩定] ⏳ 觀望
3714,未知,73.3,[📈 穩定] ⏳ 觀望
1802,未知,70.9,[🚀 極強] ⏳ 觀望
1721,未知,27.25,[🚀 極強] ⏳ 觀望
8104,未知,37.2,[🚀 極強] ⏳ 觀望
