股號,名稱,即時現價,累計損益,建議狀態,詳細建議
2312.TW,金寶,<span class='price-now'>29.85</span>,38.04%,⚪ 觀望中,指標未翻正，保持觀望。
1711.TW,永光,<span class='price-now'>59.6</span>,-13.09%,⚪ 觀望中,指標未翻正，保持觀望。
8028.TW,昇陽半導體,<span class='price-now'>230.0</span>,26.98%,⚪ 觀望中,指標未翻正，保持觀望。
4967.TW,十銓,<span class='price-now'>262.0</span>,-36.81%,⚪ 觀望中,指標未翻正，保持觀望。
2340.TW,台亞,<span class='price-now'>42.95</span>,39.87%,⚪ 觀望中,指標未翻正，保持觀望。
3701.TW,大眾控,<span class='price-now'>78.6</span>,-30.12%,⚪ 觀望中,指標未翻正，保持觀望。
6548.TWO,長科*,<span class='price-now'>61.1</span>,22.11%,⚪ 觀望中,指標未翻正，保持觀望。
2454.TW,聯發科,<span class='price-now'>2295.0</span>,-17.38%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 2110.0。
4931.TWO,新盛力,<span class='price-now'>159.5</span>,24.88%,🔹 已鎖利續抱,🌀 趨勢分歧震盪，守穩移動支撐 145.5。
1727.TW,中華化,<span class='price-now'>64.9</span>,-1.27%,🚩 建議買入,突破壓力位，指標呈 🚀 三期共振強勢。
1721.TW,三晃,<span class='price-now'>27.25</span>,65.36%,⚪ 觀望中,指標未翻正，保持觀望。
3016.TW,嘉晶,<span class='price-now'>77.0</span>,59.48%,⚪ 觀望中,指標未翻正，保持觀望。
2351.TW,順德,<span class='price-now'>166.0</span>,1.66%,⚪ 觀望中,指標未翻正，保持觀望。
3013.TW,晟銘電,<span class='price-now'>121.0</span>,-19.4%,🍀 持股中,🚀 三期共振強勢，守穩移動支撐 110.5。
3338.TW,泰碩,<span class='price-now'>77.7</span>,53.21%,⚪ 觀望中,指標未翻正，保持觀望。
4960.TW,誠美材,<span class='price-now'>44.95</span>,48.13%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 43.0。
8271.TW,宇瞻,<span class='price-now'>238.0</span>,47.91%,🔹 已鎖利續抱,🚀 三期共振強勢，守穩移動支撐 225.0。
