股號,名稱,收盤價,隔日勝率%,累積獲利%,交易次數,目前ATR,目前狀態,專家分析原因
6831.TW,邁科,545.00,50.00,97.53,3,30.16,持股中,📈 趨勢續強。目前防禦位設於 384.50，與現價緩衝空間為 29.4%。
00696B.TWO,富邦美債20年,29.15,16.67,-6.36,12,0.18,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 29.72，建議耐心等待突破。
6153.TW,嘉聯益,19.70,25.00,-14.34,7,1.09,持股中,📈 趨勢續強。目前防禦位設於 16.50，與現價緩衝空間為 16.2%。
8261.TW,富鼎,128.00,75.00,27.01,7,6.19,持股中,📈 趨勢續強。目前防禦位設於 103.50，與現價緩衝空間為 19.1%。
6205.TW,詮欣,87.20,50.00,68.93,7,4.94,持股中,📈 趨勢續強。目前防禦位設於 55.70，與現價緩衝空間為 36.1%。
1789.TW,神隆,21.40,0.00,-8.55,2,0.65,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 22.80，建議耐心等待突破。
3171.TWO,炎洲流通,68.90,0.00,0.00,0,3.16,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
4721.TWO,美琪瑪,93.50,80.00,25.34,9,3.70,持股中,📈 趨勢續強。目前防禦位設於 73.70，與現價緩衝空間為 21.2%。
911608.TW,明輝-DR,2.88,30.00,-6.64,19,0.06,持股中,📈 趨勢續強。目前防禦位設於 2.76，與現價緩衝空間為 4.0%。
6924.TW,榮惠-KY創,93.00,0.00,0.00,0,3.01,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
3044.TW,健鼎,459.50,100.00,23.45,1,21.89,持股中,📈 趨勢續強。目前防禦位設於 335.93，與現價緩衝空間為 26.9%。
3011.TW,今皓,14.75,20.00,-11.18,9,0.63,持股中,📈 趨勢續強。目前防禦位設於 12.30，與現價緩衝空間為 16.6%。
00876.TW,元大全球5G,74.15,50.00,7.24,3,1.61,持股中,📈 趨勢續強。目前防禦位設於 72.85，與現價緩衝空間為 1.8%。
00676R.TW,富邦臺灣加權反1,6.81,0.00,-15.00,4,0.16,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 6.85，建議耐心等待突破。
4961.TW,天鈺,169.00,0.00,10.16,1,5.04,持股中,📈 趨勢續強。目前防禦位設於 150.00，與現價緩衝空間為 11.2%。
2012.TW,春雨,15.70,0.00,-5.45,2,0.31,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 16.00，建議耐心等待突破。
8114.TW,振樺電,193.50,33.33,5.92,5,6.32,持股中,📈 趨勢續強。目前防禦位設於 161.93，與現價緩衝空間為 16.3%。
8028.TW,昇陽半導體,230.00,55.56,-2.47,17,12.25,持股中,📈 趨勢續強。目前防禦位設於 193.50，與現價緩衝空間為 15.9%。
6443.TW,元晶,39.50,0.00,-3.53,1,2.08,持股中,📈 趨勢續強。目前防禦位設於 31.73，與現價緩衝空間為 19.7%。
2748.TW,雲品,41.15,0.00,-9.50,5,1.21,持股中,📈 趨勢續強。目前防禦位設於 40.85，與現價緩衝空間為 0.7%。
6525.TW,捷敏-KY,96.40,75.00,9.37,7,2.32,持股中,📈 趨勢續強。目前防禦位設於 80.50，與現價緩衝空間為 16.5%。
6877.TWO,鏵友益,180.00,100.00,86.38,1,9.96,持股中,📈 趨勢續強。目前防禦位設於 108.00，與現價緩衝空間為 40.0%。
