symbol,name,price,pe,est_price,date,eps,eps_yoy,rev_yoy,prev_year,prev_eps,prev_eps_yoy,prev_rev_yoy,expansion,status,advice
2409.TW,友達,18.5499992371,7.303149305944881,38.1,2025-12,0.9,327.5,0.41,2025,0.52,185.25,-0.15,327.09,🚀 利潤擴張,💎 強力關注
1802.TW,台玻,70.9000015259,0.0,-16.349999999999998,2025-12,-0.2,62.96,-2.37,2025,-0.33,36.54,-0.78,65.33,🧐 疑業外收益,⚪ 數據不足
2485.TW,兆赫,71.0,0.0,-62.699999999999996,2025-12,-0.96,57.52,-0.05,2025,-1.33,11.92,-24.95,57.57,🧐 疑業外收益,⚪ 數據不足
3702.TW,大聯大,101.5,7.718631178707225,197.24999999999997,2025-12,5.77,39.35,13.46,2025,4.07,44.82,14.61,25.89,🚀 利潤擴張,💎 強力關注
4142.TW,國光生,18.1499996185,0.0,-48.6,2025-12,-0.57,1.75,-9.99,2025,-1.09,-137.78,-35.17,11.74,🧐 疑業外收益,⚪ 數據不足
2317.TW,鴻海,221.0,6.646616541353383,498.75,2025-12,13.61,23.02,18.13,2025,10.38,34.73,16.23,4.890000000000001,🚀 利潤擴張,✅ 穩健價值
2337.TW,旺宏,134.5,0.0,-75.3,2025-12,-1.77,1.16,11.58,2025,-1.62,-80.0,5.91,-10.42,⚠️ 獲利稀釋,⚪ 數據不足
6136.TW,富爾特,27.6499996185,13.964646271969697,29.7,2025-12,0.89,-1.11,29.83,2025,0.95,15.85,26.89,-30.939999999999998,📉 獲利侵蝕,⚪ 中性觀察
2352.TW,佳世達,26.0,13.541666666666668,28.799999999999997,2025-12,0.64,-35.71,3.09,2025,0.59,-31.0,5.54,-38.8,📉 獲利侵蝕,⚪ 中性觀察
2009.TW,第一銅,39.5,87.77777777777777,6.750000000000001,2025-12,0.34,-54.05,-7.12,2025,0.34,-54.67,-5.98,-46.93,🌑 雙重衰退,❌ 暫避觀望
2367.TW,燿華,67.8000030518,25.204462101040896,40.35,2025-12,0.68,-69.2,-12.33,2025,0.71,-59.32,-10.77,-56.870000000000005,🌑 雙重衰退,❌ 暫避觀望
1721.TW,三晃,27.25,0.0,-61.349999999999994,2025-12,-1.84,-85.86,-22.39,2025,-1.12,-45.45,-23.51,-63.47,🌑 雙重衰退,⚪ 數據不足
2327.TW,國巨*,315.5,6.185061752597529,765.1500000000001,2025-12,11.51,-69.45,9.26,2025,8.22,-73.12,5.78,-78.71000000000001,📉 獲利侵蝕,⚪ 中性觀察
3714.TW,富采,73.3000030518,0.0,-130.50000000000003,2025-12,-3.69,-95.74,-9.04,2025,-2.62,-154.37,-10.09,-86.69999999999999,🌑 雙重衰退,⚪ 數據不足
3481.TW,群創,25.6000003815,121.90476372142857,3.15,2025-12,0.03,-96.3,4.72,2025,0.03,109.38,4.39,-101.02,📉 獲利侵蝕,❌ 暫避觀望
8104.TW,錸寶,37.2000007629,0.0,-7.050000000000001,2025-12,-0.55,-433.33,54.84,2025,0.14,-75.0,72.94,-488.16999999999996,📉 獲利侵蝕,⚪ 數據不足
6806.TW,森崴能源,26.8500003815,0.0,-1843.1999999999998,2025-12,-60.0,-1744.48,32.68,2025,-46.34,-2508.7,115.52,-1777.16,📉 獲利侵蝕,⚪ 數據不足
