id,name,price,signal,pnl,count,win_rate,reason
6849.TWO,奇鼎科技,276.5,❄️ 賣出,279.71,5,60.0,[P:0.8/15.0] [📈 穩定] 今日觸發 Trailing
2367.TW,燿華,57.4000015259,☁️ 觀望,151.04,2,100.0,[P:0.8/17.0] [📉 轉弱] 等待機會
7853.TWO,政美應用,376.5,☁️ 觀望,118.65,3,66.67,[P:0.8/7.0] [📈 穩定] 等待機會
2337.TW,旺宏,132.0,☁️ 觀望,100.35,2,100.0,[P:0.8/9.0] [📉 轉弱] 等待機會
3105.TWO,穩懋,547.0,❄️ 賣出,89.96,5,100.0,[P:0.99/7.0] [📈 穩定] 今日觸發 Trailing
6407.TWO,相互,43.9000015259,☁️ 觀望,76.14,3,66.67,[P:0.98/9.0] [📈 穩定] 等待機會
7792.TWO,安葆,345.5,💎 持股,75.99,2,50.0,[P:0.8/5.0] [📈 穩定] 趨勢強勁(續抱)
2485.TW,兆赫,60.5,☁️ 觀望,69.39,4,100.0,[P:0.8/19.0] [📉 轉弱] 等待機會
00981A.TW,主動統一台股增長,27.7999992371,💎 持股,63.38,3,33.33,[P:0.8/5.0] [🚀 極強] 趨勢強勁(續抱)
6770.TW,力積電,52.9000015259,☁️ 觀望,62.24,3,66.67,[P:0.9/20.0] [📉 轉弱] 等待機會
4973.TWO,廣穎,80.0999984741,💎 持股,60.52,3,66.67,[P:0.96/5.0] [📈 穩定] 趨勢強勁(續抱)
6789.TW,采鈺,566.0,💎 持股,52.88,3,66.67,[P:0.8/5.0] [🚀 極強] 趨勢強勁(續抱)
4956.TW,光鋐,45.5499992371,☁️ 觀望,33.74,4,75.0,[P:0.8/8.0] [📈 穩定] 等待機會
0052.TW,富邦科技,52.7000007629,💎 持股,31.26,2,100.0,[P:0.8/5.0] [🚀 極強] 趨勢強勁(續抱)
3702.TW,大聯大,97.0,☁️ 觀望,30.27,3,33.33,[P:1.0/5.0] [📈 穩定] 等待機會
0050.TW,元大台灣50,89.9499969482,💎 持股,28.47,3,66.67,[P:0.8/5.0] [🚀 極強] 趨勢強勁(續抱)
3481.TW,群創,23.3999996185,☁️ 觀望,27.52,2,50.0,[P:1.0/5.0] [📉 轉弱] 等待機會
6261.TWO,久元,95.0999984741,💎 持股,25.11,2,100.0,[P:1.0/5.0] [📈 穩定] 趨勢強勁(續抱)
6136.TW,富爾特,27.8999996185,💎 持股,16.46,3,66.67,[P:0.8/5.0] [📈 穩定] 趨勢強勁(續抱)
00990A.TW,主動元大AI新經濟,15.5,💎 持股,14.4,2,100.0,[P:0.97/5.0] [📈 穩定] 趨勢強勁(續抱)
00738U.TW,期元大道瓊白銀,60.6500015259,❄️ 賣出,14.29,3,33.33,[P:0.8/5.0] [📈 穩定] 趨勢轉弱(強制)
009816.TW,凱基台灣TOP50,12.8699998856,💎 持股,13.19,1,100.0,[P:0.8/5.0] [🚀 極強] 趨勢強勁(續抱)
00635U.TW,期元大S&P黃金,49.0499992371,☁️ 觀望,12.52,1,100.0,[P:0.97/5.0] [📈 穩定] 等待機會
00929.TW,復華台灣科技優息,22.2000007629,💎 持股,12.25,2,100.0,[P:0.8/5.0] [📈 穩定] 趨勢強勁(續抱)
0056.TW,元大高股息,40.9500007629,💎 持股,5.22,4,50.0,[P:0.8/5.0] [📈 穩定] 趨勢強勁(續抱)
2409.TW,友達,17.2000007629,❄️ 賣出,4.82,2,50.0,[P:1.0/5.0] [📈 穩定] 趨勢轉弱(強制)
4966.TWO,譜瑞-KY,649.0,💎 持股,4.68,1,100.0,[P:1.0/5.0] [🚀 極強] 趨勢強勁(續抱)
2327.TW,國巨*,297.0,☁️ 觀望,-6.45,2,50.0,[P:0.8/5.0] [📈 穩定] 等待機會
6806.TW,森崴能源,23.3500003815,☁️ 觀望,-6.6,1,0.0,[P:1.0/5.0] [📉 轉弱] 等待機會
4142.TW,國光生,17.8999996185,☁️ 觀望,-8.13,3,0.0,[P:0.94/5.0] [📉 轉弱] 等待機會
2009.TW,第一銅,38.0,☁️ 觀望,-9.42,2,0.0,[P:1.0/5.0] [📉 轉弱] 等待機會
6188.TWO,廣明,82.8000030518,☁️ 觀望,-10.22,1,0.0,[P:0.8/9.0] [📉 轉弱] 等待機會
2352.TW,佳世達,24.6000003815,💎 持股,-12.18,2,0.0,[P:0.8/5.0] [📈 穩定] 趨勢強勁(續抱)
2317.TW,鴻海,221.5,💎 持股,-14.93,2,0.0,[P:0.8/5.0] [📈 穩定] 趨勢強勁(續抱)
6271.TW,同欣電,178.0,💎 持股,-28.39,4,25.0,[P:0.99/5.0] [📈 穩定] 趨勢強勁(續抱)
