expansion,name,eps,gm,status,prev_year,symbol,om,prev_rev_yoy,est_price,eps_yoy,rev_yoy,date,pe,prev_eps_yoy,price,prev_eps,advice
8049.11,事欣科,1.77,18.73%,🚀 利潤擴張,2025,4916.TW,8.07%,-8.85,61.949999999999996,8050.0,0.89,2025-12,15.10895920723971,254.55,62.4000015259,1.14,✅ 穩健價值
6583.45,建漢,0.68,1.56%,🚀 利潤擴張,2025,3062.TW,-12.63%,23.87,94.05,6600.0,16.55,2025-12,4.146730462519937,1971.43,26.0,1.47,💎 強力關注
3625.39,日勝生,2.85,47.97%,🧐 疑業外收益,2025,2547.TW,18.04%,-15.18,169.5,3612.5,-12.89,2025-12,0.920353948539823,1150.0,10.3999996185,2.78,💎 強力關注
3471.78,台生材,1.4,N/A,🚀 利潤擴張,2025,6649.TWO,N/A,158.06,61.949999999999996,3600.0,128.22,2025-12,9.443099273607748,1737.5,39.0,1.31,💎 強力關注
3043.86,景碩,3.51,22.14%,🚀 利潤擴張,2025,3189.TW,8.52%,26.89,113.55,3072.73,28.87,2025-12,68.03170409511229,221.54,515.0,2.1,⚠️ 追價風險
2472.68,工信,0.52,N/A,🚀 利潤擴張,2025,5521.TW,N/A,36.66,15.15,2500.0,27.32,2025-12,11.386138613861386,3600.0,11.5,0.37,💎 強力關注
1569.15,永彰,22.26,-8.90%,🧐 疑業外收益,2025,4523.TWO,-91.14%,15.97,573.7500000000001,1562.0,-7.15,2025-12,0.8013071795686273,3177.63,30.6499996185,23.73,💎 強力關注
1497.6999999999998,大魯閣,6.03,34.83%,🔄 轉虧為盈,2025,1432.TW,-28.70%,4.99,83.1,1502.33,4.63,2025-12,2.987364483231047,-125.0,16.5499992371,-0.36,💎 強力關注
1462.34,科嶠,1.28,35.25%,🚀 利潤擴張,2025,4542.TWO,7.09%,27.63,47.1,1500.0,37.66,2025-12,56.36942675159236,196.87,177.0,0.95,⚠️ 追價風險
1307.4,上緯投控,35.57,24.80%,🧐 疑業外收益,2025,3708.TW,-95.04%,-27.3,550.65,1276.65,-30.75,2025-12,3.1735222010351403,-71.04,116.5,0.53,💎 強力關注
1292.63,聯光通,1.02,9.90%,🚀 利潤擴張,2025,4903.TWO,-0.59%,73.71,24.9,1357.14,64.51,2025-12,27.10843373493976,173.33,45.0,0.82,⚠️ 追價風險
1075.98,富喬,1.64,29.01%,🚀 利潤擴張,2025,1815.TWO,12.18%,46.55,45.75000000000001,1116.67,40.69,2025-12,35.40983606557377,606.25,108.0,0.81,⚠️ 追價風險
1048.91,jpp-KY,12.05,N/A,🚀 利潤擴張,2025,5284.TW,N/A,53.98,424.95,1105.15,56.24,2025-12,11.560183551006002,1777.36,327.5,9.16,💎 強力關注
1008.11,松普,0.11,N/A,🧐 疑業外收益,2025,5488.TWO,N/A,-10.59,5.55,1000.0,-8.11,2025-12,25.945946977027024,-45.45,9.6000003815,0.06,⚠️ 追價風險
966.3,精英,1.41,9.91%,🚀 利潤擴張,2025,2331.TW,-0.28%,10.42,72.0,981.25,14.95,2025-12,4.21875,1700.0,20.25,1.44,💎 強力關注
912.1999999999999,晟德,12.33,41.95%,🧐 疑業外收益,2025,4123.TWO,-106.23%,-4.5,245.39999999999998,905.92,-6.28,2025-12,2.3746942832579463,810.64,38.8499984741,3.52,💎 強力關注
906.7,品安,1.7,N/A,🚀 利潤擴張,2025,8088.TWO,N/A,38.48,29.4,962.5,55.8,2025-12,26.53061224489796,133.73,52.0,0.28,⚠️ 追價風險
904.65,凌華,2.35,N/A,🚀 利潤擴張,2025,6166.TW,N/A,23.93,66.15,921.74,17.09,2025-12,16.825396133378682,357.63,74.1999969482,1.52,⚪ 中性觀察
844.03,樂事綠能,1.01,16.87%,🚀 利潤擴張,2025,1529.TW,7.13%,34.59,43.349999999999994,876.92,32.89,2025-12,7.681661163633219,977.78,22.2000007629,0.97,💎 強力關注
837.6899999999999,華東,2.48,N/A,🧐 疑業外收益,2025,8110.TW,N/A,-8.99,53.1,830.77,-6.92,2025-12,13.036723594887006,270.59,46.1500015259,1.29,✅ 穩健價值
816.1899999999999,南電,3.01,N/A,🚀 利潤擴張,2025,8046.TW,N/A,18.82,67.65,840.63,24.44,2025-12,202.43902439024387,2775.0,913.0,1.15,⚠️ 追價風險
787.43,合晶,0.09,N/A,🔄 轉虧為盈,2025,6182.TWO,N/A,11.35,0.0,800.0,12.57,2025-12,0.0,-350.0,40.2999992371,-0.05,⚪ 數據不足
722.0,泰豐,6.28,20.10%,🔄 轉虧為盈,2025,2102.TW,-167.95%,1.98,22.650000000000006,721.43,-0.57,2025-12,12.649006875165558,-258.33,19.1000003815,-2.22,✅ 穩健價值
705.37,如興,0.68,19.96%,🧐 疑業外收益,2025,4414.TW,4.40%,-4.36,0.0,700.0,-5.37,2025-12,0.0,107.14,0.0,0.02,⚪ 數據不足
689.09,千如,0.32,26.03%,🚀 利潤擴張,2025,3236.TWO,5.00%,7.39,3.75,700.0,10.91,2025-12,118.1999969484,250.0,29.5499992371,0.12,⚠️ 追價風險
688.58,中環,1.58,23.42%,🧐 疑業外收益,2025,2323.TW,-5.65%,-4.42,7.200000000000003,685.19,-3.39,2025-12,21.249999602708325,-2.63,10.1999998093,0.37,⚪ 中性觀察
668.5600000000001,飛寶企業,0.53,24.00%,🔄 轉虧為盈,2025,4413.TWO,6.14%,140.24,-9.45,783.33,114.77,2025-12,0.0,-966.67,19.0,-0.26,⚪ 數據不足
656.01,欣厚-KY,0.38,27.32%,🚀 利潤擴張,2025,4924.TWO,0.43%,22.5,7.2,660.0,3.99,2025-12,22.812499602708332,460.0,10.9499998093,0.28,⚠️ 追價風險
603.24,歐格,0.36,17.03%,🚀 利潤擴張,2025,3002.TW,-11.28%,14.66,17.099999999999998,620.0,16.76,2025-12,15.789473684210527,422.22,18.0,0.48,✅ 穩健價值
567.37,華邦電,0.88,41.86%,🚀 利潤擴張,2025,2344.TW,15.37%,-0.22,3.4499999999999997,576.92,9.55,2025-12,408.26087619956525,-57.14,93.9000015259,0.12,⚠️ 追價風險
563.39,立萬利,1.96,62.07%,🏰 高護城河,2025,3054.TW,-188.65%,24.16,39.0,590.0,26.61,2025-12,30.038460951576923,288.57,78.0999984741,0.66,⚠️ 追價風險
561.54,琉園,5.29,N/A,🧐 疑業外收益,2025,9949.TWO,N/A,-19.03,0.0,544.54,-17.0,2025-12,0.0,1270.21,0.0,5.5,⚪ 數據不足
549.9,康舒,0.18,N/A,🔄 轉虧為盈,2025,6282.TW,N/A,-4.33,-13.950000000000003,550.0,0.1,2025-12,0.0,-90.0,46.6500015259,-0.38,⚪ 數據不足
467.93,吉祥全,1.43,43.42%,🧐 疑業外收益,2025,2491.TW,-66.51%,-12.66,2.5500000000000025,457.5,-10.43,2025-12,88.23529411764699,179.03,15.0,0.49,⚠️ 追價風險
440.95000000000005,杭特,0.47,30.70%,🚀 利潤擴張,2025,3297.TWO,-18.51%,18.74,18.15,461.54,20.59,2025-12,26.48760267528926,2600.0,32.0499992371,0.54,⚠️ 追價風險
418.37000000000006,博士旺,1.28,18.45%,🔄 轉虧為盈,2025,3555.TWO,4.44%,310.97,-9.599999999999998,752.94,334.57,2025-12,0.0,7.84,240.0,-0.58,⚪ 數據不足
417.34999999999997,宏旭-KY,1.22,22.27%,🔄 轉虧為盈,2025,2243.TW,15.14%,-10.45,13.199999999999998,408.33,-9.02,2025-12,28.352273594204554,38.89,24.9500007629,-0.11,⚠️ 追價風險
379.12,大量,8.13,42.12%,🚀 利潤擴張,2025,3167.TW,18.24%,119.15,264.15000000000003,474.47,95.35,2025-12,38.3304940374787,790.16,675.0,5.45,⚠️ 追價風險
