Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
2069.TW,運錩,2026-04-21,看漲 FVG,18.9,18.66,19.84,❌ 已失效,實體破中線,1,57.5,-,2,False
3049.TW,精金,2026-04-23,看跌 FVG,12.5,13.06,11.88,💰 已達標,獲利點,0,54.55,-,3,False
3702.TW,大聯大,2026-04-23,看跌 FVG,99.1,101.0,94.14,⏳ 待回測,監控中 🧹,0,63.07,-,3,False
4956.TW,光鋐,2026-04-24,看跌 FVG,46.0,49.14,43.7,⏳ 待回測,監控中,0,67.17,-,3,False
8044.TWO,網家,2026-04-24,看跌 FVG,23.8,24.02,22.61,⏳ 待回測,監控中,0,61.11,-,3,False
2367.TW,燿華,2026-04-24,看跌 FVG,60.8,61.41,57.76,⏳ 待回測,⚡結構突破 ⚠️過熱,0,30.25,-,4,False
2485.TW,兆赫,2026-04-24,看跌 FVG,63.5,64.22,60.32,⏳ 待回測,⚡結構突破 ⚠️過熱,0,30.26,-,4,False
6407.TWO,相互,2026-04-23,看跌 FVG,49.9,57.49,47.4,💰 已達標,獲利點,0,71.81,-,4,False
6849.TWO,奇鼎科技,2026-04-21,看漲 FVG,243.5,163.18,255.68,💰 已達標,獲利點,1,80.11,2026-04-23,4,False
7853.TWO,政美應用,2026-04-23,看跌 FVG,434.5,482.9,412.77,💰 已達標,獲利點,0,68.09,-,4,False
