id,name,price,signal,pnl,count,win_rate,reason
3491.TWO,昇達科,1605.0,☁️ 觀望,173.95,3,33.33,[P:0.95/8.0] [🚀 極強] 等待機會
3105.TWO,穩懋,492.5,☁️ 觀望,89.96,5,100.0,[P:0.95/8.0] [📈 穩定] 等待機會
2383.TW,台光電,4730.0,💎 持股,78.9,3,100.0,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
6515.TW,穎崴,9580.0,💎 持股,77.92,4,50.0,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
00981A.TW,主動統一台股增長,27.8999996185,💎 持股,63.98,3,33.33,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
6239.TW,力成,217.0,☁️ 觀望,51.37,1,100.0,[P:0.95/8.0] [🚀 極強] 等待機會
6789.TW,采鈺,557.0,💎 持股,50.68,3,66.67,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
3363.TWO,上詮,739.0,☁️ 觀望,42.75,4,50.0,[P:0.95/8.0] [📈 穩定] 等待機會
3711.TW,日月光投控,495.5,💎 持股,36.37,3,33.33,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
0050.TW,元大台灣50,93.0,💎 持股,32.25,3,66.67,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
2454.TW,聯發科,2435.0,💎 持股,26.25,4,50.0,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
2399.TW,映泰,41.3499984741,☁️ 觀望,25.81,3,33.33,[P:0.95/8.0] [📈 穩定] 等待機會
1560.TW,中砂,525.0,💎 持股,23.6,3,33.33,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
00738U.TW,期元大道瓊白銀,61.5999984741,💎 持股,16.59,3,33.33,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
009816.TW,凱基台灣TOP50,13.1700000763,💎 持股,15.83,1,100.0,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
00988A.TW,主動統一全球創新,16.9500007629,💎 持股,15.01,2,100.0,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
00635U.TW,期元大S&P黃金,49.4900016785,🟡 預警 (🚀 爆發 5% 追蹤),12.52,1,100.0,[P:0.95/8.0] [🚀 極強] 離開盤整區
2618.TW,長榮航,33.3499984741,☁️ 觀望,7.99,1,100.0,[P:0.95/8.0] [📉 轉弱] 等待機會
00992A.TW,主動群益科技創新,16.8299999237,💎 持股,6.86,1,100.0,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
2412.TW,中華電,137.0,💎 持股,1.15,3,33.33,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
4966.TWO,譜瑞-KY,615.0,💎 持股,-0.81,1,0.0,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
8028.TW,昇陽半導體,229.5,💎 持股,-7.49,3,33.33,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
2382.TW,廣達,325.5,💎 持股,-8.33,4,25.0,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
2609.TW,陽明,49.3499984741,☁️ 觀望,-8.67,2,0.0,[P:0.95/8.0] [📉 轉弱] 等待機會
1519.TW,華城,888.0,☁️ 觀望,-10.89,3,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
2317.TW,鴻海,228.0,💎 持股,-12.09,2,0.0,[📈 標準 V3] [P:0.95/8.0] [🚀 極強] 趨勢維持
3008.TW,大立光,2615.0,☁️ 觀望,-14.73,2,0.0,[P:0.95/8.0] [🚀 極強] 等待機會
2449.TW,京元電子,283.5,☁️ 觀望,-18.9,4,0.0,[P:0.95/8.0] [📉 轉弱] 等待機會
3450.TW,聯鈞,301.5,❄️ 賣出,-32.93,3,0.0,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢轉弱(強制)
