est_price,om,date,pe,advice,rev_yoy,symbol,eps_yoy,eps,prev_eps,gm,price,prev_eps_yoy,expansion,name,prev_rev_yoy,status,prev_year
61.949999999999996,8.07%,2025-12,14.915253867820823,✅ 穩健價值,0.89,4916.TW,8050.0,1.77,1.14,18.73%,61.5999984741,254.55,8049.11,事欣科,-8.85,🚀 利潤擴張,2025
94.05,-12.63%,2025-12,3.9712918051834136,💎 強力關注,16.55,3062.TW,6600.0,0.68,1.47,1.56%,24.8999996185,1971.43,6583.45,建漢,23.87,🚀 利潤擴張,2025
169.5,18.04%,2025-12,0.9159292373008848,💎 強力關注,-12.89,2547.TW,3612.5,2.85,2.78,47.97%,10.3500003815,1150.0,3625.39,日勝生,-15.18,🧐 疑業外收益,2025
61.949999999999996,N/A,2025-12,9.794189046707022,💎 強力關注,128.22,6649.TWO,3600.0,1.4,1.31,N/A,40.4500007629,1737.5,3471.78,台生材,158.06,🚀 利潤擴張,2025
113.55,8.52%,2025-12,69.74900924702774,⚠️ 追價風險,28.87,3189.TW,3072.73,3.51,2.1,22.14%,528.0,221.54,3043.86,景碩,26.89,🚀 利潤擴張,2025
15.15,N/A,2025-12,11.237624140099008,💎 強力關注,27.32,5521.TW,2500.0,0.52,0.37,N/A,11.3500003815,3600.0,2472.68,工信,36.66,🚀 利潤擴張,2025
573.7500000000001,-91.14%,2025-12,0.800000009973856,💎 強力關注,-7.15,4523.TWO,1562.0,22.26,23.73,-8.90%,30.6000003815,3177.63,1569.15,永彰,15.97,🧐 疑業外收益,2025
83.1,-28.70%,2025-12,3.04151631435018,💎 強力關注,4.63,1432.TW,1502.33,6.03,-0.36,34.83%,16.8500003815,-125.0,1497.6999999999998,大魯閣,4.99,🔄 轉虧為盈,2025
47.1,7.09%,2025-12,63.37579617834395,⚠️ 追價風險,37.66,4542.TWO,1500.0,1.28,0.95,35.25%,199.0,196.87,1462.34,科嶠,27.63,🚀 利潤擴張,2025
550.65,-95.04%,2025-12,3.1735222010351403,💎 強力關注,-30.75,3708.TW,1276.65,35.57,0.53,24.80%,116.5,-71.04,1307.4,上緯投控,-27.3,🧐 疑業外收益,2025
24.9,-0.59%,2025-12,27.259036144578314,⚠️ 追價風險,64.51,4903.TWO,1357.14,1.02,0.82,9.90%,45.25,173.33,1292.63,聯光通,73.71,🚀 利潤擴張,2025
45.75000000000001,12.18%,2025-12,35.57377049180327,⚠️ 追價風險,40.69,1815.TWO,1116.67,1.64,0.81,29.01%,108.5,606.25,1075.98,富喬,46.55,🚀 利潤擴張,2025
424.95,N/A,2025-12,12.107306741969644,✅ 穩健價值,56.24,5284.TW,1105.15,12.05,9.16,N/A,343.0,1777.36,1048.91,jpp-KY,53.98,🚀 利潤擴張,2025
5.55,N/A,2025-12,26.72973065756757,⚠️ 追價風險,-8.11,5488.TWO,1000.0,0.11,0.06,N/A,9.8900003433,-45.45,1008.11,松普,-10.59,🧐 疑業外收益,2025
72.0,-0.28%,2025-12,4.2812498410625,💎 強力關注,14.95,2331.TW,981.25,1.41,1.44,9.91%,20.5499992371,1700.0,966.3,精英,10.42,🚀 利潤擴張,2025
245.39999999999998,-106.23%,2025-12,2.3838630806845966,💎 強力關注,-6.28,4123.TWO,905.92,12.33,3.52,41.95%,39.0,810.64,912.1999999999999,晟德,-4.5,🧐 疑業外收益,2025
29.4,N/A,2025-12,25.66326491688776,⚠️ 追價風險,55.8,8088.TWO,962.5,1.7,0.28,N/A,50.2999992371,133.73,906.7,品安,38.48,🚀 利潤擴張,2025
66.15,N/A,2025-12,17.006802721088434,⚪ 中性觀察,17.09,6166.TW,921.74,2.35,1.52,N/A,75.0,357.63,904.65,凌華,23.93,🚀 利潤擴張,2025
43.349999999999994,7.13%,2025-12,7.508650783010381,💎 強力關注,32.89,1529.TW,876.92,1.01,0.97,16.87%,21.7000007629,977.78,844.03,樂事綠能,34.59,🚀 利潤擴張,2025
