股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
6920.TWO,恆勁科技,🔥 訊號出現,128.0,76.53,🟢 黃金標的,60.00%,80.00%,18.25%,-7.13%,10,118.87,0.8,0.1825
00715L.TW,期街口S&P布蘭特油正2,🔥 訊號出現,74.1500015259,79.41,🟢 黃金標的,71.43%,71.43%,25.70%,-6.49%,7,69.34,0.7143,0.257
3051.TW,力特,🔥 訊號出現,28.3500003815,82.35,🟢 黃金標的,60.00%,70.00%,14.58%,-1.32%,10,27.98,0.7,0.1458
4576.TW,大銀微系統,🔥 訊號出現,222.0,77.4,🟢 黃金標的,66.67%,66.67%,18.67%,-1.05%,6,219.68,0.6667,0.1867
3088.TWO,艾訊,🔥 訊號出現,108.0,77.2,🟢 黃金標的,80.00%,60.00%,3.22%,-1.14%,10,106.77,0.6,0.0322
6664.TWO,群翊,🔥 訊號出現,464.5,72.44,🟢 黃金標的,60.00%,60.00%,17.47%,-0.05%,5,464.26,0.6,0.1747
3583.TW,辛耘,🔥 訊號出現,792.0,60.88,🟢 黃金標的,66.67%,55.56%,7.75%,-2.39%,9,773.04,0.5556,0.0775
3605.TW,宏致,🔥 訊號出現,87.0999984741,84.59,🟢 黃金標的,44.44%,55.56%,6.91%,-4.09%,9,83.54,0.5556,0.0691
6859.TWO,伯特光,🔥 訊號出現,125.0,75.0,🔵 穩健標的,28.57%,57.14%,0.72%,-4.80%,7,119.0,0.5714,0.0072
4951.TWO,精拓科,🔥 訊號出現,119.0,92.81,🟡 妖股/高波動,11.11%,44.44%,9.02%,-1.09%,9,117.7,0.4444,0.0902
6218.TWO,豪勉,🔥 訊號出現,41.1500015259,61.46,🟡 妖股/高波動,57.14%,42.86%,7.11%,-3.16%,7,39.85,0.4286,0.0711
6197.TW,佳必琪,🔥 訊號出現,208.0,73.77,🟡 妖股/高波動,71.43%,42.86%,5.08%,-3.27%,7,201.2,0.4286,0.0508
6775.TWO,穎台科技,🔥 訊號出現,39.8499984741,74.58,🟡 妖股/高波動,20.00%,40.00%,3.31%,-9.47%,5,36.07,0.4,0.0331
